date,betten_belegt,betten_frei
2020-04-24,5,20
2020-04-25,5,20
2020-04-26,9,16
2020-04-27,7,18
2020-04-28,7,18
2020-04-29,7,18
2020-04-30,6,19
2020-05-01,7,18
2020-05-02,6,19
2020-05-03,7,18
2020-05-04,7,18
2020-05-05,7,18
2020-05-06,5,20
2020-05-07,9,16
2020-05-08,9,16
2020-05-09,6,19
2020-05-10,4,21
2020-05-11,7,18
2020-05-12,8,12
2020-05-13,10,10
2020-05-14,8,12
2020-05-15,8,12
2020-05-16,5,15
2020-05-17,10,10
2020-05-18,10,10
2020-05-19,10,10
2020-05-20,8,12
2020-05-21,4,16
2020-05-22,4,16
2020-05-23,4,16
2020-05-24,5,15
2020-05-25,6,14
2020-05-26,6,14
2020-05-27,7,13
2020-05-28,7,13
2020-05-29,2,12
2020-05-30,2,12
2020-05-31,4,16
2020-06-01,4,16
2020-06-02,4,16
2020-06-03,4,16
2020-06-04,4,16
2020-06-05,6,14
2020-06-06,6,14
2020-06-07,7,13
2020-06-08,9,11
2020-06-09,7,13
2020-06-10,7,13
2020-06-11,8,12
2020-06-12,5,15
2020-06-13,5,15
2020-06-14,7,13
2020-06-15,7,13
2020-06-16,11,9
2020-06-17,10,10
2020-06-18,10,10
2020-06-19,6,14
2020-06-20,5,15
2020-06-21,5,15
2020-06-22,9,11
2020-06-23,7,13
2020-06-24,10,10
2020-06-25,10,10
2020-06-26,10,10
2020-06-27,9,11
2020-06-28,12,8
2020-06-29,9,11
2020-06-30,7,13
2020-07-01,5,15
2020-07-02,10,10
2020-07-03,5,15
2020-07-04,5,15
2020-07-05,5,15
2020-07-06,12,8
2020-07-07,11,9
2020-07-08,9,11
2020-07-09,8,12
2020-07-10,12,8
2020-07-11,12,8
2020-07-12,10,10
2020-07-13,10,10
2020-07-14,10,10
2020-07-15,10,10
2020-07-16,10,10
2020-07-17,9,11
2020-07-18,10,10
2020-07-19,4,16
2020-07-20,4,16
2020-07-21,6,14
2020-07-22,6,14
2020-07-23,6,14
2020-07-24,6,14
2020-07-25,6,14
2020-07-26,6,14
2020-07-27,6,14
2020-08-01,10,10
2020-08-02,11,9
2020-08-03,11,9
2020-08-04,11,9
2020-08-05,10,10
2020-08-06,10,10
2020-08-07,9,11
2020-08-08,7,13
2020-08-09,10,10
2020-08-10,10,10
2020-08-11,10,10
2020-08-12,10,10
2020-08-13,5,15
2020-08-14,5,15
2020-08-15,8,12
2020-08-16,10,10
2020-08-17,10,10
2020-08-18,8,12
2020-08-19,8,12
2020-08-20,7,13
2020-08-21,11,9
2020-08-22,11,9
2020-08-23,11,9
2020-08-24,9,11
2020-08-25,8,12
2020-08-26,9,11
2020-08-27,9,11
2020-08-28,9,11
2020-08-29,11,9
2020-08-30,12,8
2020-08-31,10,10
2020-09-01,10,10
2020-09-02,7,13
2020-09-03,8,12
2020-09-04,10,10
2020-09-05,8,12
2020-09-06,9,11
2020-09-07,10,10
2020-09-08,12,8
2020-09-09,9,11
2020-09-10,9,11
2020-09-11,9,11
2020-09-12,9,11
2020-09-13,11,9
2020-09-14,11,9
2020-09-15,13,7
2020-09-16,13,7
2020-09-17,17,3
2020-09-18,16,4
2020-09-19,14,6
2020-09-20,13,7
2020-09-21,12,8
2020-09-22,10,10
2020-09-23,6,14
2020-09-24,6,14
2020-09-25,9,11
2020-09-26,9,11
2020-09-27,8,12
2020-09-28,7,13
2020-09-29,6,14
2020-09-30,7,13
2020-10-01,16,4
2020-10-02,12,8
2020-10-03,9,11
2020-10-04,12,8
2020-10-05,10,10
2020-10-06,9,11
2020-10-07,11,9
2020-10-08,11,9
2020-10-09,13,7
2020-10-10,7,10
2020-10-11,8,9
2020-10-12,8,9
2020-10-13,8,9
2020-10-14,8,9
2020-10-15,6,11
2020-10-16,5,12
2020-10-17,8,9
2020-10-18,7,10
2020-10-19,9,8
2020-10-20,10,7
2020-10-21,7,13
2020-10-22,12,8
2020-10-23,10,10
2020-10-24,9,11
2020-10-25,9,11
2020-10-26,8,12
2020-10-27,9,11
2020-10-28,11,9
2020-10-29,10,10
2020-10-30,11,9
2020-10-31,11,9
2020-11-01,11,9
2020-11-02,11,9
2020-11-03,16,4
2020-11-04,11,9
2020-11-05,11,9
2020-11-06,11,9
2020-11-07,11,9
2020-11-08,10,10
2020-11-09,8,12
2020-11-10,8,12
2020-11-11,9,11
2020-11-12,10,10
2020-11-13,11,9
2020-11-14,10,10
2020-11-15,7,13
2020-11-16,7,13
2020-11-17,8,12
2020-11-18,6,14
2020-11-19,8,12
2020-11-20,8,12
2020-11-21,11,9
2020-11-22,12,8
2020-11-23,9,11
2020-11-24,7,13
2020-11-25,8,12
2020-11-26,9,11
2020-11-27,9,11
2020-11-28,11,9
2020-11-29,11,9
2020-11-30,14,6
2020-12-01,8,12
2020-12-02,6,14
2020-12-03,9,11
2020-12-04,8,12
2020-12-05,10,10
2020-12-06,12,8
2020-12-07,8,12
2020-12-08,11,9
2020-12-09,10,10
2020-12-10,12,8
2020-12-11,10,10
2020-12-12,9,11
2020-12-13,9,11
2020-12-14,11,9
2020-12-15,8,12
2020-12-16,11,9
2020-12-17,9,11
2020-12-18,8,12
2020-12-19,8,12
2020-12-20,7,13
2020-12-21,8,12
2020-12-22,7,13
2020-12-23,10,10
2020-12-24,10,10
2020-12-25,8,12
2020-12-26,7,13
2020-12-27,7,13
2020-12-28,7,13
2020-12-29,11,9
2020-12-30,11,9
2020-12-31,10,10
2021-01-01,9,6
2021-01-02,7,8
2021-01-03,10,5
2021-01-04,11,2
2021-01-05,15,5
2021-01-06,10,10
2021-01-07,13,7
2021-01-08,16,4
2021-01-09,12,8
2021-01-10,13,7
2021-01-11,13,7
2021-01-12,13,7
2021-01-13,13,3
2021-01-14,13,3
2021-01-15,15,1
2021-01-16,11,5
2021-01-17,11,5
2021-01-18,12,4
2021-01-19,15,1
2021-01-20,12,8
2021-01-21,13,7
2021-01-22,13,7
2021-01-23,9,11
2021-01-24,11,9
2021-01-25,10,10
2021-01-26,12,8
2021-01-27,13,7
2021-01-28,14,6
2021-01-29,13,7
2021-01-30,15,5
2021-01-31,13,7
2021-02-01,13,7
2021-02-02,16,4
2021-02-03,13,7
2021-02-04,11,9
2021-02-05,14,6
2021-02-06,16,4
2021-02-07,15,5
2021-02-08,12,8
2021-02-09,14,6
2021-02-10,12,8
2021-02-11,13,7
2021-02-12,12,8
2021-02-13,12,8
2021-02-14,12,8
2021-02-15,13,3
2021-02-16,12,4
2021-02-17,11,5
2021-02-18,12,4
2021-02-19,9,7
2021-02-20,9,7
2021-02-21,9,7
2021-02-22,8,8
2021-02-23,9,7
2021-02-24,9,7
2021-02-25,9,7
2021-02-26,10,6
2021-02-27,9,7
2021-02-28,8,8
2021-03-01,12,4
2021-03-02,13,7
2021-03-03,9,11
2021-03-04,8,12
2021-03-05,13,7
2021-03-06,11,9
2021-03-07,11,9
2021-03-08,12,8
2021-03-09,11,9
2021-03-10,12,8
2021-03-11,11,9
2021-03-12,14,6
2021-03-13,12,8
2021-03-14,12,8
2021-03-15,13,7
2021-03-16,14,6
2021-03-17,9,11
2021-03-18,10,10
2021-03-19,11,9
2021-03-20,12,8
2021-03-21,12,8
2021-03-22,12,8
2021-03-23,13,7
2021-03-24,12,8
2021-03-25,12,8
2021-03-26,13,7
2021-03-27,13,7
2021-03-28,12,8
2021-03-29,11,9
2021-03-30,9,11
2021-03-31,11,9
2021-04-01,13,7
2021-04-02,10,10
2021-04-03,10,10
2021-04-04,11,9
2021-04-05,14,6
2021-04-06,12,8
2021-04-07,12,8
2021-04-08,12,8
2021-04-09,9,11
2021-04-10,10,10
2021-04-11,9,11
2021-04-12,9,11
2021-04-13,11,9
2021-04-14,12,8
2021-04-15,7,13
2021-04-16,8,12
2021-04-17,6,14
2021-04-18,7,13
2021-04-19,9,11
2021-04-20,10,10
2021-04-21,11,9
2021-04-22,14,6
2021-04-23,14,6
2021-04-24,9,11
2021-04-25,11,9
2021-04-26,9,11
2021-04-27,10,10
2021-04-28,14,6
2021-04-29,13,7
2021-04-30,12,8
2021-05-01,11,9
2021-05-02,12,8
2021-05-03,10,10
2021-05-04,9,11
2021-05-05,11,9
2021-05-06,13,7
2021-05-07,13,7
2021-05-08,12,8
2021-05-09,10,10
2021-05-10,10,10
2021-05-11,10,10
2021-05-12,10,10
2021-05-13,8,12
2021-05-14,9,11
2021-05-15,9,11
2021-05-16,9,11
2021-05-17,10,10
2021-05-18,11,9
2021-05-19,10,10
2021-05-20,8,12
2021-05-21,10,10
2021-05-22,10,10
2021-05-23,10,10
2021-05-24,11,9
2021-05-25,10,10
2021-05-26,10,10
2021-05-27,10,10
2021-05-28,8,12
2021-05-29,7,13
2021-05-30,11,9
2021-05-31,10,10
2021-06-01,9,11
2021-06-02,11,9
2021-06-03,11,9
2021-06-04,10,10
2021-06-05,7,13
2021-06-06,8,12
2021-06-07,8,12
2021-06-08,8,12
2021-06-09,6,14
2021-06-10,5,15
2021-06-11,7,13
2021-06-12,7,13
2021-06-13,4,16
2021-06-14,9,11
2021-06-15,5,15
2021-06-16,7,13
2021-06-17,6,14
2021-06-18,5,15
2021-06-19,3,17
2021-06-20,4,16
2021-06-21,7,13
2021-06-22,10,10
2021-06-23,10,10
2021-06-24,8,12
2021-06-25,8,12
2021-06-26,7,13
2021-06-27,12,8
2021-06-28,11,9
2021-06-29,10,10
2021-06-30,8,12
2021-07-01,11,9
2021-07-02,13,7
2021-07-03,15,5
2021-07-04,13,7
2021-07-05,12,8
2021-07-06,9,11
2021-07-07,14,6
2021-07-08,7,13
2021-07-09,9,11
2021-07-10,6,14
2021-07-11,6,14
2021-07-12,5,15
2021-07-13,8,12
2021-07-14,7,13
2021-07-15,8,12
2021-07-16,9,11
2021-07-17,6,14
2021-07-18,8,12
2021-07-19,7,13
2021-07-20,8,12
2021-07-21,7,13
2021-07-22,8,12
2021-07-23,10,10
2021-07-24,10,10
2021-07-25,10,10
2021-07-26,7,13
2021-07-27,9,11
2021-07-28,10,10
2021-07-29,8,12
2021-07-30,10,10
2021-07-31,8,12
2021-08-01,8,12
2021-08-02,8,12
2021-08-03,9,11
2021-08-04,9,11
2021-08-05,10,10
2021-08-06,14,6
2021-08-07,9,11
2021-08-08,9,11
2021-08-09,9,11
2021-08-10,7,13
2021-08-11,8,12
2021-08-12,10,10
2021-08-13,5,15
2021-08-14,7,13
2021-08-15,10,10
2021-08-16,9,11
2021-08-17,9,11
2021-08-18,9,11
2021-08-19,8,12
2021-08-20,10,10
2021-08-21,11,9
2021-08-22,12,8
2021-08-23,9,11
2021-08-24,8,12
2021-08-25,9,11
2021-08-26,11,9
2021-08-27,8,12
2021-08-28,11,9
2021-08-29,9,11
2021-08-30,10,10
2021-08-31,14,6
2021-09-01,12,8
2021-09-02,12,8
2021-09-03,9,11
2021-09-04,9,11
2021-09-05,10,10
2021-09-06,8,12
2021-09-07,14,6
2021-09-08,13,7
2021-09-09,11,9
2021-09-10,14,6
2021-09-11,12,8
2021-09-12,9,11
2021-09-13,9,11
2021-09-14,10,10
2021-09-15,10,10
2021-09-16,10,10
2021-09-17,11,9
2021-09-18,11,9
2021-09-19,12,8
2021-09-20,10,10
2021-09-21,10,10
2021-09-22,6,14
2021-09-23,8,12
2021-09-24,11,9
2021-09-25,11,9
2021-09-26,11,9
2021-09-27,8,12
2021-09-28,12,8
2021-09-29,12,8
2021-09-30,12,8
2021-10-01,10,10
2021-10-02,7,13
2021-10-03,12,8
2021-10-04,10,10
2021-10-05,8,12
2021-10-06,9,11
2021-10-07,10,10
2021-10-08,9,11
2021-10-09,10,10
2021-10-10,10,10
2021-10-11,11,9
2021-10-12,8,12
2021-10-13,11,9
2021-10-14,12,8
2021-10-15,10,10
2021-10-16,11,9
2021-10-17,13,7
2021-10-18,11,9
2021-10-19,12,8
2021-10-20,10,10
2021-10-21,13,7
2021-10-22,13,7
2021-10-23,12,8
2021-10-24,13,7
2021-10-25,15,5
2021-10-26,14,6
2021-10-27,12,8
2021-10-28,12,8
2021-10-29,10,10
2021-10-30,13,7
2021-10-31,10,10
2021-11-01,12,8
2021-11-02,14,3
2021-11-03,15,1
2021-11-04,15,1
2021-11-05,13,3
2021-11-06,15,1
2021-11-07,16,0
2021-11-08,15,1
2021-11-09,13,3
2021-11-10,8,8
2021-11-11,14,2
2021-11-12,14,4
2021-11-13,12,6
2021-11-14,12,6
2021-11-15,11,7
2021-11-16,11,7
2021-11-17,13,5
2021-11-18,13,5
2021-11-19,13,5
2021-11-20,17,1
2021-11-21,14,4
2021-11-22,14,4
2021-11-23,12,6
2021-11-24,13,5
2021-11-25,14,4
2021-11-26,16,2
2021-11-27,12,6
2021-11-28,15,3
2021-11-29,17,1
2021-11-30,15,3
2021-12-01,9,9
2021-12-02,13,5
2021-12-03,15,3
2021-12-04,14,4
2021-12-05,12,6
2021-12-06,13,5
2021-12-07,13,5
2021-12-08,12,6
2021-12-09,10,8
2021-12-10,9,9
2021-12-11,9,9
2021-12-12,13,5
2021-12-13,13,5
2021-12-14,15,3
2021-12-15,14,4
2021-12-16,13,5
2021-12-17,12,6
2021-12-18,9,9
2021-12-19,9,9
2021-12-20,11,7
2021-12-21,9,9
2021-12-22,10,8
2021-12-23,11,7
2021-12-24,8,10
2021-12-25,10,8
2021-12-26,9,9
2021-12-27,11,7
2021-12-28,12,6
2021-12-29,12,6
2021-12-30,9,9
2021-12-31,11,7
2022-01-01,13,5
2022-01-02,14,4
2022-01-03,12,6
2022-01-04,10,8
2022-01-05,9,9
2022-01-06,13,5
2022-01-07,13,5
2022-01-08,10,8
2022-01-09,14,4
2022-01-10,11,7
2022-01-11,8,10
2022-01-12,9,9
2022-01-13,9,9
2022-01-14,13,5
2022-01-15,8,10
2022-01-16,10,8
2022-01-17,11,7
2022-01-18,8,10
2022-01-19,12,6
2022-01-20,13,5
2022-01-21,9,9
2022-01-22,14,4
2022-01-23,11,7
2022-01-24,12,6
2022-01-25,9,9
2022-01-26,10,8
2022-01-27,10,8
2022-01-28,8,10
2022-01-29,11,7
2022-01-30,9,9
2022-01-31,7,11
2022-02-01,8,10
2022-02-02,8,10
2022-02-03,8,10
2022-02-04,16,2
2022-02-05,12,6
2022-02-06,9,9
2022-02-07,10,8
2022-02-08,10,8
2022-02-09,10,8
2022-02-10,7,11
2022-02-11,10,8
2022-02-12,11,7
2022-02-13,8,10
2022-02-14,12,6
2022-02-15,13,5
2022-02-16,10,8
2022-02-17,11,7
2022-02-18,8,10
2022-02-19,7,11
2022-02-20,6,12
2022-02-21,6,12
2022-02-22,13,5
2022-02-23,9,9
2022-02-24,11,7
2022-02-25,10,8
2022-02-26,9,9
2022-02-27,11,7
2022-02-28,10,8
