date,betten_belegt,betten_frei
2020-04-24,11,6
2020-04-25,10,6
2020-04-26,8,9
2020-04-27,8,8
2020-04-28,7,7
2020-04-29,9,7
2020-04-30,8,4
2020-05-01,15,1
2020-05-02,12,3
2020-05-03,11,4
2020-05-04,9,4
2020-05-05,12,5
2020-05-06,11,5
2020-05-07,12,6
2020-05-08,11,7
2020-05-09,12,4
2020-05-10,11,9
2020-05-11,12,8
2020-05-12,13,8
2020-05-13,12,8
2020-05-14,11,8
2020-05-15,11,6
2020-05-16,9,6
2020-05-17,9,5
2020-05-18,14,7
2020-05-19,12,4
2020-05-20,11,6
2020-05-21,10,7
2020-05-22,7,12
2020-05-23,9,9
2020-05-24,8,10
2020-05-25,6,12
2020-05-26,8,12
2020-05-27,9,10
2020-05-28,9,11
2020-05-29,10,9
2020-05-30,11,8
2020-05-31,13,10
2020-06-01,13,7
2020-06-02,11,8
2020-06-03,10,9
2020-06-04,15,4
2020-06-05,11,8
2020-06-06,11,8
2020-06-07,11,11
2020-06-08,9,14
2020-06-09,5,14
2020-06-10,10,8
2020-06-11,9,10
2020-06-12,9,11
2020-06-13,8,13
2020-06-14,7,14
2020-06-15,6,13
2020-06-16,8,11
2020-06-17,10,8
2020-06-18,7,11
2020-06-19,7,10
2020-06-20,6,10
2020-06-21,6,11
2020-06-22,6,11
2020-06-23,11,5
2020-06-24,13,2
2020-06-25,8,8
2020-06-26,5,12
2020-06-27,7,10
2020-06-28,10,4
2020-06-29,15,3
2020-06-30,12,6
2020-07-01,12,4
2020-07-02,11,5
2020-07-03,10,7
2020-07-04,10,6
2020-07-05,6,10
2020-07-06,6,10
2020-07-07,8,8
2020-07-08,10,8
2020-07-09,7,9
2020-07-10,9,9
2020-07-11,5,11
2020-07-12,10,6
2020-07-13,10,8
2020-07-14,9,8
2020-07-15,13,4
2020-07-16,10,8
2020-07-17,11,4
2020-07-18,10,4
2020-07-19,14,0
2020-07-20,12,4
2020-07-21,8,10
2020-07-22,7,12
2020-07-23,12,4
2020-07-24,11,5
2020-07-25,11,6
2020-07-26,10,7
2020-07-27,11,6
2020-07-28,10,7
2020-07-29,10,7
2020-07-30,9,5
2020-07-31,8,8
2020-08-01,8,8
2020-08-02,9,9
2020-08-03,13,3
2020-08-04,11,8
2020-08-05,8,8
2020-08-06,7,9
2020-08-07,8,8
2020-08-08,9,7
2020-08-09,6,10
2020-08-10,6,10
2020-08-11,6,10
2020-08-12,9,7
2020-08-13,11,5
2020-08-14,9,6
2020-08-15,9,6
2020-08-16,9,6
2020-08-17,11,5
2020-08-18,14,2
2020-08-19,13,3
2020-08-20,12,4
2020-08-21,11,5
2020-08-22,12,4
2020-08-23,11,5
2020-08-24,12,4
2020-08-25,14,5
2020-08-26,16,3
2020-08-27,13,6
2020-08-28,13,6
2020-08-29,11,3
2020-08-30,11,4
2020-08-31,9,6
2020-09-01,8,8
2020-09-02,11,8
2020-09-03,13,6
2020-09-04,15,4
2020-09-05,13,3
2020-09-06,11,5
2020-09-07,12,7
2020-09-08,11,5
2020-09-09,12,4
2020-09-10,11,5
2020-09-11,12,4
2020-09-12,10,6
2020-09-13,10,6
2020-09-14,13,3
2020-09-15,13,1
2020-09-16,14,2
2020-09-17,12,4
2020-09-18,13,3
2020-09-19,8,8
2020-09-20,10,6
2020-09-21,10,6
2020-09-22,12,4
2020-09-23,12,4
2020-09-24,12,4
2020-09-25,12,4
2020-09-26,12,4
2020-09-27,7,9
2020-09-28,8,8
2020-09-29,12,4
2020-09-30,9,7
2020-10-01,10,6
2020-10-02,10,6
2020-10-03,9,7
2020-10-04,7,9
2020-10-05,9,7
2020-10-06,9,7
2020-10-07,8,8
2020-10-08,11,5
2020-10-09,6,10
2020-10-10,8,8
2020-10-11,8,8
2020-10-12,10,6
2020-10-13,8,8
2020-10-14,11,5
2020-10-15,10,6
2020-10-16,13,3
2020-10-17,14,2
2020-10-18,13,3
2020-10-19,12,4
2020-10-20,11,5
2020-10-21,14,2
2020-10-22,14,2
2020-10-23,12,6
2020-10-24,12,6
2020-10-25,15,3
2020-10-26,13,4
2020-10-27,12,3
2020-10-28,12,3
2020-10-29,13,3
2020-10-30,14,4
2020-10-31,11,5
2020-11-01,13,3
2020-11-02,13,3
2020-11-03,10,6
2020-11-04,12,5
2020-11-05,12,5
2020-11-06,14,4
2020-11-07,14,4
2020-11-08,12,6
2020-11-09,14,4
2020-11-10,14,5
2020-11-11,11,6
2020-11-12,14,3
2020-11-13,8,11
2020-11-14,12,5
2020-11-15,10,7
2020-11-16,12,5
2020-11-17,12,6
2020-11-18,12,6
2020-11-19,12,6
2020-11-20,11,7
2020-11-21,12,6
2020-11-22,9,9
2020-11-23,10,8
2020-11-24,15,3
2020-11-25,12,5
2020-11-26,12,5
2020-11-27,16,1
2020-11-28,16,1
2020-11-29,13,4
2020-11-30,14,3
2020-12-01,12,5
2020-12-02,10,8
2020-12-03,8,10
2020-12-04,9,9
2020-12-05,10,7
2020-12-06,13,4
2020-12-07,16,1
2020-12-08,13,5
2020-12-09,13,5
2020-12-10,12,6
2020-12-11,14,4
2020-12-12,11,7
2020-12-13,12,5
2020-12-14,12,5
2020-12-15,13,4
2020-12-16,11,6
2020-12-17,12,5
2020-12-18,11,7
2020-12-19,13,4
2020-12-20,13,4
2020-12-21,12,5
2020-12-22,9,8
2020-12-23,8,9
2020-12-24,10,7
2020-12-25,12,4
2020-12-26,12,4
2020-12-27,13,4
2020-12-28,12,5
2020-12-29,12,5
2020-12-30,13,4
2020-12-31,14,3
2021-01-01,13,4
2021-01-02,12,5
2021-01-03,12,5
2021-01-04,11,5
2021-01-05,11,5
2021-01-06,12,5
2021-01-07,12,5
2021-01-08,12,5
2021-01-09,12,5
2021-01-10,13,4
2021-01-11,14,5
2021-01-12,14,5
2021-01-13,15,4
2021-01-14,12,7
2021-01-15,12,7
2021-01-16,13,6
2021-01-17,17,2
2021-01-18,14,5
2021-01-19,14,5
2021-01-20,15,4
2021-01-21,15,4
2021-01-22,15,4
2021-01-23,14,5
2021-01-24,16,3
2021-01-25,15,4
2021-01-26,15,4
2021-01-27,13,6
2021-01-28,14,5
2021-01-29,13,6
2021-01-30,14,5
2021-01-31,15,4
2021-02-01,16,3
2021-02-02,15,4
2021-02-03,14,5
2021-02-04,12,7
2021-02-05,13,5
2021-02-06,11,7
2021-02-07,14,4
2021-02-08,11,7
2021-02-09,13,5
2021-02-10,11,7
2021-02-11,11,7
2021-02-12,8,11
2021-02-13,13,4
2021-02-14,11,6
2021-02-15,12,5
2021-02-16,12,7
2021-02-17,13,6
2021-02-18,12,7
2021-02-19,11,8
2021-02-20,9,8
2021-02-21,9,8
2021-02-22,8,10
2021-02-23,13,5
2021-02-24,13,6
2021-02-25,10,9
2021-02-26,7,12
2021-02-27,11,8
2021-02-28,9,10
2021-03-01,10,9
2021-03-02,11,8
2021-03-03,11,8
2021-03-04,9,10
2021-03-05,9,8
2021-03-06,12,5
2021-03-07,15,1
2021-03-08,9,10
2021-03-09,8,11
2021-03-10,7,12
2021-03-11,15,4
2021-03-12,13,4
2021-03-13,11,6
2021-03-14,10,7
2021-03-15,8,9
2021-03-16,12,5
2021-03-17,10,7
2021-03-18,7,10
2021-03-19,7,10
2021-03-20,12,5
2021-03-21,9,8
2021-03-22,10,7
2021-03-23,9,8
2021-03-24,7,10
2021-03-25,8,9
2021-03-26,6,11
2021-03-27,9,8
2021-03-28,7,10
2021-03-29,10,7
2021-03-30,8,9
2021-03-31,10,6
2021-04-01,10,6
2021-04-02,10,6
2021-04-03,7,8
2021-04-04,12,3
2021-04-05,15,0
2021-04-06,15,0
2021-04-07,12,1
2021-04-08,10,2
2021-04-09,11,1
2021-04-10,12,0
2021-04-11,10,1
2021-04-12,9,2
2021-04-13,8,3
2021-04-14,9,5
2021-04-15,11,3
2021-04-16,11,3
2021-04-17,12,2
2021-04-18,13,1
2021-04-19,11,3
2021-04-20,12,3
2021-04-21,10,5
2021-04-22,14,2
2021-04-23,13,3
2021-04-24,11,5
2021-04-25,13,3
2021-04-26,13,3
2021-04-27,9,7
2021-04-28,12,4
2021-04-29,12,4
2021-04-30,12,4
2021-05-01,8,7
2021-05-02,11,4
2021-05-03,11,5
2021-05-04,10,6
2021-05-05,10,6
2021-05-06,13,3
2021-05-07,13,3
2021-05-08,12,3
2021-05-09,11,4
2021-05-10,10,5
2021-05-11,11,5
2021-05-12,13,3
2021-05-13,12,4
2021-05-14,14,2
2021-05-15,13,2
2021-05-16,14,0
2021-05-17,12,4
2021-05-18,13,3
2021-05-19,11,5
2021-05-20,12,4
2021-05-21,12,4
2021-05-22,11,4
2021-05-23,11,4
2021-05-24,9,6
2021-05-25,9,6
2021-05-26,11,4
2021-05-27,11,4
2021-05-28,12,3
2021-05-29,12,3
2021-05-30,15,0
2021-05-31,14,1
2021-06-01,12,4
2021-06-02,10,6
2021-06-03,10,6
2021-06-04,5,11
2021-06-05,6,8
2021-06-06,6,8
2021-06-07,9,7
2021-06-08,8,8
2021-06-09,6,10
2021-06-10,8,8
2021-06-11,10,4
2021-06-12,13,1
2021-06-13,10,4
2021-06-14,9,7
2021-06-15,12,4
2021-06-16,12,4
2021-06-17,11,5
2021-06-18,8,8
2021-06-19,8,9
2021-06-20,8,9
2021-06-21,6,11
2021-06-22,10,8
2021-06-23,10,8
2021-06-24,12,6
2021-06-25,9,9
2021-06-26,10,8
2021-06-27,12,6
2021-06-28,9,9
2021-06-29,11,7
2021-06-30,13,5
2021-07-01,11,7
2021-07-02,11,7
2021-07-03,12,6
2021-07-04,12,4
2021-07-05,12,6
2021-07-06,12,6
2021-07-07,10,8
2021-07-08,9,9
2021-07-09,8,10
2021-07-10,8,10
2021-07-11,5,13
2021-07-12,5,13
2021-07-13,10,7
2021-07-14,8,9
2021-07-15,11,6
2021-07-16,12,6
2021-07-17,9,9
2021-07-18,9,9
2021-07-19,11,7
2021-07-20,7,11
2021-07-21,6,12
2021-07-22,13,5
2021-07-23,8,8
2021-07-24,11,5
2021-07-25,11,5
2021-07-26,10,6
2021-07-27,12,6
2021-07-28,10,8
2021-07-29,12,6
2021-07-30,9,7
2021-07-31,6,13
2021-08-01,12,7
2021-08-02,7,12
2021-08-03,11,8
2021-08-04,8,11
2021-08-05,8,11
2021-08-06,7,12
2021-08-07,6,10
2021-08-08,5,11
2021-08-09,4,12
2021-08-10,3,13
2021-08-11,6,10
2021-08-12,6,10
2021-08-13,4,12
2021-08-14,9,7
2021-08-15,6,10
2021-08-16,12,4
2021-08-17,12,4
2021-08-18,13,4
2021-08-19,11,5
2021-08-20,12,4
2021-08-21,15,4
2021-08-22,11,8
2021-08-23,13,3
2021-08-24,13,3
2021-08-25,11,2
2021-08-26,14,0
2021-08-27,13,2
2021-08-28,13,1
2021-08-29,13,1
2021-08-30,8,4
2021-08-31,10,4
2021-09-01,9,8
2021-09-02,13,4
2021-09-03,9,8
2021-09-04,11,3
2021-09-05,14,0
2021-09-06,13,1
2021-09-07,11,5
2021-09-08,13,3
2021-09-09,12,4
2021-09-10,13,3
2021-09-11,13,1
2021-09-12,12,2
2021-09-13,13,2
2021-09-14,9,6
2021-09-15,11,2
2021-09-16,14,1
2021-09-17,13,2
2021-09-18,10,5
2021-09-19,8,6
2021-09-20,9,5
2021-09-21,12,1
2021-09-22,10,3
2021-09-23,10,3
2021-09-24,12,2
2021-09-25,13,3
2021-09-26,13,2
2021-09-27,9,5
2021-09-28,9,5
2021-09-29,9,6
2021-09-30,9,3
2021-10-01,11,3
2021-10-02,8,3
2021-10-03,8,3
2021-10-04,10,4
2021-10-05,8,7
2021-10-06,9,6
2021-10-07,12,2
2021-10-08,10,4
2021-10-09,11,2
2021-10-10,10,2
2021-10-11,10,5
2021-10-12,13,3
2021-10-13,13,1
2021-10-14,11,1
2021-10-15,13,0
2021-10-16,12,1
2021-10-17,12,1
2021-10-18,12,1
2021-10-19,12,3
2021-10-20,12,3
2021-10-21,12,2
2021-10-22,10,4
2021-10-23,9,3
2021-10-24,10,2
2021-10-25,12,1
2021-10-26,12,1
2021-10-27,10,4
2021-10-28,12,1
2021-10-29,11,3
2021-10-30,10,3
2021-10-31,11,2
2021-11-01,9,4
2021-11-02,9,2
2021-11-03,7,6
2021-11-04,8,5
2021-11-05,9,4
2021-11-06,9,3
2021-11-07,11,1
2021-11-08,11,1
2021-11-09,9,3
2021-11-10,12,1
2021-11-11,13,1
2021-11-12,12,2
2021-11-13,12,0
2021-11-14,9,3
2021-11-15,9,3
2021-11-16,7,5
2021-11-17,8,4
2021-11-18,9,3
2021-11-19,8,4
2021-11-20,9,4
2021-11-21,10,3
2021-11-22,10,3
2021-11-23,11,3
2021-11-24,12,1
2021-11-25,14,1
2021-11-26,13,1
2021-11-27,9,1
2021-11-28,11,0
2021-11-29,11,1
2021-11-30,13,3
2021-12-01,12,4
2021-12-02,12,4
2021-12-03,14,2
2021-12-04,12,4
2021-12-05,8,8
2021-12-06,11,5
2021-12-07,11,3
2021-12-08,12,4
2021-12-09,12,2
2021-12-10,15,1
2021-12-11,13,0
2021-12-12,13,0
2021-12-13,15,2
2021-12-14,14,2
2021-12-15,12,4
2021-12-16,12,4
2021-12-17,12,3
2021-12-18,11,1
2021-12-19,11,3
2021-12-20,10,4
2021-12-21,11,0
2021-12-22,10,2
2021-12-23,10,2
2021-12-24,11,1
2021-12-25,11,2
2021-12-26,10,2
2021-12-27,11,1
2021-12-28,11,1
2021-12-29,9,3
2021-12-30,10,2
2021-12-31,8,3
2022-01-01,12,0
2022-01-02,11,1
2022-01-03,10,1
2022-01-04,11,2
2022-01-05,13,0
2022-01-06,12,1
2022-01-07,12,1
2022-01-08,11,2
2022-01-09,10,3
2022-01-10,11,3
2022-01-11,10,4
2022-01-12,12,2
2022-01-13,12,2
2022-01-14,11,3
2022-01-15,11,3
2022-01-16,11,4
2022-01-17,9,6
2022-01-18,12,3
2022-01-19,11,4
2022-01-20,11,5
2022-01-21,13,3
2022-01-22,10,8
2022-01-23,12,6
2022-01-24,8,10
2022-01-25,11,6
2022-01-26,7,10
2022-01-27,8,9
2022-01-28,9,8
2022-01-29,9,8
2022-01-30,11,6
2022-01-31,12,5
2022-02-01,14,3
2022-02-02,9,6
2022-02-03,12,5
2022-02-04,11,6
2022-02-05,13,4
2022-02-06,10,7
2022-02-07,14,3
2022-02-08,13,4
2022-02-09,13,4
