date,betten_belegt,betten_frei
2020-04-24,12,18
2020-04-25,11,19
2020-04-26,9,21
2020-04-27,11,19
2020-04-28,10,20
2020-04-29,10,20
2020-04-30,8,22
2020-05-01,4,18
2020-05-02,1,24
2020-05-03,8,22
2020-05-04,11,19
2020-05-05,11,19
2020-05-06,11,19
2020-05-07,12,15
2020-05-08,12,18
2020-05-09,9,21
2020-05-10,8,22
2020-05-11,8,22
2020-05-12,12,18
2020-05-13,11,21
2020-05-14,8,22
2020-05-15,9,21
2020-05-16,6,24
2020-05-17,7,23
2020-05-18,4,26
2020-05-19,6,24
2020-05-20,11,19
2020-05-21,10,20
2020-05-22,11,19
2020-05-23,8,22
2020-05-24,9,21
2020-05-25,8,22
2020-05-26,10,20
2020-05-27,12,18
2020-05-28,14,16
2020-05-29,12,18
2020-05-30,12,18
2020-05-31,11,19
2020-06-01,10,18
2020-06-02,10,18
2020-06-03,8,20
2020-06-04,9,19
2020-06-05,12,18
2020-06-06,10,20
2020-06-07,11,19
2020-06-08,11,18
2020-06-09,11,18
2020-06-10,13,17
2020-06-11,12,18
2020-06-12,12,18
2020-06-13,12,18
2020-06-14,11,19
2020-06-15,10,20
2020-06-16,5,25
2020-06-17,6,24
2020-06-18,6,24
2020-06-19,6,24
2020-06-20,7,23
2020-06-21,8,22
2020-06-22,6,24
2020-06-23,7,24
2020-06-24,10,20
2020-06-25,12,18
2020-06-26,12,19
2020-06-27,10,20
2020-06-28,11,19
2020-06-29,10,20
2020-06-30,7,23
2020-07-01,14,16
2020-07-02,12,18
2020-07-03,14,16
2020-07-04,15,15
2020-07-05,9,21
2020-07-06,10,20
2020-07-07,11,19
2020-07-08,13,17
2020-07-09,12,16
2020-07-10,16,12
2020-07-11,14,14
2020-07-12,12,16
2020-07-13,10,18
2020-07-14,10,20
2020-07-15,11,19
2020-07-16,8,22
2020-07-17,11,19
2020-07-18,9,21
2020-07-19,8,20
2020-07-20,8,22
2020-07-21,8,22
2020-07-22,14,16
2020-07-23,11,18
2020-07-24,12,17
2020-07-25,13,17
2020-07-26,13,17
2020-07-27,10,20
2020-07-28,11,19
2020-07-29,11,19
2020-07-30,9,21
2020-07-31,11,19
2020-08-01,13,16
2020-08-02,13,17
2020-08-03,11,19
2020-08-04,11,5
2020-08-05,13,3
2020-08-06,13,3
2020-08-07,13,1
2020-08-08,10,4
2020-08-09,10,4
2020-08-10,11,3
2020-08-11,12,2
2020-08-12,10,5
2020-08-13,15,1
2020-08-14,11,4
2020-08-15,13,2
2020-08-16,9,7
2020-08-17,7,9
2020-08-18,8,8
2020-08-19,14,2
2020-08-20,13,3
2020-08-21,15,1
2020-08-22,11,3
2020-08-23,9,5
2020-08-24,9,5
2020-08-25,9,5
2020-08-26,12,4
2020-08-27,10,6
2020-08-28,7,9
2020-08-29,10,6
2020-08-30,7,9
2020-08-31,8,8
2020-09-01,7,9
2020-09-02,10,6
2020-09-03,11,5
2020-09-04,6,8
2020-09-05,10,4
2020-09-06,6,8
2020-09-07,9,5
2020-09-08,9,5
2020-09-09,8,6
2020-09-10,8,6
2020-09-11,6,8
2020-09-12,10,6
2020-09-13,10,4
2020-09-14,11,5
2020-09-15,12,4
2020-09-16,11,5
2020-09-17,12,2
2020-09-18,10,6
2020-09-19,7,7
2020-09-20,13,1
2020-09-21,11,5
2020-09-22,11,5
2020-09-23,12,4
2020-09-24,10,6
2020-09-25,12,4
2020-09-26,13,3
2020-09-27,8,8
2020-09-28,6,10
2020-09-29,8,6
2020-09-30,9,5
2020-10-01,9,5
2020-10-02,11,3
2020-10-03,13,1
2020-10-04,11,3
2020-10-05,13,3
2020-10-06,12,4
2020-10-07,13,3
2020-10-08,15,1
2020-10-09,12,4
2020-10-10,11,5
2020-10-11,8,8
2020-10-12,8,8
2020-10-13,14,2
2020-10-14,14,2
2020-10-15,14,2
2020-10-16,13,3
2020-10-17,13,1
2020-10-18,10,4
2020-10-19,10,6
2020-10-20,14,2
2020-10-21,13,3
2020-10-22,7,8
2020-10-23,9,4
2020-10-24,10,3
2020-10-25,6,7
2020-10-26,6,8
2020-10-27,14,2
2020-10-28,11,5
2020-10-29,12,4
2020-10-30,11,5
2020-10-31,14,2
2020-11-01,12,4
2020-11-02,14,2
2020-11-03,16,0
2020-11-04,13,3
2020-11-05,14,2
2020-11-06,12,4
2020-11-07,14,2
2020-11-08,13,3
2020-11-09,11,5
2020-11-10,12,4
2020-11-11,15,1
2020-11-12,11,5
2020-11-13,11,5
2020-11-14,11,5
2020-11-15,11,5
2020-11-16,14,2
2020-11-17,13,3
2020-11-18,13,3
2020-11-19,13,3
2020-11-20,13,3
2020-11-21,16,0
2020-11-22,11,5
2020-11-23,9,7
2020-11-24,9,7
2020-11-25,15,1
2020-11-26,15,1
2020-11-27,13,3
2020-11-28,7,9
2020-11-29,7,9
2020-11-30,11,5
2020-12-01,12,2
2020-12-02,12,2
2020-12-03,12,2
2020-12-04,13,1
2020-12-05,16,0
2020-12-06,13,3
2020-12-07,12,4
2020-12-08,10,6
2020-12-09,13,3
2020-12-10,13,3
2020-12-11,12,4
2020-12-12,12,4
2020-12-13,10,6
2020-12-14,9,7
2020-12-15,12,2
2020-12-16,14,0
2020-12-17,13,1
2020-12-18,12,2
2020-12-19,13,1
2020-12-20,16,0
2020-12-21,15,1
2020-12-22,14,2
2020-12-23,11,3
2020-12-24,13,1
2020-12-25,9,5
2020-12-26,11,3
2020-12-27,11,3
2020-12-28,12,4
2020-12-29,13,3
2020-12-30,8,8
2020-12-31,7,9
2021-01-01,7,9
2021-01-02,8,8
2021-01-03,8,8
2021-01-04,10,6
2021-01-05,10,6
2021-01-06,14,2
2021-01-07,15,1
2021-01-08,13,3
2021-01-09,11,5
2021-01-10,9,5
2021-01-11,9,5
2021-01-12,11,3
2021-01-13,11,3
2021-01-14,9,5
2021-01-15,13,1
2021-01-16,12,2
2021-01-17,9,5
2021-01-18,11,5
2021-01-19,12,4
2021-01-20,11,5
2021-01-21,9,7
2021-01-22,9,7
2021-01-23,9,7
2021-01-24,10,6
2021-01-25,9,7
2021-01-26,9,7
2021-01-27,9,7
2021-01-28,11,5
2021-01-29,14,2
2021-01-30,14,2
2021-01-31,14,1
2021-02-01,13,3
2021-02-02,13,3
2021-02-03,13,3
2021-02-04,15,1
2021-02-05,13,3
2021-02-06,11,5
2021-02-07,10,4
2021-02-08,11,3
2021-02-09,12,2
2021-02-10,12,2
2021-02-11,13,1
2021-02-12,14,0
2021-02-13,11,3
2021-02-14,11,2
2021-02-15,12,1
2021-02-16,12,2
2021-02-17,12,2
2021-02-18,12,2
2021-02-19,12,2
2021-02-20,11,4
2021-02-21,10,5
2021-02-22,9,6
2021-02-23,13,2
2021-02-24,14,1
2021-02-25,15,0
2021-02-26,14,1
2021-02-27,13,2
2021-02-28,13,2
2021-03-01,12,2
2021-03-02,13,1
2021-03-03,12,2
2021-03-04,12,2
2021-03-05,13,1
2021-03-06,13,2
2021-03-07,12,3
2021-03-08,13,1
2021-03-09,13,1
2021-03-10,14,1
2021-03-11,13,2
2021-03-12,11,4
2021-03-13,10,5
2021-03-14,10,5
2021-03-15,10,5
2021-03-16,9,6
2021-03-17,8,6
2021-03-18,8,6
2021-03-19,12,2
2021-03-20,12,2
2021-03-21,12,2
2021-03-22,12,2
2021-03-23,12,2
2021-03-24,12,2
2021-03-25,14,0
2021-03-26,13,1
2021-03-27,11,3
2021-03-28,11,3
2021-03-29,12,2
2021-03-30,8,6
2021-03-31,13,1
2021-04-01,12,2
2021-04-02,8,8
2021-04-03,10,5
2021-04-04,10,4
2021-04-05,12,2
2021-04-06,11,3
2021-04-07,11,3
2021-04-08,14,0
2021-04-09,15,1
2021-04-10,13,3
2021-04-11,12,3
2021-04-12,12,2
2021-04-13,12,2
2021-04-14,14,0
2021-04-15,13,1
2021-04-16,13,1
2021-04-17,12,2
2021-04-18,12,2
2021-04-19,10,4
2021-04-20,13,1
2021-04-21,13,1
2021-04-22,12,2
2021-04-23,12,2
2021-04-24,13,1
2021-04-25,10,4
2021-04-26,9,7
2021-04-27,12,4
2021-04-28,11,5
2021-04-29,15,3
2021-04-30,12,4
2021-05-01,13,3
2021-05-02,16,0
2021-05-03,16,0
2021-05-04,16,2
2021-05-05,13,5
