date,betten_belegt,betten_frei
2020-04-24,11,13
2020-04-25,13,13
2020-04-26,14,9
2020-04-27,16,14
2020-04-28,12,23
2020-04-29,9,15
2020-04-30,10,16
2020-05-01,13,13
2020-05-02,11,16
2020-05-03,8,16
2020-05-04,5,26
2020-05-05,9,20
2020-05-06,8,21
2020-05-07,7,22
2020-05-08,4,23
2020-05-09,5,22
2020-05-10,8,21
2020-05-11,8,21
2020-05-12,6,23
2020-05-13,6,21
2020-05-14,5,24
2020-05-15,5,22
2020-05-16,11,16
2020-05-17,7,16
2020-05-18,8,15
2020-05-19,7,17
2020-05-20,5,19
2020-05-21,4,20
2020-05-22,3,20
2020-05-23,4,19
2020-05-24,5,19
2020-05-25,5,19
2020-05-26,3,21
2020-05-27,5,19
2020-05-28,6,15
2020-05-29,6,15
2020-05-30,6,17
2020-05-31,4,19
2020-06-01,4,19
2020-06-02,6,18
2020-06-03,10,14
2020-06-04,9,15
2020-06-05,6,18
2020-06-06,5,19
2020-06-07,7,17
2020-06-08,11,12
2020-06-09,12,10
2020-06-10,11,13
2020-06-11,11,13
2020-06-12,8,16
2020-06-13,10,15
2020-06-14,8,16
2020-06-15,7,16
2020-06-16,4,20
2020-06-17,14,11
2020-06-18,12,12
2020-06-19,10,14
2020-06-20,10,14
2020-06-21,10,14
2020-06-22,13,9
2020-06-23,12,12
2020-06-24,18,6
2020-06-25,14,10
2020-06-26,11,13
2020-06-27,9,15
2020-06-28,7,17
2020-06-29,9,15
2020-06-30,11,13
2020-07-01,10,14
2020-07-02,5,19
2020-07-03,10,14
2020-07-04,9,16
2020-07-05,10,14
2020-07-06,13,11
2020-07-07,7,17
2020-07-08,7,17
2020-07-09,11,13
2020-07-10,13,11
2020-07-11,15,11
2020-07-12,11,12
2020-07-13,12,12
2020-07-14,10,14
2020-07-15,10,14
2020-07-16,10,13
2020-07-17,11,13
2020-07-18,13,11
2020-07-19,11,13
2020-07-20,11,13
2020-07-21,17,11
2020-07-22,16,12
2020-07-23,16,11
2020-07-24,10,14
2020-07-25,11,13
2020-07-26,14,10
2020-07-27,15,9
2020-07-28,16,8
2020-07-29,13,9
2020-07-30,17,5
2020-07-31,15,7
2020-08-01,14,8
2020-08-02,15,7
2020-08-03,10,14
2020-08-04,9,5
2020-08-05,5,9
2020-08-06,5,9
2020-08-07,9,5
2020-08-08,6,8
2020-08-09,6,8
2020-08-10,5,9
2020-08-11,8,6
2020-08-12,10,4
2020-08-13,8,6
2020-08-14,10,4
2020-08-15,8,6
2020-08-16,9,5
2020-08-17,8,6
2020-08-18,7,6
2020-08-19,6,7
2020-08-20,5,8
2020-08-21,5,8
2020-08-22,4,9
2020-08-23,4,9
2020-08-24,4,9
2020-08-25,3,11
2020-08-26,3,11
2020-08-27,3,10
2020-08-28,3,10
2020-08-29,3,10
2020-08-30,2,11
2020-08-31,2,11
2020-09-01,3,10
2020-09-02,6,7
2020-09-03,6,7
2020-09-04,7,6
2020-09-05,8,5
2020-09-06,6,7
2020-09-07,6,7
2020-09-08,8,5
2020-09-09,9,4
2020-09-10,6,7
2020-09-11,5,8
2020-09-12,6,7
2020-09-13,5,8
2020-09-14,4,9
2020-09-15,10,3
2020-09-16,7,6
2020-09-17,7,6
2020-09-18,10,3
2020-09-19,8,5
2020-09-20,7,6
2020-09-21,7,6
2020-09-22,5,8
2020-09-23,7,6
2020-09-24,8,5
2020-09-25,6,7
2020-09-26,7,6
2020-09-27,5,8
2020-09-28,7,6
2020-09-29,8,5
2020-09-30,10,3
2020-10-01,6,7
2020-10-02,8,5
2020-10-03,5,8
2020-10-04,5,8
2020-10-05,6,7
2020-10-06,9,4
2020-10-07,11,2
2020-10-08,7,6
2020-10-09,8,5
2020-10-10,11,2
2020-10-11,8,5
2020-10-12,6,7
2020-10-13,6,7
2020-10-14,5,8
2020-10-15,6,7
2020-10-16,8,5
2020-10-17,10,3
2020-10-18,7,6
2020-10-19,7,6
2020-10-20,5,8
2020-10-21,6,7
2020-10-22,6,7
2020-10-23,7,6
2020-10-24,8,5
2020-10-25,7,6
2020-10-26,6,7
2020-10-27,7,6
2020-10-28,8,5
2020-10-29,5,8
2020-10-30,7,6
2020-10-31,9,4
2020-11-01,5,8
2020-11-02,5,8
2020-11-03,3,10
2020-11-04,6,7
2020-11-05,6,7
2020-11-06,5,8
2020-11-07,5,7
2020-11-08,4,8
2020-11-09,7,5
2020-11-10,5,7
2020-11-11,4,8
2020-11-12,7,5
2020-11-13,6,6
2020-11-14,6,6
2020-11-15,7,5
2020-11-16,7,5
2020-11-17,5,7
2020-11-18,7,5
2020-11-19,8,4
2020-11-20,6,7
2020-11-21,5,7
2020-11-22,5,7
2020-11-23,4,9
2020-11-24,7,6
2020-11-25,8,5
2020-11-26,6,7
2020-11-27,9,2
2020-11-28,10,1
2020-11-29,10,1
2020-11-30,10,1
2020-12-01,9,2
2020-12-02,10,1
2020-12-03,10,1
2020-12-04,10,1
2020-12-05,10,0
2020-12-06,11,0
2020-12-07,9,2
2020-12-08,9,2
2020-12-09,9,2
2020-12-10,11,0
2020-12-11,8,3
2020-12-12,9,2
2020-12-13,9,2
2020-12-14,8,3
2020-12-15,10,1
2020-12-16,9,2
2020-12-17,9,2
2020-12-18,7,4
2020-12-19,10,1
2020-12-20,8,2
2020-12-21,7,4
2020-12-22,10,1
2020-12-23,9,2
2020-12-24,9,2
2020-12-25,8,2
2020-12-26,7,3
2020-12-27,8,2
2020-12-28,10,1
2020-12-29,9,2
2020-12-30,10,1
2020-12-31,9,2
2021-01-01,10,1
2021-01-02,9,1
2021-01-03,9,1
2021-01-04,9,1
2021-01-05,8,3
2021-01-06,8,3
2021-01-07,8,3
2021-01-08,8,3
2021-01-09,8,3
2021-01-10,9,2
2021-01-11,8,3
2021-01-12,8,2
2021-01-13,9,1
2021-01-14,10,0
2021-01-15,10,0
2021-01-16,10,0
2021-01-17,9,1
2021-01-18,10,0
2021-01-19,7,3
2021-01-20,8,2
2021-01-21,9,1
2021-01-22,10,0
2021-01-23,9,1
2021-01-24,10,0
2021-01-25,10,0
2021-01-26,10,0
2021-01-27,10,0
2021-01-28,10,0
2021-01-29,9,2
2021-01-30,10,0
2021-01-31,9,1
2021-02-01,10,0
2021-02-02,10,0
2021-02-03,11,0
2021-02-04,9,2
2021-02-05,11,0
2021-02-06,9,1
2021-02-07,10,0
2021-02-08,9,2
2021-02-09,11,0
2021-02-10,11,0
2021-02-11,9,2
2021-02-12,8,3
2021-02-13,9,2
2021-02-14,9,2
2021-02-15,10,1
2021-02-16,10,1
2021-02-17,10,1
2021-02-18,9,2
2021-02-19,10,1
2021-02-20,9,2
2021-02-21,8,3
2021-02-22,10,1
2021-02-23,6,5
2021-02-24,9,2
2021-02-25,9,2
2021-02-26,8,3
2021-02-27,8,3
2021-02-28,7,4
2021-03-01,7,4
2021-03-02,6,5
2021-03-03,6,5
2021-03-04,8,3
2021-03-05,7,4
2021-03-06,7,4
2021-03-07,7,4
2021-03-08,7,4
2021-03-09,5,6
2021-03-10,5,6
2021-03-11,7,4
2021-03-12,11,0
2021-03-13,9,2
2021-03-14,10,1
2021-03-15,7,4
2021-03-16,10,1
2021-03-17,9,1
2021-03-18,8,3
2021-03-19,9,2
2021-03-20,9,2
2021-03-21,9,2
2021-03-22,9,2
2021-03-23,8,3
2021-03-24,10,1
2021-03-25,9,2
2021-03-26,11,0
2021-03-27,8,3
2021-03-28,8,3
2021-03-29,7,4
2021-03-30,8,3
2021-03-31,8,3
2021-04-01,10,1
2021-04-02,10,1
2021-04-03,11,0
2021-04-04,10,1
2021-04-05,9,2
2021-04-06,9,2
2021-04-07,7,4
2021-04-08,8,1
2021-04-09,8,1
2021-04-10,8,1
2021-04-11,8,1
2021-04-12,8,1
2021-04-13,8,1
2021-04-14,8,1
2021-04-15,7,2
2021-04-16,9,2
2021-04-17,9,2
2021-04-18,10,1
2021-04-19,9,2
2021-04-20,9,2
2021-04-21,8,3
2021-04-22,9,2
2021-04-23,9,2
2021-04-24,9,2
2021-04-25,9,2
2021-04-26,9,2
2021-04-27,9,2
2021-04-28,9,3
2021-04-29,7,5
2021-04-30,8,4
2021-05-01,8,4
2021-05-02,9,3
2021-05-03,11,1
2021-05-04,11,1
2021-05-05,10,2
2021-05-06,10,2
2021-05-07,10,2
2021-05-08,10,2
2021-05-09,10,2
2021-05-10,9,3
2021-05-11,9,3
2021-05-12,8,3
2021-05-13,9,2
2021-05-14,10,1
2021-05-15,9,2
2021-05-16,9,2
2021-05-17,8,3
2021-05-18,6,5
2021-05-19,7,4
2021-05-20,7,4
2021-05-21,10,0
2021-05-22,9,1
2021-05-23,8,2
2021-05-24,7,3
2021-05-25,6,4
2021-05-26,7,3
2021-05-27,5,5
2021-05-28,3,7
2021-05-29,3,7
2021-05-30,3,7
2021-05-31,5,5
2021-06-01,4,7
2021-06-02,5,6
2021-06-03,5,6
2021-06-04,5,6
2021-06-05,5,6
2021-06-06,5,6
2021-06-07,8,3
2021-06-08,5,6
2021-06-09,6,5
2021-06-10,5,6
2021-06-11,6,5
2021-06-12,8,3
2021-06-13,4,7
2021-06-14,7,4
2021-06-15,5,6
2021-06-16,7,4
2021-06-17,9,2
2021-06-18,4,9
2021-06-19,6,7
2021-06-20,7,6
2021-06-21,6,7
2021-06-22,7,6
2021-06-23,6,7
2021-06-24,5,8
2021-06-25,7,6
2021-06-26,9,4
2021-06-27,8,5
2021-06-28,7,6
2021-06-29,7,6
2021-06-30,10,3
2021-07-01,8,5
2021-07-02,5,8
2021-07-03,5,8
2021-07-04,6,7
2021-07-05,7,6
2021-07-06,6,7
2021-07-07,8,5
2021-07-08,6,7
2021-07-09,6,7
2021-07-10,6,7
2021-07-11,6,7
2021-07-12,6,7
2021-07-13,4,9
2021-07-14,6,7
2021-07-15,6,7
2021-07-16,3,10
2021-07-17,5,8
2021-07-18,5,8
2021-07-19,5,8
2021-07-20,3,10
2021-07-21,6,7
2021-07-22,7,6
2021-07-23,7,6
2021-07-24,7,6
2021-07-25,7,6
2021-07-26,5,8
2021-07-27,5,8
2021-07-28,9,4
2021-07-29,8,5
2021-07-30,8,5
2021-07-31,6,7
2021-08-01,5,8
2021-08-02,6,7
2021-08-03,5,8
2021-08-04,6,7
2021-08-05,7,6
2021-08-06,5,8
2021-08-07,5,8
2021-08-08,4,9
2021-08-09,5,8
2021-08-10,4,9
2021-08-11,7,6
2021-08-12,7,6
2021-08-13,10,3
2021-08-14,9,4
2021-08-15,8,5
2021-08-16,6,7
2021-08-17,8,5
2021-08-18,7,6
2021-08-19,9,4
2021-08-20,6,7
2021-08-21,8,5
2021-08-22,9,4
2021-08-23,8,3
2021-08-24,7,4
2021-08-25,10,1
2021-08-26,7,4
2021-08-27,9,2
2021-08-28,7,4
2021-08-29,7,4
2021-08-30,8,3
2021-08-31,9,2
2021-09-01,8,3
2021-09-02,8,5
2021-09-03,9,4
2021-09-04,7,6
2021-09-05,8,2
2021-09-06,8,2
2021-09-07,9,2
2021-09-08,10,1
2021-09-09,8,3
2021-09-10,10,1
2021-09-11,8,2
2021-09-12,7,3
2021-09-13,9,2
2021-09-14,9,2
2021-09-15,11,1
2021-09-16,10,1
2021-09-17,7,4
2021-09-18,8,1
2021-09-19,6,3
2021-09-20,8,3
2021-09-21,6,5
2021-09-22,7,4
2021-09-23,6,5
2021-09-24,8,3
2021-09-25,3,10
2021-09-26,8,5
2021-09-27,8,5
2021-09-28,7,6
2021-09-29,5,8
2021-09-30,5,8
2021-10-01,7,6
2021-10-02,7,6
2021-10-03,3,10
2021-10-04,5,8
2021-10-05,5,7
2021-10-06,7,6
2021-10-07,5,8
2021-10-08,7,6
2021-10-09,7,6
2021-10-10,6,7
2021-10-11,7,6
2021-10-12,7,6
2021-10-13,6,7
2021-10-14,5,8
2021-10-15,7,6
2021-10-16,7,6
2021-10-17,7,6
2021-10-18,7,6
2021-10-19,8,5
2021-10-20,9,4
2021-10-21,9,4
2021-10-22,7,6
2021-10-23,7,6
2021-10-24,8,5
2021-10-25,10,1
2021-10-26,10,1
2021-10-27,11,0
2021-10-28,9,2
2021-10-29,9,2
2021-10-30,8,3
2021-10-31,9,2
2021-11-01,9,2
2021-11-02,10,0
2021-11-03,9,1
2021-11-04,10,0
2021-11-05,8,1
2021-11-06,8,1
2021-11-07,10,0
2021-11-08,10,0
2021-11-09,10,1
2021-11-10,10,1
2021-11-11,8,3
2021-11-12,8,3
2021-11-13,10,1
2021-11-14,11,0
2021-11-15,10,1
2021-11-16,11,1
2021-11-17,10,2
2021-11-18,10,2
2021-11-19,10,2
2021-11-20,9,3
2021-11-21,9,3
2021-11-22,11,2
2021-11-23,12,1
2021-11-24,11,2
2021-11-25,10,3
2021-11-26,13,0
2021-11-27,12,1
2021-11-28,12,0
2021-11-29,12,1
2021-11-30,12,0
2021-12-01,12,1
2021-12-02,12,2
2021-12-03,9,3
2021-12-04,12,0
2021-12-05,11,1
2021-12-06,12,0
2021-12-07,11,1
2021-12-08,11,1
2021-12-09,11,1
2021-12-10,11,1
2021-12-11,12,1
2021-12-12,12,1
2021-12-13,10,2
2021-12-14,11,2
2021-12-15,13,0
2021-12-16,11,1
2021-12-17,11,2
2021-12-18,13,0
2021-12-19,12,0
2021-12-20,12,0
2021-12-21,13,0
2021-12-22,11,1
2021-12-23,11,1
2021-12-24,10,2
2021-12-25,10,2
2021-12-26,9,3
2021-12-27,8,4
2021-12-28,9,1
2021-12-29,8,3
2021-12-30,8,3
2021-12-31,11,0
2022-01-01,11,0
2022-01-02,10,1
2022-01-03,8,3
2022-01-04,8,3
2022-01-05,9,2
2022-01-06,10,1
2022-01-07,10,1
2022-01-08,9,2
2022-01-09,9,3
2022-01-10,8,3
2022-01-11,8,3
2022-01-12,10,1
2022-01-13,12,0
2022-01-14,11,0
2022-01-15,10,1
2022-01-16,11,0
2022-01-17,10,1
2022-01-18,8,3
2022-01-19,8,3
2022-01-20,9,2
2022-01-21,8,3
2022-01-22,10,1
2022-01-23,7,4
2022-01-24,7,5
2022-01-25,9,3
2022-01-26,9,2
2022-01-27,9,2
2022-01-28,9,2
2022-01-29,9,2
2022-01-30,9,2
2022-01-31,9,2
2022-02-01,10,1
2022-02-02,9,2
2022-02-03,7,4
2022-02-04,6,5
2022-02-05,8,5
2022-02-06,7,6
2022-02-07,5,8
2022-02-08,6,7
2022-02-09,5,8
2022-02-10,8,5
2022-02-11,10,1
2022-02-12,9,4
2022-02-13,8,5
2022-02-14,7,6
2022-02-15,8,5
2022-02-16,8,5
2022-02-17,12,1
2022-02-18,13,0
2022-02-19,11,2
2022-02-20,9,4
2022-02-21,8,5
2022-02-22,10,1
2022-02-23,9,2
2022-02-24,7,6
2022-02-25,6,7
2022-02-26,7,4
2022-02-27,8,3
2022-02-28,7,4
