date,betten_belegt,betten_frei
2020-04-24,7,13
2020-04-25,8,12
2020-04-26,8,12
2020-04-27,8,12
2020-04-28,7,13
2020-04-29,9,11
2020-04-30,5,15
2020-05-01,4,16
2020-05-02,4,16
2020-05-03,4,16
2020-05-04,8,12
2020-05-05,8,12
2020-05-06,7,13
2020-05-07,4,16
2020-05-08,8,12
2020-05-09,7,12
2020-05-10,9,11
2020-05-11,10,10
2020-05-12,9,11
2020-05-13,10,10
2020-05-14,10,10
2020-05-15,11,9
2020-05-16,7,13
2020-05-17,5,15
2020-05-18,7,13
2020-05-19,10,10
2020-05-20,6,14
2020-05-21,6,14
2020-05-22,4,16
2020-05-23,9,5
2020-05-24,9,5
2020-05-25,3,17
2020-05-26,6,14
2020-05-27,4,16
2020-05-28,5,15
2020-05-29,5,15
2020-05-30,3,17
2020-05-31,3,17
2020-06-01,6,14
2020-06-02,5,15
2020-06-03,9,11
2020-06-04,5,15
2020-06-05,5,15
2020-06-06,5,15
2020-06-07,6,15
2020-06-08,3,17
2020-06-09,3,17
2020-06-10,4,8
2020-06-11,4,8
2020-06-12,7,5
2020-06-13,9,3
2020-06-14,9,3
2020-06-15,9,3
2020-06-16,7,5
2020-06-17,9,3
2020-06-18,8,4
2020-06-19,8,4
2020-06-20,4,8
2020-06-21,7,5
2020-06-22,8,4
2020-06-23,7,5
2020-06-24,6,6
2020-06-25,7,5
2020-06-26,6,6
2020-06-27,11,1
2020-06-28,11,1
2020-06-29,8,4
2020-06-30,9,3
2020-07-01,9,3
2020-07-02,8,4
2020-07-03,4,8
2020-07-04,8,4
2020-07-05,8,4
2020-07-06,8,4
2020-07-07,9,3
2020-07-08,9,3
2020-07-09,9,3
2020-07-10,8,4
2020-07-11,8,4
2020-07-12,8,4
2020-07-13,7,5
2020-07-14,8,4
2020-07-15,7,5
2020-07-16,9,3
2020-07-17,10,2
2020-07-18,10,2
2020-07-19,4,12
2020-07-20,5,11
2020-07-21,7,9
2020-07-22,4,12
2020-07-23,7,9
2020-07-24,6,10
2020-07-25,6,10
2020-07-26,7,9
2020-07-27,8,8
2020-07-28,8,8
2020-07-29,8,8
2020-07-30,6,10
2020-07-31,9,7
2020-08-01,9,7
2020-08-02,10,6
2020-08-03,9,3
2020-08-04,2,10
2020-08-05,10,2
2020-08-06,10,2
2020-08-07,8,4
2020-08-08,6,6
2020-08-09,7,5
2020-08-10,8,4
2020-08-11,9,3
2020-08-12,7,5
2020-08-13,6,6
2020-08-14,3,9
2020-08-15,7,5
2020-08-16,6,6
2020-08-17,5,7
2020-08-18,10,2
2020-08-19,10,2
2020-08-20,6,6
2020-08-21,6,6
2020-08-22,8,4
2020-08-23,6,6
2020-08-24,5,7
2020-08-25,9,3
2020-08-26,8,4
2020-08-27,10,2
2020-08-28,9,3
2020-08-29,8,4
2020-08-30,8,4
2020-08-31,10,2
2020-09-01,10,2
2020-09-02,10,2
2020-09-03,9,3
2020-09-04,11,1
2020-09-05,12,0
2020-09-06,12,0
2020-09-07,7,5
2020-09-08,5,7
2020-09-09,10,2
2020-09-10,8,4
2020-09-11,5,7
2020-09-12,5,7
2020-09-13,8,4
2020-09-14,8,4
2020-09-15,9,3
2020-09-16,8,4
2020-09-17,10,2
2020-09-18,8,4
2020-09-19,10,2
2020-09-20,10,2
2020-09-21,9,3
2020-09-22,9,3
2020-09-23,9,3
2020-09-24,8,4
2020-09-25,8,4
2020-09-26,9,3
2020-09-27,10,2
2020-09-28,9,3
2020-09-29,10,2
2020-09-30,9,3
2020-10-01,10,2
2020-10-02,10,2
2020-10-03,11,1
2020-10-04,8,4
2020-10-05,9,3
2020-10-06,9,3
2020-10-07,6,6
2020-10-08,10,2
2020-10-09,9,3
2020-10-10,9,3
2020-10-11,5,7
2020-10-12,10,2
2020-10-13,10,2
2020-10-14,7,5
2020-10-15,7,5
2020-10-16,10,2
2020-10-17,7,5
2020-10-18,8,4
2020-10-19,10,2
2020-10-20,10,2
2020-10-21,10,0
2020-10-22,10,0
2020-10-23,10,0
2020-10-24,8,2
2020-10-25,6,4
2020-10-26,6,4
2020-10-27,6,4
2020-10-28,10,0
2020-10-29,10,0
2020-10-30,10,0
2020-10-31,10,0
2020-11-01,10,0
2020-11-02,7,3
2020-11-03,9,1
2020-11-04,9,1
2020-11-05,5,5
2020-11-06,8,2
2020-11-07,7,3
2020-11-08,8,2
2020-11-09,9,1
2020-11-10,8,2
2020-11-11,5,5
2020-11-12,9,1
2020-11-13,7,3
2020-11-14,8,2
2020-11-15,10,0
2020-11-16,6,4
2020-11-17,4,6
2020-11-18,7,3
2020-11-19,8,2
2020-11-20,9,1
2020-11-21,7,3
2020-11-22,9,1
2020-11-23,9,1
2020-11-24,10,0
2020-11-25,9,1
2020-11-26,7,3
2020-11-27,10,0
2020-11-28,10,0
2020-11-29,10,0
2020-11-30,10,0
2020-12-01,10,0
