date,betten_belegt,betten_frei
2020-04-24,2,27
2020-04-25,2,27
2020-04-26,3,24
2020-04-27,3,24
2020-04-28,4,23
2020-04-29,5,20
2020-04-30,5,20
2020-05-01,5,20
2020-05-02,5,20
2020-05-03,5,20
2020-05-04,5,20
2020-05-05,5,20
2020-05-06,6,18
2020-05-07,7,17
2020-05-08,6,18
2020-05-09,6,18
2020-05-10,6,18
2020-05-11,6,18
2020-05-12,6,18
2020-05-13,3,24
2020-05-14,4,22
2020-05-15,3,24
2020-05-16,2,26
2020-05-17,2,26
2020-05-18,3,26
2020-05-19,3,26
2020-05-20,3,26
2020-05-21,5,20
2020-05-22,5,20
2020-05-23,5,20
2020-05-24,5,20
2020-05-25,5,20
2020-05-26,5,20
2020-05-27,6,18
2020-05-28,6,18
2020-05-29,4,22
2020-05-30,7,16
2020-05-31,7,16
2020-06-01,7,16
2020-06-02,7,16
2020-06-03,4,22
2020-06-04,6,18
2020-06-05,7,16
2020-06-06,7,16
2020-06-07,7,16
2020-06-08,10,20
2020-06-09,10,20
2020-06-10,6,18
2020-06-11,7,8
2020-06-12,5,12
2020-06-13,7,8
2020-06-14,5,10
2020-06-15,6,12
2020-06-16,6,9
2020-06-17,5,10
2020-06-18,8,7
2020-06-19,8,7
2020-06-20,9,6
2020-06-21,8,7
2020-06-22,8,7
2020-06-23,9,6
2020-06-24,8,7
2020-06-25,7,8
2020-06-26,6,9
2020-06-27,6,9
2020-06-28,6,10
2020-06-29,3,12
2020-06-30,6,9
2020-07-01,4,11
2020-07-02,7,8
2020-07-03,5,10
2020-07-04,5,10
2020-07-05,6,9
2020-07-06,5,10
2020-07-07,4,11
2020-07-08,6,9
2020-07-09,8,7
2020-07-10,6,9
2020-07-11,6,9
2020-07-12,6,9
2020-07-13,8,7
2020-07-14,8,7
2020-07-15,4,11
2020-07-16,6,9
2020-07-17,9,6
2020-07-18,9,6
2020-07-19,9,6
2020-07-20,6,9
2020-07-21,6,9
2020-07-22,7,8
2020-07-23,8,7
2020-07-24,7,8
2020-07-25,7,8
2020-07-26,6,9
2020-07-27,8,7
2020-07-28,8,7
2020-07-29,8,7
2020-07-30,8,7
2020-07-31,7,8
2020-08-01,7,8
2020-08-02,7,8
2020-08-03,6,8
2020-08-04,6,8
2020-08-05,7,8
2020-08-06,7,8
2020-08-07,7,8
2020-08-08,6,9
2020-08-09,6,9
2020-08-10,6,9
2020-08-11,4,11
2020-08-12,8,7
2020-08-13,9,6
2020-08-14,8,7
2020-08-15,6,9
2020-08-16,6,9
2020-08-17,5,10
2020-08-18,8,7
2020-08-19,10,5
2020-08-20,7,8
2020-08-21,5,10
2020-08-22,5,10
2020-08-23,7,8
2020-08-24,4,11
2020-08-25,4,11
2020-08-26,8,7
2020-08-27,7,8
2020-08-28,5,10
2020-08-29,5,10
2020-08-30,6,9
2020-08-31,5,10
2020-09-01,6,9
2020-09-02,6,9
2020-09-03,7,8
2020-09-04,5,10
2020-09-05,8,7
2020-09-06,5,10
2020-09-07,4,11
2020-09-08,4,11
2020-09-09,2,13
2020-09-10,6,9
2020-09-11,5,10
2020-09-12,6,9
2020-09-13,5,10
2020-09-14,7,8
2020-09-15,6,9
2020-09-16,6,9
2020-09-17,9,6
2020-09-18,8,7
2020-09-19,7,8
2020-09-20,3,12
2020-09-21,9,6
2020-09-22,9,6
2020-09-23,9,6
2020-09-24,9,6
2020-09-25,9,6
2020-09-26,9,6
2020-09-27,7,8
2020-09-28,7,8
2020-09-29,7,8
2020-09-30,7,8
2020-10-01,7,8
2020-10-02,8,7
2020-10-03,8,7
2020-10-04,6,9
2020-10-05,9,6
2020-10-06,5,10
2020-10-07,6,9
2020-10-08,6,0
2020-10-09,6,0
2020-10-10,7,8
2020-10-11,5,10
2020-10-12,4,2
2020-10-13,6,0
2020-10-14,6,0
2020-10-15,5,1
2020-10-16,7,0
2020-10-17,9,1
2020-10-18,7,0
2020-10-19,9,0
2020-10-20,9,0
2020-10-21,8,0
2020-10-22,9,0
2020-10-23,7,0
2020-10-24,4,2
2020-10-25,6,0
2020-10-26,3,3
2020-10-27,7,0
2020-10-28,6,0
2020-10-29,6,0
2020-10-30,6,0
2020-10-31,6,0
2020-11-01,5,1
2020-11-02,5,1
2020-11-03,3,3
2020-11-04,4,2
2020-11-05,6,0
2020-11-06,8,0
2020-11-07,8,0
2020-11-08,7,0
2020-11-09,5,0
2020-11-10,6,0
2020-11-11,8,0
2020-11-12,4,2
2020-11-13,6,0
2020-11-14,7,0
2020-11-15,9,0
2020-11-16,8,0
2020-11-17,5,1
2020-11-18,5,1
2020-11-19,5,1
2020-11-20,4,2
2020-11-21,4,2
2020-11-22,4,2
2020-11-23,4,2
2020-11-24,5,1
2020-11-25,6,0
2020-11-26,4,2
2020-11-27,4,2
2020-11-28,7,0
2020-11-29,4,2
2020-11-30,5,1
2020-12-01,4,2
2020-12-02,3,3
2020-12-03,6,0
2020-12-04,6,0
2020-12-05,6,0
2020-12-06,5,1
2020-12-07,7,0
2020-12-08,8,0
2020-12-09,8,0
2020-12-10,8,0
2020-12-11,8,0
2020-12-12,8,0
2020-12-13,7,0
2020-12-14,4,2
2020-12-15,7,0
2020-12-16,7,0
2020-12-17,8,0
2020-12-18,8,0
2020-12-19,7,0
2020-12-20,7,0
2020-12-21,6,0
2020-12-22,8,0
2020-12-23,6,2
2020-12-24,8,0
2020-12-25,8,0
2020-12-26,3,3
2020-12-27,3,3
2020-12-28,3,3
2020-12-29,3,3
2020-12-30,4,2
2020-12-31,3,3
2021-01-01,3,3
2021-01-02,4,1
2021-01-03,7,0
2021-01-04,7,1
2021-01-05,7,1
2021-01-06,8,0
2021-01-07,6,2
2021-01-08,6,2
2021-01-09,8,0
2021-01-10,9,0
2021-01-11,9,0
2021-01-12,8,0
2021-01-13,7,0
2021-01-14,8,0
2021-01-15,9,0
2021-01-16,9,0
2021-01-17,8,2
2021-01-18,8,2
2021-01-19,8,2
2021-01-20,8,2
2021-01-21,10,0
2021-01-22,10,0
2021-01-23,9,1
2021-01-24,10,1
2021-01-25,10,1
2021-01-26,10,0
2021-01-27,10,0
2021-01-28,11,0
2021-01-29,11,0
2021-01-30,12,3
2021-01-31,10,5
2021-02-01,10,5
2021-02-02,11,4
2021-02-03,10,5
2021-02-04,10,5
2021-02-05,9,6
2021-02-06,8,7
2021-02-07,8,7
2021-02-08,9,6
2021-02-09,9,6
2021-02-10,9,6
2021-02-11,9,6
2021-02-12,7,8
2021-02-13,7,8
2021-02-14,6,9
2021-02-15,6,9
2021-02-16,7,8
2021-02-17,12,3
2021-02-18,12,3
2021-02-19,12,3
2021-02-20,9,6
2021-02-21,10,5
2021-02-22,9,6
2021-02-23,10,5
2021-02-24,7,8
2021-02-25,6,9
2021-02-26,6,9
2021-02-27,6,9
2021-02-28,6,9
2021-03-01,7,8
2021-03-02,7,8
2021-03-03,5,10
2021-03-04,5,10
2021-03-05,7,8
2021-03-06,8,7
2021-03-07,6,9
2021-03-08,7,8
