date,betten_belegt,betten_frei
2020-04-24,7,9
2020-04-25,8,9
2020-04-26,11,5
2020-04-27,16,0
2020-04-28,10,6
2020-04-29,8,8
2020-04-30,13,3
2020-05-01,12,3
2020-05-02,12,4
2020-05-03,11,5
2020-05-04,12,4
2020-05-05,11,5
2020-05-06,7,9
2020-05-07,8,8
2020-05-08,9,7
2020-05-09,8,8
2020-05-10,11,5
2020-05-11,12,4
2020-05-12,7,9
2020-05-13,7,9
2020-05-14,7,9
2020-05-15,9,7
2020-05-16,10,6
2020-05-17,11,5
2020-05-18,10,6
2020-05-19,12,4
2020-05-20,9,7
2020-05-21,11,5
2020-05-22,9,11
2020-05-23,11,5
2020-05-24,10,6
2020-05-25,10,6
2020-05-26,7,9
2020-05-27,10,6
2020-05-28,8,8
2020-05-29,8,8
2020-05-30,9,5
2020-05-31,11,6
2020-06-01,9,9
2020-06-02,10,6
2020-06-03,10,6
2020-06-04,12,4
2020-06-05,15,1
2020-06-06,11,5
2020-06-07,11,5
2020-06-08,10,6
2020-06-09,9,7
2020-06-10,8,8
2020-06-11,8,8
2020-06-12,9,7
2020-06-13,12,2
2020-06-14,7,9
2020-06-15,8,8
2020-06-16,10,6
2020-06-17,12,4
2020-06-18,12,4
2020-06-19,9,7
2020-06-20,5,11
2020-06-21,5,11
2020-06-22,2,14
2020-06-23,4,12
2020-06-24,6,10
2020-06-25,7,9
2020-06-26,10,6
2020-06-27,8,8
2020-06-28,13,3
2020-06-29,9,7
2020-06-30,7,9
2020-07-01,7,9
2020-07-02,9,7
2020-07-03,9,7
2020-07-04,6,9
2020-07-05,11,5
2020-07-06,9,7
2020-07-07,14,2
2020-07-08,14,2
2020-07-09,14,2
2020-07-10,7,9
2020-07-11,6,10
2020-07-12,10,13
2020-07-13,9,7
2020-07-14,9,7
2020-07-15,9,7
2020-07-16,11,5
2020-07-17,12,4
2020-07-18,10,6
2020-07-19,12,4
2020-07-20,13,3
2020-07-21,13,3
2020-07-22,10,6
2020-07-23,10,6
2020-07-24,10,6
2020-07-25,7,9
2020-07-26,6,10
2020-07-27,6,10
2020-07-28,8,8
2020-07-29,5,11
2020-07-30,9,7
2020-07-31,12,4
2020-08-01,12,4
2020-08-02,9,7
2020-08-03,5,11
2020-08-04,10,6
2020-08-05,10,6
2020-08-06,11,5
2020-08-07,12,4
2020-08-08,11,5
2020-08-09,7,9
2020-08-10,9,7
2020-08-11,8,8
2020-08-12,8,8
2020-08-13,8,8
2020-08-14,12,4
2020-08-15,12,4
2020-08-16,11,5
2020-08-17,12,4
2020-08-18,10,6
2020-08-19,9,7
2020-08-20,8,8
2020-08-21,10,6
2020-08-22,11,5
2020-08-23,12,4
2020-08-24,10,6
2020-08-25,12,4
2020-08-26,10,6
2020-08-27,10,6
2020-08-28,12,4
2020-08-29,11,5
2020-08-30,13,3
2020-08-31,7,9
2020-09-01,10,6
2020-09-02,8,8
