date,betten_belegt,betten_frei
2020-04-24,28,46
2020-04-25,29,47
2020-04-26,32,45
2020-04-27,34,44
2020-04-28,28,49
2020-04-29,26,51
2020-04-30,25,48
2020-05-01,16,53
2020-05-02,16,63
2020-05-03,19,60
2020-05-04,20,59
2020-05-05,22,60
2020-05-06,20,59
2020-05-07,19,60
2020-05-08,21,11
2020-05-09,20,8
2020-05-10,20,10
2020-05-11,21,10
2020-05-12,23,9
2020-05-13,30,3
2020-05-14,21,12
2020-05-15,24,13
2020-05-16,20,14
2020-05-17,16,15
2020-05-18,15,16
2020-05-19,19,15
2020-05-20,21,12
2020-05-21,19,14
2020-05-22,19,14
2020-05-23,18,13
2020-05-24,21,10
2020-05-25,22,9
2020-05-26,26,7
2020-05-27,23,10
2020-05-28,20,12
2020-05-29,20,14
2020-05-30,17,14
2020-05-31,15,16
2020-06-01,19,12
2020-06-02,18,12
2020-06-03,24,6
2020-06-04,25,8
2020-06-05,28,5
2020-06-06,19,14
2020-06-07,19,8
2020-06-08,24,9
2020-06-09,26,9
2020-06-10,22,12
2020-06-11,23,11
2020-06-12,20,11
2020-06-13,19,13
2020-06-14,18,14
2020-06-15,22,14
2020-06-16,17,20
2020-06-17,26,8
2020-06-18,25,9
2020-06-19,22,13
2020-06-20,26,9
2020-06-21,26,9
2020-06-22,23,11
2020-06-23,25,9
2020-06-24,26,9
2020-06-25,23,10
2020-06-26,26,8
2020-06-27,26,8
2020-06-28,18,5
2020-06-29,20,3
2020-06-30,23,6
2020-07-01,20,6
2020-07-02,23,6
2020-07-03,28,5
2020-07-04,29,3
2020-07-05,25,5
2020-07-06,27,2
2020-07-07,28,0
2020-07-08,27,2
2020-07-09,23,8
2020-07-10,25,4
2020-07-11,26,3
2020-07-12,26,3
2020-07-13,26,2
2020-07-14,26,4
2020-07-15,25,5
2020-07-16,26,2
2020-07-17,24,6
2020-07-18,23,5
2020-07-19,24,4
2020-07-20,25,3
2020-07-21,24,6
2020-07-22,24,4
2020-07-23,23,5
2020-07-24,21,7
2020-07-25,24,4
2020-07-26,19,9
2020-07-27,25,5
2020-07-28,25,5
2020-07-29,27,3
2020-07-30,24,6
2020-07-31,22,8
2020-08-01,22,8
2020-08-02,24,4
2020-08-03,24,4
2020-08-04,26,2
2020-08-05,25,3
2020-08-06,24,4
2020-08-07,28,0
2020-08-08,26,2
2020-08-09,28,0
2020-08-10,23,5
2020-08-11,27,1
2020-08-12,27,1
2020-08-13,25,1
2020-08-14,25,1
2020-08-15,23,3
2020-08-16,26,1
2020-08-17,23,4
2020-08-18,21,6
2020-08-19,22,5
2020-08-20,23,3
2020-08-21,22,5
2020-08-22,19,8
2020-08-23,19,8
2020-08-24,15,10
2020-08-25,18,7
2020-08-26,19,10
2020-08-27,22,7
2020-08-28,22,6
2020-08-29,23,5
2020-08-30,19,10
2020-08-31,19,10
2020-09-01,26,3
2020-09-02,25,4
2020-09-03,26,3
2020-09-04,23,6
2020-09-05,24,5
2020-09-06,26,3
2020-09-07,26,3
2020-09-08,25,4
2020-09-09,25,2
2020-09-10,23,4
2020-09-11,25,2
2020-09-12,26,2
2020-09-13,25,2
2020-09-14,24,5
2020-09-15,26,1
2020-09-16,25,2
2020-09-17,27,0
2020-09-18,25,4
2020-09-19,26,0
2020-09-20,27,0
2020-09-21,25,2
2020-09-22,27,2
2020-09-23,27,2
2020-09-24,23,6
2020-09-25,27,2
2020-09-26,26,1
2020-09-27,26,1
2020-09-28,25,2
2020-09-29,28,1
2020-09-30,28,1
2020-10-01,29,0
2020-10-02,26,2
2020-10-03,18,1
2020-10-04,13,6
2020-10-05,14,5
2020-10-06,16,3
2020-10-07,14,5
2020-10-08,19,0
2020-10-09,18,1
2020-10-10,17,2
2020-10-11,22,0
2020-10-12,22,7
2020-10-13,24,5
2020-10-14,23,0
2020-10-15,22,1
2020-10-16,22,2
2020-10-17,21,5
2020-10-18,23,4
2020-10-19,21,3
2020-10-20,19,10
2020-10-21,23,6
2020-10-22,18,9
2020-10-23,23,1
2020-10-24,20,4
2020-10-25,20,7
2020-10-26,21,6
2020-10-27,21,3
2020-10-28,25,3
2020-10-29,27,2
2020-10-30,26,3
2020-10-31,26,1
2020-11-01,22,5
2020-11-02,21,6
2020-11-03,19,10
2020-11-04,18,11
2020-11-05,20,9
2020-11-06,23,6
2020-11-07,22,7
2020-11-08,22,6
2020-11-09,22,7
2020-11-10,21,8
2020-11-11,18,11
2020-11-12,25,4
2020-11-13,23,4
2020-11-14,24,3
2020-11-15,21,2
2020-11-16,19,4
2020-11-17,24,3
2020-11-18,24,5
2020-11-19,22,7
2020-11-20,27,2
2020-11-21,27,0
2020-11-22,27,0
2020-11-23,24,3
2020-11-24,22,5
2020-11-25,24,5
2020-11-26,26,3
2020-11-27,22,7
2020-11-28,24,5
2020-11-29,25,4
2020-11-30,24,5
2020-12-01,23,4
2020-12-02,23,6
2020-12-03,23,6
2020-12-04,27,2
2020-12-05,24,5
2020-12-06,24,0
2020-12-07,23,1
2020-12-08,28,1
2020-12-09,23,5
2020-12-10,26,3
2020-12-11,25,0
2020-12-12,26,0
2020-12-13,27,0
2020-12-14,26,0
2020-12-15,27,0
2020-12-16,25,3
