date,betten_belegt,betten_frei
2020-04-24,20,3
2020-04-25,18,5
2020-04-26,18,5
2020-04-27,23,0
2020-04-28,23,0
2020-04-29,21,5
2020-04-30,19,8
2020-05-01,16,10
2020-05-02,13,13
2020-05-03,11,15
2020-05-04,13,10
2020-05-05,17,6
2020-05-06,17,6
2020-05-07,16,7
2020-05-08,20,3
2020-05-09,19,4
2020-05-10,18,5
2020-05-11,15,8
2020-05-12,20,3
2020-05-13,17,6
2020-05-14,20,6
2020-05-15,18,7
2020-05-16,14,9
2020-05-17,15,9
2020-05-18,17,7
2020-05-19,20,5
2020-05-20,18,6
2020-05-21,19,4
2020-05-22,18,5
2020-05-23,18,5
2020-05-24,21,2
2020-05-25,18,5
2020-05-26,19,4
2020-05-27,22,1
2020-05-28,18,5
2020-05-29,15,8
2020-05-30,17,6
2020-05-31,16,7
2020-06-01,20,3
2020-06-02,16,7
2020-06-03,18,5
2020-06-04,17,6
2020-06-05,14,9
2020-06-06,18,5
2020-06-07,14,9
2020-06-08,11,12
2020-06-09,14,9
2020-06-10,20,3
2020-06-11,21,2
2020-06-12,19,4
2020-06-13,20,3
2020-06-14,20,3
2020-06-15,19,4
2020-06-16,21,2
2020-06-17,22,1
2020-06-18,21,2
2020-06-19,18,5
2020-06-20,21,2
2020-06-21,20,3
2020-06-22,19,4
2020-06-23,20,3
2020-06-24,20,3
2020-06-25,23,0
2020-06-26,23,1
2020-06-27,23,0
2020-06-28,22,2
2020-06-29,24,0
2020-06-30,16,7
2020-07-01,19,4
2020-07-02,21,1
2020-07-03,23,0
2020-07-04,22,1
2020-07-05,21,2
2020-07-06,21,2
2020-07-07,17,6
2020-07-08,20,3
2020-07-09,18,5
2020-07-10,17,6
2020-07-11,18,5
2020-07-12,15,8
2020-07-13,21,2
2020-07-14,18,5
2020-07-15,18,5
2020-07-16,18,5
2020-07-17,17,6
2020-07-18,13,10
2020-07-19,13,10
2020-07-20,13,10
2020-07-21,23,0
2020-07-22,22,1
2020-07-23,18,5
2020-07-24,17,6
2020-07-25,16,7
2020-07-26,17,6
2020-07-27,19,4
2020-07-28,20,3
2020-07-29,20,3
2020-07-30,20,3
2020-07-31,20,3
2020-08-01,19,4
2020-08-02,19,4
2020-08-03,19,4
2020-08-04,18,5
2020-08-05,20,3
2020-08-06,21,2
2020-08-07,19,4
2020-08-08,16,7
2020-08-09,18,5
2020-08-10,16,7
2020-08-11,18,5
2020-08-12,20,3
2020-08-13,16,7
2020-08-14,15,8
2020-08-15,20,3
2020-08-16,21,2
2020-08-17,21,2
2020-08-18,23,0
2020-08-19,22,1
2020-08-20,20,3
2020-08-21,16,7
2020-08-22,16,7
2020-08-23,15,8
2020-08-24,18,5
2020-08-25,18,5
2020-08-26,20,3
2020-08-27,17,6
2020-08-28,17,6
2020-08-29,17,6
2020-08-30,16,7
2020-08-31,21,2
2020-09-01,20,3
2020-09-02,23,0
2020-09-03,22,1
2020-09-04,23,0
2020-09-05,20,3
2020-09-06,18,5
2020-09-07,17,6
2020-09-08,22,1
2020-09-09,22,1
2020-09-10,23,0
2020-09-11,23,0
2020-09-12,23,0
2020-09-13,21,2
2020-09-14,21,2
2020-09-15,17,6
2020-09-16,22,1
2020-09-17,23,0
2020-09-18,17,6
2020-09-19,21,2
2020-09-20,23,0
2020-09-21,20,3
2020-09-22,23,0
2020-09-23,23,0
2020-09-24,23,0
2020-09-25,18,5
2020-09-26,20,3
2020-09-27,16,7
2020-09-28,18,5
2020-09-29,23,0
2020-09-30,23,0
2020-10-01,23,0
2020-10-02,22,1
2020-10-03,22,1
2020-10-04,22,1
2020-10-05,21,2
2020-10-06,21,2
2020-10-07,22,1
2020-10-08,21,2
2020-10-09,21,2
2020-10-10,19,4
2020-10-11,23,0
2020-10-12,22,1
2020-10-13,20,3
2020-10-14,21,2
2020-10-15,18,5
2020-10-16,16,7
2020-10-17,18,5
2020-10-18,17,6
2020-10-19,18,5
2020-10-20,19,4
2020-10-21,16,7
2020-10-22,17,6
2020-10-23,15,8
2020-10-24,23,0
2020-10-25,20,3
2020-10-26,20,3
2020-10-27,18,5
2020-10-28,21,2
2020-10-29,23,0
2020-10-30,23,0
2020-10-31,19,4
2020-11-01,23,0
2020-11-02,21,2
2020-11-03,23,0
2020-11-04,22,1
2020-11-05,22,4
2020-11-06,15,10
2020-11-07,19,2
2020-11-08,18,3
2020-11-09,18,3
2020-11-10,20,1
2020-11-11,20,1
2020-11-12,19,2
2020-11-13,18,3
2020-11-14,18,3
2020-11-15,21,0
2020-11-16,19,2
2020-11-17,21,0
2020-11-18,20,1
2020-11-19,20,1
2020-11-20,20,1
2020-11-21,20,1
2020-11-22,20,1
2020-11-23,18,3
2020-11-24,19,2
2020-11-25,19,2
2020-11-26,21,0
2020-11-27,20,1
2020-11-28,21,0
2020-11-29,21,0
2020-11-30,20,1
2020-12-01,21,0
2020-12-02,21,0
2020-12-03,20,1
2020-12-04,19,2
2020-12-05,21,1
2020-12-06,19,3
2020-12-07,19,3
2020-12-08,22,0
2020-12-09,23,2
2020-12-10,18,7
2020-12-11,22,3
2020-12-12,19,6
2020-12-13,16,9
2020-12-14,16,9
2020-12-15,17,8
2020-12-16,23,2
2020-12-17,19,6
2020-12-18,20,2
2020-12-19,19,3
2020-12-20,19,3
2020-12-21,20,2
2020-12-22,19,3
2020-12-23,18,4
2020-12-24,21,1
2020-12-25,22,0
2020-12-26,22,0
2020-12-27,22,0
2020-12-28,22,0
2020-12-29,21,1
2020-12-30,22,0
2020-12-31,21,1
2021-01-01,18,4
2021-01-02,19,3
2021-01-03,22,0
2021-01-04,20,2
2021-01-05,22,0
2021-01-06,20,2
2021-01-07,22,0
2021-01-08,22,0
2021-01-09,20,2
2021-01-10,22,0
2021-01-11,22,0
2021-01-12,21,1
2021-01-13,22,0
2021-01-14,22,0
2021-01-15,22,0
2021-01-16,22,0
2021-01-17,22,0
2021-01-18,22,0
2021-01-19,22,0
2021-01-20,22,0
2021-01-21,21,1
2021-01-22,22,0
2021-01-23,20,2
2021-01-24,17,5
2021-01-25,14,8
2021-01-26,16,6
2021-01-27,19,3
2021-01-28,22,0
2021-01-29,21,1
2021-01-30,20,2
2021-01-31,22,0
2021-02-01,21,1
2021-02-02,22,0
2021-02-03,20,2
