date,betten_belegt,betten_frei
2020-04-24,15,9
2020-04-25,16,8
2020-04-26,15,9
2020-04-27,15,9
2020-04-28,11,13
2020-04-29,15,9
2020-04-30,12,11
2020-05-01,12,11
2020-05-02,14,9
2020-05-03,14,9
2020-05-04,14,9
2020-05-05,11,13
2020-05-06,14,10
2020-05-07,13,11
2020-05-08,13,11
2020-05-09,13,11
2020-05-10,13,11
2020-05-11,10,14
2020-05-12,11,13
2020-05-13,12,12
2020-05-14,13,11
2020-05-15,13,11
2020-05-16,12,12
2020-05-17,13,11
2020-05-18,12,12
2020-05-19,16,8
2020-05-20,16,8
2020-05-21,13,11
2020-05-22,13,11
2020-05-23,16,8
2020-05-24,11,13
2020-05-25,13,10
2020-05-26,13,10
2020-05-27,13,10
2020-05-28,8,13
2020-05-29,13,10
2020-05-30,12,11
2020-05-31,11,13
2020-06-01,11,13
2020-06-02,12,12
2020-06-03,12,12
2020-06-04,12,12
2020-06-05,13,11
2020-06-06,13,11
2020-06-07,13,11
2020-06-08,13,11
2020-06-09,11,13
2020-06-10,13,10
2020-06-11,12,11
2020-06-12,12,11
2020-06-13,12,11
2020-06-14,12,11
2020-06-15,14,9
2020-06-16,13,10
2020-06-17,14,9
2020-06-18,13,10
2020-06-19,13,10
2020-06-20,13,11
2020-06-21,13,11
2020-06-22,14,10
2020-06-23,12,12
2020-06-24,14,10
2020-06-25,11,13
2020-06-26,12,12
2020-06-27,12,12
2020-06-28,11,13
2020-06-29,11,13
2020-06-30,11,13
2020-07-01,10,14
2020-07-02,11,13
2020-07-03,13,11
2020-07-04,12,12
2020-07-05,12,12
2020-07-06,12,12
2020-07-07,9,15
2020-07-08,8,16
2020-07-09,6,18
2020-07-10,10,14
2020-07-11,5,14
2020-07-12,7,14
2020-07-13,10,14
2020-07-14,11,13
2020-07-15,11,13
2020-07-16,13,11
2020-07-17,13,11
2020-07-18,13,11
2020-07-19,13,11
2020-07-20,9,15
2020-07-21,10,14
2020-07-22,10,14
2020-07-23,11,13
2020-07-24,10,14
2020-07-25,12,12
2020-07-26,11,13
2020-07-27,11,13
2020-07-28,10,14
2020-07-29,11,13
2020-07-30,13,11
2020-07-31,13,11
2020-08-01,13,11
2020-08-02,9,15
2020-08-03,9,15
2020-08-04,9,15
2020-08-05,10,14
2020-08-06,13,11
2020-08-07,12,12
2020-08-08,13,11
2020-08-09,13,11
2020-08-10,13,11
2020-08-11,13,11
2020-08-12,13,11
2020-08-13,13,11
2020-08-14,13,11
2020-08-15,12,12
2020-08-16,12,12
2020-08-17,13,11
2020-08-18,13,11
2020-08-19,13,11
2020-08-20,13,11
2020-08-21,13,11
2020-08-22,13,11
2020-08-23,14,10
2020-08-24,14,10
2020-08-25,14,10
2020-08-26,15,11
2020-08-27,15,9
2020-08-28,15,9
2020-08-29,15,9
2020-08-30,15,9
2020-08-31,14,10
2020-09-01,16,8
2020-09-02,16,8
2020-09-03,16,8
2020-09-04,16,8
2020-09-05,12,12
2020-09-06,13,11
2020-09-07,14,10
2020-09-08,14,10
2020-09-09,14,10
2020-09-10,14,10
2020-09-11,14,10
2020-09-12,14,10
2020-09-13,14,10
2020-09-14,14,10
2020-09-15,14,10
2020-09-16,14,10
2020-09-17,14,10
2020-09-18,14,10
2020-09-19,11,13
2020-09-20,11,13
2020-09-21,11,13
2020-09-22,11,13
2020-09-23,11,13
2020-09-24,11,13
2020-09-25,16,8
2020-09-26,16,8
2020-09-27,16,8
2020-09-28,16,8
2020-09-29,16,8
2020-09-30,15,9
2020-10-01,16,8
2020-10-02,15,9
2020-10-03,16,8
2020-10-04,16,8
2020-10-05,16,8
2020-10-06,16,8
2020-10-07,15,9
2020-10-08,16,8
2020-10-09,16,8
2020-10-10,16,8
2020-10-11,17,7
2020-10-12,18,6
2020-10-13,17,7
2020-10-14,17,7
2020-10-15,16,8
2020-10-16,16,8
2020-10-17,14,10
2020-10-18,16,8
2020-10-19,16,8
2020-10-20,15,9
2020-10-21,15,9
2020-10-22,17,7
2020-10-23,18,6
2020-10-24,18,6
2020-10-25,8,16
2020-10-26,15,9
2020-10-27,19,5
2020-10-28,17,7
2020-10-29,14,10
2020-10-30,10,14
2020-10-31,10,14
2020-11-01,10,14
2020-11-02,12,12
2020-11-03,16,8
2020-11-04,17,7
2020-11-05,15,9
2020-11-06,15,9
2020-11-07,15,9
2020-11-08,15,9
2020-11-09,17,7
2020-11-10,16,8
2020-11-11,17,7
2020-11-12,14,10
2020-11-13,16,8
2020-11-14,15,9
2020-11-15,15,9
2020-11-16,16,8
2020-11-17,15,9
2020-11-18,15,9
2020-11-19,17,7
2020-11-20,17,7
2020-11-21,17,7
2020-11-22,17,7
2020-11-23,17,7
2020-11-24,12,12
2020-11-25,15,9
2020-11-26,16,8
2020-11-27,16,8
2020-11-28,17,7
2020-11-29,17,7
2020-11-30,15,9
2020-12-01,13,11
2020-12-02,13,11
2020-12-03,14,10
2020-12-04,17,7
2020-12-05,18,6
2020-12-06,14,10
2020-12-07,14,10
2020-12-08,15,9
2020-12-09,17,7
2020-12-10,14,10
2020-12-11,15,9
2020-12-12,15,9
2020-12-13,18,6
2020-12-14,16,8
2020-12-15,14,10
2020-12-16,15,9
2020-12-17,13,11
2020-12-18,11,13
2020-12-19,12,12
2020-12-20,12,12
2020-12-21,12,12
2020-12-22,13,11
2020-12-23,14,10
2020-12-24,13,11
2020-12-25,13,11
2020-12-26,12,12
2020-12-27,16,8
2020-12-28,16,8
2020-12-29,16,8
2020-12-30,16,8
2020-12-31,14,10
2021-01-01,15,9
2021-01-02,15,9
2021-01-03,15,9
2021-01-04,17,7
2021-01-05,17,7
2021-01-06,17,7
2021-01-07,17,7
2021-01-08,17,7
2021-01-09,15,9
2021-01-10,15,9
2021-01-11,21,3
2021-01-12,20,4
2021-01-13,19,5
2021-01-14,20,4
2021-01-15,19,5
2021-01-16,17,7
2021-01-17,19,5
2021-01-18,20,4
2021-01-19,21,3
2021-01-20,19,5
2021-01-21,22,2
2021-01-22,22,2
2021-01-23,22,2
2021-01-24,23,1
2021-01-25,21,3
2021-01-26,18,6
2021-01-27,19,5
2021-01-28,19,5
2021-01-29,22,2
2021-01-30,20,4
2021-01-31,19,5
2021-02-01,21,3
2021-02-02,17,7
2021-02-03,22,2
2021-02-04,23,1
2021-02-05,22,2
2021-02-06,22,2
2021-02-07,22,2
2021-02-08,21,3
2021-02-09,20,4
2021-02-10,21,3
2021-02-11,20,4
2021-02-12,21,3
2021-02-13,20,4
2021-02-14,17,7
2021-02-15,16,8
2021-02-16,21,3
2021-02-17,19,5
2021-02-18,22,2
2021-02-19,21,3
2021-02-20,19,5
2021-02-21,20,4
2021-02-22,19,5
2021-02-23,22,2
2021-02-24,22,2
2021-02-25,22,2
2021-02-26,24,0
2021-02-27,22,2
2021-02-28,22,2
2021-03-01,22,2
2021-03-02,21,3
2021-03-03,22,2
2021-03-04,21,3
2021-03-05,20,4
2021-03-06,17,7
2021-03-07,18,6
2021-03-08,22,2
2021-03-09,22,2
2021-03-10,21,3
2021-03-11,22,2
2021-03-12,22,2
2021-03-13,20,4
2021-03-14,21,3
2021-03-15,22,2
2021-03-16,21,3
2021-03-17,21,3
2021-03-18,21,3
2021-03-19,19,5
2021-03-20,18,6
2021-03-21,17,7
2021-03-22,18,6
2021-03-23,21,3
2021-03-24,21,3
2021-03-25,21,3
2021-03-26,21,3
2021-03-27,21,3
2021-03-28,17,7
2021-03-29,18,6
2021-03-30,21,3
2021-03-31,19,5
2021-04-01,18,6
2021-04-02,17,7
2021-04-03,19,5
2021-04-04,19,5
2021-04-05,20,4
2021-04-06,20,4
2021-04-07,21,3
2021-04-08,20,4
2021-04-09,20,4
2021-04-10,17,7
2021-04-11,21,3
2021-04-12,20,4
2021-04-13,22,2
2021-04-14,21,3
2021-04-15,21,3
2021-04-16,21,3
2021-04-17,19,5
2021-04-18,19,5
2021-04-19,20,4
2021-04-20,21,3
2021-04-21,21,3
2021-04-22,20,4
2021-04-23,21,3
2021-04-24,15,9
2021-04-25,16,8
2021-04-26,20,4
2021-04-27,20,4
2021-04-28,21,3
2021-04-29,21,3
2021-04-30,20,4
2021-05-01,19,5
2021-05-02,19,5
2021-05-03,21,3
2021-05-04,21,3
2021-05-05,22,2
2021-05-06,22,2
2021-05-07,21,3
2021-05-08,21,3
2021-05-09,21,3
2021-05-10,21,3
2021-05-11,20,4
2021-05-12,20,4
2021-05-13,19,5
