date,betten_belegt,betten_frei
2020-04-24,5,11
2020-04-25,5,11
2020-04-26,4,12
2020-04-27,4,12
2020-04-28,5,11
2020-04-29,2,14
2020-04-30,3,13
2020-05-01,7,9
2020-05-02,5,11
2020-05-03,5,11
2020-05-04,3,13
2020-05-05,3,13
2020-05-06,4,12
2020-05-07,5,12
2020-05-08,5,12
2020-05-09,6,11
2020-05-10,6,11
2020-05-11,4,13
2020-05-12,6,11
2020-05-13,5,12
2020-05-14,6,11
2020-05-15,9,8
2020-05-16,7,11
2020-05-17,5,14
2020-05-18,6,12
2020-05-19,5,12
2020-05-20,4,13
2020-05-21,6,11
2020-05-22,5,12
2020-05-23,4,13
2020-05-24,4,13
2020-05-25,5,12
2020-05-26,8,9
2020-05-27,5,12
2020-05-28,4,13
2020-05-29,4,13
2020-05-30,3,14
2020-05-31,3,14
2020-06-01,6,11
2020-06-02,2,22
2020-06-03,4,18
2020-06-04,5,16
2020-06-05,4,19
2020-06-06,7,18
2020-06-07,7,20
2020-06-08,5,15
2020-06-09,2,15
2020-06-10,2,15
2020-06-11,4,13
2020-06-12,5,12
2020-06-13,6,11
2020-06-14,6,11
2020-06-15,6,10
2020-06-16,6,11
2020-06-17,6,11
2020-06-18,7,11
2020-06-19,5,12
2020-06-20,5,12
2020-06-21,6,11
2020-06-22,7,10
2020-06-23,8,9
2020-06-24,7,10
2020-06-25,5,12
2020-06-26,6,11
2020-06-27,7,11
2020-06-28,5,13
2020-06-29,7,10
2020-06-30,5,12
2020-07-01,5,12
2020-07-02,5,12
2020-07-03,3,10
2020-07-04,3,14
2020-07-05,5,12
2020-07-06,6,11
2020-07-07,6,11
2020-07-08,5,12
2020-07-09,10,7
2020-07-10,9,8
2020-07-11,8,9
2020-07-12,9,8
2020-07-13,6,11
2020-07-14,4,12
2020-07-15,4,12
2020-07-16,6,11
2020-07-17,4,13
2020-07-18,5,12
2020-07-19,5,12
2020-07-20,8,9
2020-07-21,9,8
2020-07-22,7,10
2020-07-23,7,10
2020-07-24,9,8
2020-07-25,11,5
2020-07-26,11,5
2020-07-27,8,9
2020-07-28,7,10
2020-07-29,5,12
2020-07-30,6,11
2020-07-31,5,12
2020-08-01,4,13
2020-08-02,5,12
2020-08-03,3,14
2020-08-04,3,9
2020-08-05,1,11
2020-08-06,3,9
2020-08-07,3,10
2020-08-08,4,9
2020-08-09,5,8
2020-08-10,4,9
2020-08-11,3,10
2020-08-12,6,7
2020-08-13,3,10
2020-08-14,6,7
2020-08-15,5,8
2020-08-16,5,8
2020-08-17,6,7
2020-08-18,8,5
2020-08-19,2,11
2020-08-20,5,8
2020-08-21,6,7
2020-08-22,6,7
2020-08-23,8,5
2020-08-24,7,6
2020-08-25,8,5
2020-08-26,7,6
2020-08-27,4,9
2020-08-28,3,10
2020-08-29,4,9
2020-08-30,3,10
2020-08-31,4,9
2020-09-01,6,7
2020-09-02,5,8
2020-09-03,3,10
2020-09-04,6,7
2020-09-05,4,9
2020-09-06,5,8
2020-09-07,5,8
2020-09-08,6,7
2020-09-09,8,5
2020-09-10,5,8
2020-09-11,7,6
2020-09-12,8,5
2020-09-13,7,6
2020-09-14,7,6
2020-09-15,8,5
2020-09-16,8,5
2020-09-17,6,7
2020-09-18,5,8
2020-09-19,6,7
2020-09-20,4,9
2020-09-21,7,6
2020-09-22,6,7
2020-09-23,7,6
2020-09-24,7,6
2020-09-25,5,8
2020-09-26,5,8
2020-09-27,6,7
2020-09-28,5,8
2020-09-29,5,8
2020-09-30,6,7
2020-10-01,4,9
2020-10-02,4,9
2020-10-03,6,7
2020-10-04,3,10
2020-10-05,2,11
2020-10-06,6,7
2020-10-07,8,5
2020-10-08,10,3
2020-10-09,9,4
2020-10-10,8,5
2020-10-11,3,10
2020-10-12,3,10
2020-10-13,2,11
2020-10-14,2,11
2020-10-15,3,10
2020-10-16,4,9
2020-10-17,6,7
2020-10-18,7,6
2020-10-19,7,6
2020-10-20,3,10
2020-10-21,3,10
2020-10-22,4,9
2020-10-23,5,8
2020-10-24,5,8
2020-10-25,5,8
2020-10-26,9,4
2020-10-27,7,6
2020-10-28,7,6
2020-10-29,7,6
2020-10-30,6,7
2020-10-31,7,6
2020-11-01,6,7
2020-11-02,9,4
2020-11-03,8,5
2020-11-04,7,6
2020-11-05,8,5
2020-11-06,7,6
2020-11-07,7,6
2020-11-08,7,6
2020-11-09,8,5
2020-11-10,5,8
2020-11-11,5,8
2020-11-12,6,7
2020-11-13,6,7
2020-11-14,7,6
2020-11-15,6,7
2020-11-16,5,8
2020-11-17,9,4
2020-11-18,7,6
2020-11-19,7,6
2020-11-20,6,7
2020-11-21,8,5
2020-11-22,8,5
2020-11-23,8,5
2020-11-24,6,7
2020-11-25,7,6
2020-11-26,7,6
2020-11-27,7,6
2020-11-28,8,5
2020-11-29,7,6
2020-11-30,9,4
2020-12-01,8,5
2020-12-02,5,8
2020-12-03,7,6
2020-12-04,5,8
2020-12-05,8,5
2020-12-06,9,4
2020-12-07,8,5
2020-12-08,8,5
2020-12-09,5,8
2020-12-10,5,8
2020-12-11,5,8
2020-12-12,7,6
2020-12-13,8,5
2020-12-14,9,4
2020-12-15,9,4
2020-12-16,9,4
2020-12-17,9,4
2020-12-18,8,5
2020-12-19,9,4
2020-12-20,7,6
2020-12-21,9,4
2020-12-22,9,4
2020-12-23,9,4
2020-12-24,7,6
2020-12-25,6,7
2020-12-26,6,3
2020-12-27,6,4
2020-12-28,6,4
2020-12-29,6,4
2020-12-30,8,5
2020-12-31,7,6
2021-01-01,7,6
2021-01-02,7,6
2021-01-03,7,6
2021-01-04,7,6
2021-01-05,8,5
2021-01-06,7,6
2021-01-07,7,6
2021-01-08,8,2
2021-01-09,7,6
2021-01-10,7,6
2021-01-11,7,6
2021-01-12,9,4
2021-01-13,8,5
2021-01-14,7,6
2021-01-15,7,6
2021-01-16,8,5
2021-01-17,7,6
2021-01-18,9,4
2021-01-19,9,4
2021-01-20,9,4
2021-01-21,9,4
2021-01-22,10,3
2021-01-23,9,4
2021-01-24,7,6
2021-01-25,8,5
2021-01-26,9,4
2021-01-27,8,5
2021-01-28,8,5
2021-01-29,13,0
2021-01-30,10,4
2021-01-31,9,4
2021-02-01,8,5
2021-02-02,9,4
2021-02-03,8,5
2021-02-04,8,5
2021-02-05,8,5
2021-02-06,7,5
2021-02-07,7,6
2021-02-08,6,7
2021-02-09,6,7
2021-02-10,4,9
2021-02-11,5,8
2021-02-12,6,7
2021-02-13,7,6
2021-02-14,8,5
2021-02-15,8,5
2021-02-16,8,5
2021-02-17,6,7
2021-02-18,5,8
2021-02-19,7,6
2021-02-20,5,8
2021-02-21,6,7
2021-02-22,8,5
2021-02-23,5,8
2021-02-24,4,9
2021-02-25,5,8
2021-02-26,6,7
2021-02-27,7,6
2021-02-28,8,5
2021-03-01,9,4
2021-03-02,6,7
2021-03-03,7,6
2021-03-04,8,5
2021-03-05,8,5
2021-03-06,7,6
2021-03-07,8,5
2021-03-08,8,5
2021-03-09,6,7
2021-03-10,7,6
2021-03-11,7,6
2021-03-12,7,6
2021-03-13,8,5
2021-03-14,9,4
2021-03-15,8,5
2021-03-16,7,6
2021-03-17,7,6
2021-03-18,6,7
2021-03-19,6,7
2021-03-20,5,8
2021-03-21,5,8
2021-03-22,5,8
2021-03-23,6,7
2021-03-24,6,7
2021-03-25,6,7
2021-03-26,5,8
2021-03-27,6,7
2021-03-28,7,6
2021-03-29,7,6
2021-03-30,5,8
2021-03-31,5,8
2021-04-01,4,9
2021-04-02,3,10
2021-04-03,4,9
2021-04-04,7,6
2021-04-05,7,6
2021-04-06,4,9
2021-04-07,6,7
2021-04-08,7,6
2021-04-09,5,8
2021-04-10,7,6
2021-04-11,6,7
2021-04-12,6,7
2021-04-13,8,5
2021-04-14,4,9
2021-04-15,4,9
2021-04-16,4,9
2021-04-17,5,8
2021-04-18,7,4
2021-04-19,7,6
2021-04-20,7,6
2021-04-21,7,6
2021-04-22,5,8
2021-04-23,5,8
2021-04-24,4,9
2021-04-25,7,6
2021-04-26,7,6
2021-04-27,5,8
2021-04-28,6,7
2021-04-29,6,7
2021-04-30,6,7
2021-05-01,8,5
2021-05-02,7,6
2021-05-03,7,6
2021-05-04,8,5
2021-05-05,8,5
2021-05-06,8,5
2021-05-07,6,7
2021-05-08,5,8
2021-05-09,5,8
2021-05-10,5,8
2021-05-11,4,9
2021-05-12,5,8
2021-05-13,6,7
2021-05-14,3,10
2021-05-15,3,10
2021-05-16,5,8
2021-05-17,4,9
2021-05-18,2,11
2021-05-19,2,11
2021-05-20,4,9
2021-05-21,3,10
2021-05-22,6,7
2021-05-23,4,9
2021-05-24,3,10
2021-05-25,2,11
2021-05-26,4,9
2021-05-27,3,10
2021-05-28,3,10
2021-05-29,3,10
2021-05-30,2,11
2021-05-31,3,10
2021-06-01,3,10
2021-06-02,1,12
2021-06-03,2,11
2021-06-04,1,12
2021-06-05,3,10
2021-06-06,3,10
2021-06-07,3,10
2021-06-08,3,10
2021-06-09,2,11
2021-06-10,2,11
2021-06-11,4,9
2021-06-12,3,10
2021-06-13,5,8
2021-06-14,6,7
2021-06-15,7,6
2021-06-16,7,6
2021-06-17,3,10
2021-06-18,5,8
2021-06-19,5,8
2021-06-20,4,9
2021-06-21,4,9
2021-06-22,4,9
2021-06-23,5,8
2021-06-24,5,8
2021-06-25,5,8
2021-06-26,5,8
2021-06-27,5,8
2021-06-28,5,8
2021-06-29,4,9
2021-06-30,5,5
2021-07-01,7,3
2021-07-02,4,6
2021-07-03,4,6
2021-07-04,5,5
2021-07-05,2,8
2021-07-06,5,5
2021-07-07,7,4
2021-07-08,7,3
2021-07-09,6,4
2021-07-10,7,3
2021-07-11,6,4
2021-07-12,4,6
2021-07-13,8,2
2021-07-14,8,2
2021-07-15,5,5
2021-07-16,5,5
2021-07-17,4,6
2021-07-18,5,5
2021-07-19,5,5
2021-07-20,6,4
2021-07-21,7,3
2021-07-22,9,1
2021-07-23,8,2
2021-07-24,9,1
2021-07-25,9,1
2021-07-26,9,1
2021-07-27,8,2
2021-07-28,6,4
2021-07-29,8,2
2021-07-30,8,2
2021-07-31,8,2
2021-08-01,5,5
2021-08-02,5,5
2021-08-03,5,5
2021-08-04,5,5
2021-08-05,7,3
2021-08-06,6,4
2021-08-07,7,3
2021-08-08,7,3
2021-08-09,9,1
2021-08-10,8,2
2021-08-11,6,4
2021-08-12,5,5
2021-08-13,7,3
2021-08-14,6,4
2021-08-15,7,3
2021-08-16,8,2
2021-08-17,7,3
2021-08-18,7,3
2021-08-19,7,3
2021-08-20,5,5
2021-08-21,4,6
2021-08-22,4,6
2021-08-23,4,42
2021-08-24,4,6
2021-08-25,7,3
2021-08-26,6,4
2021-08-27,8,2
2021-08-28,8,2
2021-08-29,6,4
2021-08-30,6,4
2021-08-31,9,1
2021-09-01,8,2
2021-09-02,6,4
2021-09-03,10,0
2021-09-04,9,1
2021-09-05,9,1
2021-09-06,9,1
2021-09-07,9,1
2021-09-08,8,2
2021-09-09,8,2
2021-09-10,8,2
2021-09-11,6,4
2021-09-12,6,4
2021-09-13,6,4
2021-09-14,7,3
2021-09-15,7,3
2021-09-16,6,4
2021-09-17,7,3
2021-09-18,7,3
2021-09-19,7,3
2021-09-20,6,4
2021-09-21,6,4
2021-09-22,6,4
2021-09-23,8,2
2021-09-24,8,2
2021-09-25,5,5
2021-09-26,6,4
2021-09-27,7,3
2021-09-28,6,4
2021-09-29,7,3
2021-09-30,5,5
2021-10-01,6,4
2021-10-02,8,2
2021-10-03,6,4
2021-10-04,7,3
2021-10-05,7,3
2021-10-06,6,4
2021-10-07,5,5
2021-10-08,4,4
2021-10-09,6,2
2021-10-10,6,7
2021-10-11,7,3
2021-10-12,7,3
2021-10-13,8,2
2021-10-14,8,2
2021-10-15,4,6
2021-10-16,5,5
2021-10-17,6,4
2021-10-18,7,3
2021-10-19,5,5
2021-10-20,4,6
2021-10-21,5,5
2021-10-22,5,5
2021-10-23,6,4
2021-10-24,4,6
2021-10-25,6,4
2021-10-26,7,3
2021-10-27,7,3
2021-10-28,6,4
2021-10-29,5,5
2021-10-30,6,4
2021-10-31,6,4
2021-11-01,6,4
2021-11-02,6,4
2021-11-03,6,4
2021-11-04,8,0
2021-11-05,7,1
2021-11-06,6,2
2021-11-07,7,1
2021-11-08,7,1
2021-11-09,6,2
2021-11-10,5,3
2021-11-11,3,5
2021-11-12,3,5
2021-11-13,6,2
2021-11-14,6,2
2021-11-15,4,4
2021-11-16,7,2
2021-11-17,6,2
2021-11-18,6,2
2021-11-19,5,3
2021-11-20,7,1
2021-11-21,9,0
2021-11-22,8,0
2021-11-23,7,1
2021-11-24,7,1
2021-11-25,7,1
2021-11-26,7,1
2021-11-27,8,3
2021-11-28,8,3
2021-11-29,9,3
2021-11-30,9,0
2021-12-01,8,1
2021-12-02,6,3
2021-12-03,6,3
2021-12-04,9,0
2021-12-05,7,3
2021-12-06,7,2
2021-12-07,8,2
2021-12-08,8,2
2021-12-09,8,1
2021-12-10,9,1
2021-12-11,9,0
2021-12-12,8,0
2021-12-13,8,0
2021-12-14,8,0
2021-12-15,7,1
2021-12-16,6,2
2021-12-17,5,3
2021-12-18,5,3
2021-12-19,4,4
2021-12-20,6,2
2021-12-21,5,3
2021-12-22,3,5
2021-12-23,4,4
2021-12-24,4,4
2021-12-25,4,4
2021-12-26,4,4
2021-12-27,4,4
2021-12-28,7,1
2021-12-29,7,1
2021-12-30,6,2
2021-12-31,8,2
2022-01-01,8,2
2022-01-02,6,2
2022-01-03,7,3
2022-01-04,7,3
2022-01-05,7,3
2022-01-06,6,4
2022-01-07,7,3
