date,betten_belegt,betten_frei
2020-04-24,2,12
2020-04-25,5,9
2020-04-26,5,9
2020-04-27,6,10
2020-04-28,8,8
2020-04-29,6,8
2020-04-30,3,11
2020-05-01,3,11
2020-05-02,3,11
2020-05-03,3,11
2020-05-04,3,11
2020-05-05,6,8
2020-05-06,5,9
2020-05-07,2,12
2020-05-08,3,11
2020-05-09,76,63
2020-05-10,77,62
2020-05-11,75,64
2020-05-12,102,90
2020-05-13,134,100
2020-05-14,158,101
2020-05-15,163,97
2020-05-16,162,98
2020-05-17,156,104
2020-05-18,157,103
2020-05-19,160,100
2020-05-20,165,95
2020-05-21,166,96
2020-05-22,150,110
2020-05-23,147,113
2020-05-24,149,111
2020-05-25,143,117
2020-05-26,155,105
2020-05-27,159,101
2020-05-28,160,100
2020-05-29,157,103
2020-05-30,157,103
2020-05-31,148,112
2020-06-01,142,118
2020-06-02,136,124
2020-06-03,149,111
2020-06-04,159,101
2020-06-05,166,94
2020-06-06,156,104
2020-06-07,162,99
2020-06-08,149,111
2020-06-09,163,97
2020-06-10,172,88
2020-06-11,163,97
2020-06-12,150,110
2020-06-13,161,99
2020-06-14,159,101
2020-06-15,156,104
2020-06-16,161,99
2020-06-17,166,94
2020-06-18,166,94
2020-06-19,173,87
2020-06-20,162,98
2020-06-21,155,104
2020-06-22,153,107
2020-06-23,166,94
2020-06-24,166,94
2020-06-25,171,89
2020-06-26,171,89
2020-06-27,170,90
2020-06-28,165,95
2020-06-29,153,107
2020-06-30,156,104
2020-07-01,162,98
2020-07-02,167,93
2020-07-03,169,91
2020-07-04,158,102
2020-07-05,158,102
2020-07-06,159,101
2020-07-07,166,94
2020-07-08,168,92
2020-07-09,160,100
2020-07-10,166,94
2020-07-11,168,92
2020-07-12,161,99
2020-07-13,160,100
2020-07-14,163,97
2020-07-15,169,91
2020-07-16,160,100
2020-07-17,171,87
2020-07-18,161,97
2020-07-19,157,101
2020-07-20,147,111
2020-07-21,159,99
2020-07-22,171,87
2020-07-23,173,85
2020-07-24,177,81
2020-07-25,162,96
2020-07-26,155,103
2020-07-27,148,110
2020-07-28,153,105
2020-07-29,166,92
2020-07-30,169,89
2020-07-31,164,94
2020-08-01,165,93
2020-08-02,156,102
2020-08-03,154,104
2020-08-04,153,107
2020-08-05,162,98
2020-08-06,168,92
2020-08-07,172,88
2020-08-08,174,86
2020-08-09,167,93
2020-08-10,163,97
2020-08-11,165,95
2020-08-12,173,87
2020-08-13,178,82
2020-08-14,168,92
2020-08-15,160,98
2020-08-16,161,97
2020-08-17,158,100
2020-08-18,160,98
2020-08-19,167,91
2020-08-20,173,85
2020-08-21,172,86
2020-08-22,170,88
2020-08-23,168,90
2020-08-24,151,107
2020-08-25,174,84
2020-08-26,172,86
2020-08-27,175,83
2020-08-28,186,72
2020-08-29,179,79
2020-08-30,179,79
2020-08-31,157,101
2020-09-01,164,94
2020-09-02,170,88
2020-09-03,175,83
2020-09-04,182,76
2020-09-05,178,80
2020-09-06,165,93
2020-09-07,156,102
2020-09-08,176,82
2020-09-09,176,82
2020-09-10,175,83
2020-09-11,170,88
2020-09-12,169,89
2020-09-13,155,103
2020-09-14,154,104
2020-09-15,164,94
2020-09-16,163,95
2020-09-17,170,88
2020-09-18,169,89
2020-09-19,167,91
2020-09-20,158,100
2020-09-21,157,101
2020-09-22,172,86
2020-09-23,181,77
2020-09-24,175,83
2020-09-25,182,76
2020-09-26,175,83
2020-09-27,175,83
2020-09-28,168,90
2020-09-29,173,85
2020-09-30,177,81
2020-10-01,172,86
2020-10-02,169,89
2020-10-03,172,86
2020-10-04,169,89
2020-10-05,170,88
2020-10-06,172,86
2020-10-07,181,77
2020-10-08,183,75
2020-10-09,183,75
2020-10-10,166,92
2020-10-11,163,95
2020-10-12,146,112
2020-10-13,160,98
2020-10-14,163,95
2020-10-15,165,93
2020-10-16,162,96
2020-10-17,161,97
2020-10-18,148,110
2020-10-19,144,114
2020-10-20,152,106
2020-10-21,160,93
2020-10-22,164,89
2020-10-23,159,92
2020-10-24,161,90
2020-10-25,160,91
2020-10-26,154,97
2020-10-27,158,93
2020-10-28,155,98
2020-10-29,156,98
2020-10-30,156,98
2020-10-31,160,94
2020-11-01,150,104
2020-11-02,153,101
2020-11-03,152,102
2020-11-04,151,103
2020-11-05,153,101
2020-11-06,155,99
2020-11-07,158,96
2020-11-08,152,102
2020-11-09,147,107
2020-11-10,162,92
2020-11-11,169,85
2020-11-12,162,92
2020-11-13,164,87
2020-11-14,163,91
2020-11-15,157,97
2020-11-16,141,113
2020-11-17,154,100
2020-11-18,163,91
2020-11-19,158,96
2020-11-20,165,89
2020-11-21,160,47
2020-11-22,157,50
2020-11-23,159,48
2020-11-24,183,24
2020-11-25,187,20
2020-11-26,192,15
2020-11-27,183,24
2020-11-28,162,45
2020-11-29,153,53
2020-11-30,186,17
2020-12-01,187,25
2020-12-02,172,40
2020-12-03,177,35
2020-12-04,190,22
2020-12-05,169,43
2020-12-06,165,47
2020-12-07,180,27
2020-12-08,185,24
2020-12-09,192,20
2020-12-10,183,26
2020-12-11,194,17
2020-12-12,164,36
2020-12-13,159,41
2020-12-14,190,18
2020-12-15,189,19
2020-12-16,177,33
2020-12-17,183,27
2020-12-18,189,21
2020-12-19,156,54
2020-12-20,151,54
2020-12-21,184,26
2020-12-22,183,27
2020-12-23,178,18
2020-12-24,150,37
