date,betten_belegt,betten_frei
2020-04-24,4,12
2020-04-25,4,12
2020-04-26,4,12
2020-04-27,4,12
2020-04-28,3,13
2020-04-29,8,8
2020-04-30,5,11
2020-05-01,5,11
2020-05-02,7,9
2020-05-03,7,9
2020-05-04,4,12
2020-05-05,2,14
2020-05-06,2,14
2020-05-07,4,12
2020-05-08,4,12
2020-05-09,4,12
2020-05-10,5,11
2020-05-11,4,12
2020-05-12,4,12
2020-05-13,3,13
2020-05-14,3,13
2020-05-15,4,12
2020-05-16,4,12
2020-05-17,3,13
2020-05-18,1,15
2020-05-19,6,10
2020-05-20,5,11
2020-05-21,4,12
2020-05-22,4,12
2020-05-23,4,12
2020-05-24,4,12
2020-05-25,4,12
2020-05-26,5,11
2020-05-27,5,11
2020-05-28,17,8
2020-05-29,5,11
2020-05-30,4,12
2020-05-31,6,16
2020-06-01,4,12
2020-06-02,3,13
2020-06-03,3,13
2020-06-04,6,10
2020-06-05,5,11
2020-06-06,5,11
2020-06-07,4,12
2020-06-08,4,16
2020-06-09,8,8
2020-06-10,6,10
2020-06-11,5,11
2020-06-12,6,10
2020-06-13,9,7
2020-06-14,5,11
2020-06-15,4,12
2020-06-16,6,16
2020-06-17,7,9
2020-06-18,7,9
2020-06-19,7,9
2020-06-20,6,10
2020-06-21,6,10
2020-06-22,7,9
2020-06-23,6,10
2020-06-24,7,16
2020-06-25,6,10
2020-06-26,6,10
2020-06-27,7,9
2020-06-28,4,12
2020-06-29,3,13
2020-06-30,6,10
2020-07-01,6,10
2020-07-02,3,13
2020-07-03,3,13
2020-07-04,2,14
2020-07-05,3,13
2020-07-06,3,13
2020-07-07,6,10
2020-07-08,4,12
2020-07-09,5,11
2020-07-10,5,11
2020-07-11,4,12
2020-07-12,1,15
2020-07-13,4,12
2020-07-14,3,13
2020-07-15,9,7
2020-07-16,6,10
2020-07-17,5,11
2020-07-18,6,10
2020-07-19,7,9
2020-07-20,7,9
2020-07-21,3,13
2020-07-22,3,13
2020-07-23,3,13
2020-07-24,6,10
2020-07-25,7,9
2020-07-26,1,9
2020-07-27,4,12
