date,betten_belegt,betten_frei
2020-04-24,91,34
2020-04-24,9,3
2020-04-25,88,37
2020-04-25,9,3
2020-04-26,87,38
2020-04-26,9,3
2020-04-27,83,42
2020-04-27,7,5
2020-04-28,102,42
2020-04-28,8,4
2020-04-29,100,47
2020-04-29,8,4
2020-04-30,101,46
2020-04-30,8,4
2020-05-01,100,59
2020-05-01,8,5
2020-05-02,83,76
2020-05-02,8,5
2020-05-03,83,76
2020-05-03,7,5
2020-05-04,75,78
2020-05-04,6,6
2020-05-05,84,69
2020-05-05,6,6
2020-05-06,110,43
2020-05-06,10,2
2020-05-07,108,45
2020-05-07,8,4
2020-05-08,93,60
2020-05-08,10,2
2020-05-09,106,47
2020-05-09,10,2
2020-05-10,102,53
2020-05-10,10,2
2020-05-11,110,43
2020-05-11,10,2
2020-05-12,108,45
2020-05-12,7,5
2020-05-13,106,47
2020-05-13,9,3
2020-05-14,104,49
2020-05-14,6,6
2020-05-15,114,50
2020-05-15,8,4
2020-05-16,101,63
2020-05-16,10,2
2020-05-17,98,65
2020-05-17,8,4
2020-05-18,99,54
2020-05-18,5,7
2020-05-19,109,44
2020-05-19,4,8
2020-05-20,108,45
2020-05-20,5,7
2020-05-21,110,44
2020-05-21,10,2
2020-05-22,96,56
2020-05-22,7,5
2020-05-23,108,45
2020-05-23,4,8
2020-05-24,100,52
2020-05-24,5,7
2020-05-25,99,54
2020-05-25,5,7
2020-05-26,103,50
2020-05-26,6,6
2020-05-27,112,41
2020-05-27,8,4
2020-05-28,88,65
2020-05-28,6,6
2020-05-29,104,49
2020-05-29,8,4
2020-05-30,106,47
2020-05-30,8,4
2020-05-31,95,55
2020-05-31,7,6
2020-06-01,95,57
2020-06-01,8,4
2020-06-02,96,57
2020-06-02,6,6
2020-06-03,96,56
2020-06-03,6,6
2020-06-04,103,54
2020-06-04,7,5
2020-06-05,99,57
2020-06-05,8,4
2020-06-06,109,44
2020-06-06,6,6
2020-06-07,109,44
2020-06-07,4,8
2020-06-08,91,52
2020-06-08,6,6
2020-06-09,100,43
2020-06-09,6,6
2020-06-10,103,40
2020-06-10,6,6
2020-06-11,106,37
2020-06-11,5,7
2020-06-12,103,40
2020-06-12,6,6
2020-06-13,99,44
2020-06-13,6,6
2020-06-14,92,51
2020-06-14,6,6
2020-06-15,93,50
2020-06-15,6,6
2020-06-16,99,44
2020-06-16,8,4
2020-06-17,100,43
2020-06-17,7,5
2020-06-18,107,36
2020-06-18,7,5
2020-06-19,107,36
2020-06-19,7,5
2020-06-20,106,37
2020-06-20,9,3
2020-06-21,104,39
2020-06-21,9,3
2020-06-22,97,46
2020-06-22,10,2
2020-06-23,105,38
2020-06-23,7,5
2020-06-24,104,39
2020-06-24,8,4
2020-06-25,101,42
2020-06-25,8,4
2020-06-26,113,30
2020-06-26,10,2
2020-06-27,113,30
2020-06-27,9,3
2020-06-28,107,36
2020-06-28,7,2
2020-06-29,104,40
2020-06-29,6,6
2020-06-30,108,35
2020-06-30,4,8
2020-07-01,108,35
2020-07-01,4,8
2020-07-02,124,19
2020-07-02,8,1
2020-07-03,118,35
2020-07-03,10,2
2020-07-04,113,40
2020-07-04,10,2
2020-07-05,108,45
2020-07-05,10,0
2020-07-06,108,45
2020-07-06,9,2
2020-07-07,104,49
2020-07-07,8,4
2020-07-08,102,49
2020-07-08,7,5
2020-07-09,95,51
2020-07-09,10,2
2020-07-10,103,48
2020-07-10,8,4
2020-07-11,115,38
2020-07-11,9,3
2020-07-12,112,41
2020-07-12,8,4
2020-07-13,111,42
2020-07-13,6,5
2020-07-14,112,41
2020-07-14,5,7
2020-07-15,114,39
2020-07-15,8,4
2020-07-16,122,31
2020-07-16,8,4
2020-07-17,118,35
2020-07-17,8,4
2020-07-18,116,36
2020-07-18,12,0
2020-07-19,110,42
2020-07-19,7,3
2020-07-20,111,44
2020-07-20,8,4
2020-07-21,114,39
2020-07-21,6,6
2020-07-22,117,36
2020-07-22,8,5
2020-07-23,117,36
2020-07-23,8,3
2020-07-24,118,39
2020-07-24,7,5
2020-07-25,111,46
2020-07-25,8,4
2020-07-26,109,48
2020-07-26,7,5
2020-07-27,109,48
2020-07-27,6,6
2020-07-28,114,43
2020-07-28,8,4
2020-07-29,111,46
2020-07-29,7,5
2020-07-30,111,46
2020-07-30,6,6
2020-07-31,109,48
2020-07-31,10,2
2020-08-01,115,40
2020-08-01,10,2
2020-08-02,114,41
2020-08-02,10,2
2020-08-03,116,41
2020-08-03,10,2
2020-08-04,106,51
2020-08-04,10,2
2020-08-05,111,46
2020-08-05,11,1
2020-08-06,115,42
2020-08-06,11,1
2020-08-07,126,31
2020-08-07,9,3
2020-08-08,116,41
2020-08-08,9,3
2020-08-09,101,56
2020-08-09,9,3
2020-08-10,106,51
2020-08-10,8,4
2020-08-11,119,38
2020-08-11,10,2
2020-08-12,127,30
2020-08-12,10,2
2020-08-13,125,32
2020-08-13,9,3
2020-08-14,127,30
2020-08-14,8,4
2020-08-15,119,38
2020-08-15,11,1
2020-08-16,120,37
2020-08-16,9,3
2020-08-17,116,41
2020-08-17,10,2
2020-08-18,119,38
2020-08-18,8,4
2020-08-19,128,29
2020-08-19,8,4
2020-08-20,119,38
2020-08-20,10,2
2020-08-21,125,32
2020-08-21,9,3
2020-08-22,127,30
2020-08-22,8,4
2020-08-23,120,37
2020-08-23,7,5
2020-08-24,113,44
2020-08-24,7,5
2020-08-25,109,48
2020-08-25,10,2
2020-08-26,109,48
2020-08-26,9,3
2020-08-27,120,37
2020-08-27,9,3
2020-08-28,114,43
2020-08-28,8,4
2020-08-29,116,41
2020-08-29,6,6
2020-08-30,107,50
2020-08-30,6,6
2020-08-31,108,49
2020-08-31,7,5
2020-09-01,114,43
2020-09-01,8,4
2020-09-02,118,39
2020-09-02,9,3
2020-09-03,121,36
2020-09-03,9,3
2020-09-04,122,35
2020-09-04,9,3
2020-09-05,123,34
2020-09-05,9,3
2020-09-06,121,34
2020-09-06,8,4
2020-09-07,117,38
2020-09-07,7,2
2020-09-08,114,43
2020-09-08,7,5
2020-09-09,109,48
2020-09-09,6,6
2020-09-10,119,38
2020-09-10,8,4
2020-09-11,118,39
2020-09-11,8,4
2020-09-12,115,42
2020-09-12,7,5
2020-09-13,103,54
2020-09-13,9,3
2020-09-14,109,48
2020-09-14,9,3
2020-09-15,115,42
2020-09-15,5,7
2020-09-16,113,44
2020-09-16,5,7
2020-09-17,114,43
2020-09-17,10,2
2020-09-18,115,40
2020-09-18,10,2
2020-09-19,116,39
2020-09-19,10,2
2020-09-20,111,44
2020-09-20,10,2
2020-09-21,113,43
2020-09-21,8,4
2020-09-22,122,34
2020-09-22,7,5
2020-09-23,122,34
2020-09-23,9,3
2020-09-24,119,37
2020-09-24,9,3
2020-09-25,115,42
2020-09-25,8,4
2020-09-26,104,53
2020-09-26,6,6
2020-09-27,101,56
2020-09-27,7,5
2020-09-28,100,57
2020-09-28,5,7
2020-09-29,114,42
2020-09-29,3,9
2020-09-30,117,38
2020-09-30,6,6
2020-10-01,114,41
2020-10-01,8,4
2020-10-02,108,47
2020-10-02,8,4
2020-10-03,116,39
2020-10-03,8,4
2020-10-04,111,44
2020-10-04,6,6
2020-10-05,106,49
2020-10-05,9,3
2020-10-06,109,42
2020-10-06,6,6
2020-10-07,107,45
2020-10-07,7,5
2020-10-08,112,39
2020-10-08,7,5
2020-10-09,113,38
2020-10-09,8,4
2020-10-10,112,39
2020-10-10,6,6
2020-10-11,105,46
2020-10-11,8,4
2020-10-12,110,41
2020-10-12,6,6
2020-10-13,111,42
2020-10-13,6,6
2020-10-14,115,38
2020-10-14,6,6
2020-10-15,123,29
2020-10-15,7,5
2020-10-16,115,37
2020-10-16,7,5
2020-10-17,107,45
2020-10-17,9,3
2020-10-18,110,42
2020-10-18,7,5
2020-10-19,112,41
2020-10-19,7,5
2020-10-20,111,42
2020-10-20,5,7
2020-10-21,107,46
2020-10-21,6,6
2020-10-22,111,42
2020-10-22,6,6
2020-10-23,116,37
2020-10-23,5,7
2020-10-24,116,37
2020-10-24,5,7
2020-10-25,108,45
2020-10-25,6,6
2020-10-26,102,49
2020-10-26,6,6
2020-10-27,112,39
2020-10-27,9,3
2020-10-28,115,34
2020-10-28,4,8
2020-10-29,96,53
2020-10-29,4,8
2020-10-30,109,40
2020-10-30,4,8
2020-10-31,102,47
2020-10-31,6,6
2020-11-01,104,45
2020-11-01,4,8
2020-11-02,103,43
2020-11-02,6,6
2020-11-03,111,35
2020-11-03,6,6
2020-11-04,110,36
2020-11-04,8,4
2020-11-05,118,19
2020-11-05,8,4
2020-11-06,118,22
2020-11-06,9,3
2020-11-07,110,31
2020-11-07,5,7
2020-11-08,108,35
2020-11-08,5,7
2020-11-09,113,32
2020-11-09,5,7
2020-11-10,120,25
2020-11-10,6,6
2020-11-11,114,32
2020-11-11,7,5
2020-11-12,109,36
2020-11-12,8,4
2020-11-13,129,17
2020-11-13,7,2
2020-11-14,110,35
2020-11-14,7,2
2020-11-15,110,34
2020-11-15,6,3
2020-11-16,111,31
2020-11-16,7,2
2020-11-17,114,34
2020-11-17,7,2
2020-11-18,120,24
2020-11-18,9,0
2020-11-19,123,22
2020-11-19,9,0
2020-11-20,111,35
2020-11-20,9,0
2020-11-21,119,29
2020-11-21,9,0
2020-11-22,119,25
2020-11-22,7,2
2020-11-23,106,40
2020-11-23,6,0
2020-11-24,111,38
2020-11-24,7,5
2020-11-25,115,34
2020-11-25,4,8
2020-11-26,122,23
2020-11-26,8,4
2020-11-27,118,29
2020-11-27,10,2
2020-11-28,118,28
2020-11-28,5,7
2020-11-29,115,33
2020-11-29,5,7
2020-11-30,114,34
2020-11-30,8,4
2020-12-01,117,33
2020-12-01,10,2
2020-12-02,112,38
2020-12-02,10,0
2020-12-03,117,33
2020-12-03,10,0
2020-12-04,119,32
2020-12-04,11,1
2020-12-05,110,41
2020-12-05,11,1
2020-12-06,100,51
2020-12-06,11,1
2020-12-07,102,43
2020-12-07,7,5
2020-12-08,106,36
2020-12-08,6,6
2020-12-09,111,31
2020-12-09,7,5
2020-12-10,116,29
2020-12-10,8,4
2020-12-11,116,27
2020-12-11,7,5
2020-12-12,114,28
2020-12-12,7,5
2020-12-13,110,31
2020-12-13,9,3
2020-12-14,104,38
2020-12-14,10,2
2020-12-15,112,29
2020-12-15,7,5
2020-12-16,115,27
2020-12-16,7,2
2020-12-17,122,21
2020-12-17,7,2
2020-12-18,122,21
2020-12-18,8,1
2020-12-19,118,25
2020-12-19,9,0
2020-12-20,114,24
2020-12-20,8,0
2020-12-21,103,38
2020-12-21,9,1
2020-12-22,108,34
2020-12-22,9,1
2020-12-23,110,33
2020-12-23,6,3
2020-12-24,108,35
2020-12-24,6,3
2020-12-25,103,36
2020-12-25,7,2
2020-12-26,107,31
2020-12-26,7,2
2020-12-27,104,30
2020-12-27,5,4
2020-12-28,103,37
2020-12-28,7,2
2020-12-29,104,31
2020-12-29,7,2
2020-12-30,107,29
2020-12-30,7,2
2020-12-31,114,19
2020-12-31,7,2
2021-01-01,109,23
2021-01-01,8,1
2021-01-02,114,19
2021-01-02,5,2
2021-01-03,115,16
2021-01-03,5,4
2021-01-04,111,20
2021-01-04,8,1
2021-01-05,119,18
2021-01-05,8,1
2021-01-06,119,23
2021-01-06,8,1
2021-01-07,120,15
2021-01-07,8,1
2021-01-08,118,21
2021-01-08,8,1
2021-01-09,121,16
2021-01-09,7,1
2021-01-10,118,18
2021-01-10,8,1
2021-01-11,108,32
2021-01-11,10,0
2021-01-12,105,35
2021-01-12,8,1
2021-01-13,108,27
2021-01-13,8,1
