date,betten_belegt,betten_frei
2020-04-24,5,6
2020-04-25,7,4
2020-04-26,8,3
2020-04-27,10,1
2020-04-28,9,2
2020-04-29,8,3
2020-04-30,7,4
2020-05-01,8,3
2020-05-02,7,4
2020-05-03,7,5
2020-05-04,8,4
2020-05-05,7,5
2020-05-06,6,6
2020-05-07,5,7
2020-05-08,7,5
2020-05-09,8,4
2020-05-10,9,3
2020-05-11,7,5
2020-05-12,9,3
2020-05-13,6,6
2020-05-14,7,5
2020-05-15,10,2
2020-05-16,10,2
2020-05-17,9,3
2020-05-18,9,3
2020-05-19,7,5
2020-05-20,7,5
2020-05-21,8,4
2020-05-22,7,5
2020-05-23,8,4
2020-05-24,9,4
2020-05-25,5,7
2020-05-26,9,3
2020-05-27,7,5
2020-05-28,10,2
2020-05-29,7,5
2020-05-30,7,5
2020-05-31,7,5
2020-06-01,6,6
2020-06-02,6,6
2020-06-03,8,4
2020-06-04,7,5
2020-06-05,4,8
2020-06-06,6,6
2020-06-07,5,7
2020-06-08,8,4
2020-06-09,8,4
2020-06-10,10,2
2020-06-11,9,3
2020-06-12,8,4
2020-06-13,8,4
2020-06-14,7,5
2020-06-15,6,6
2020-06-16,8,4
2020-06-17,8,4
2020-06-18,7,5
2020-06-19,8,4
2020-06-20,7,5
2020-06-21,7,5
2020-06-22,6,6
2020-06-23,6,6
2020-06-24,8,4
2020-06-25,7,5
2020-06-26,6,6
2020-06-27,6,6
2020-06-28,6,6
2020-06-29,4,8
2020-06-30,7,5
2020-07-01,9,3
2020-07-02,9,3
2020-07-03,4,8
2020-07-04,4,9
2020-07-05,4,9
2020-07-06,6,7
2020-07-07,7,6
2020-07-08,7,6
2020-07-09,7,6
2020-07-10,7,5
2020-07-11,7,5
2020-07-12,7,5
2020-07-13,7,5
2020-07-14,9,3
2020-07-15,8,4
2020-07-16,7,5
2020-07-17,6,6
2020-07-18,6,6
2020-07-19,7,5
2020-07-20,7,5
2020-07-21,6,6
2020-07-22,7,5
2020-07-23,4,8
2020-07-24,5,7
2020-07-25,5,7
2020-07-26,6,6
2020-07-27,6,6
2020-07-28,5,7
2020-07-29,5,7
2020-07-30,7,5
2020-07-31,7,5
2020-08-01,5,7
2020-08-02,5,7
2020-08-03,5,7
2020-08-04,5,7
2020-08-05,7,5
2020-08-06,7,5
2020-08-07,7,5
2020-08-08,7,5
2020-08-09,7,5
2020-08-10,7,5
2020-08-11,3,9
2020-08-12,4,8
2020-08-13,9,3
2020-08-14,5,7
2020-08-15,5,7
2020-08-16,7,5
2020-08-17,7,5
2020-08-18,4,8
2020-08-19,6,6
2020-08-20,8,4
2020-08-21,5,7
2020-08-22,4,8
2020-08-23,5,7
2020-08-24,6,6
2020-08-25,11,1
2020-08-26,7,5
2020-08-27,8,4
2020-08-28,8,4
2020-08-29,7,5
2020-08-30,7,5
2020-08-31,8,4
2020-09-01,7,5
2020-09-02,6,6
2020-09-03,9,3
2020-09-04,8,4
2020-09-05,9,3
2020-09-06,5,7
2020-09-07,8,4
2020-09-08,6,6
2020-09-09,6,6
2020-09-10,8,4
2020-09-11,6,6
2020-09-12,6,6
2020-09-13,6,6
2020-09-14,6,6
2020-09-15,7,5
2020-09-16,4,8
2020-09-17,3,9
2020-09-18,3,9
2020-09-19,5,7
2020-09-20,7,5
2020-09-21,8,4
2020-09-22,6,6
2020-09-23,6,6
2020-09-24,5,7
2020-09-25,7,5
2020-09-26,6,6
2020-09-27,6,6
2020-09-28,4,3
2020-09-29,6,1
2020-09-30,5,2
2020-10-01,7,0
2020-10-02,7,0
