date,betten_belegt,betten_frei
2020-04-24,8,12
2020-04-25,7,13
2020-04-26,7,13
2020-04-27,11,9
2020-04-28,10,10
2020-04-29,9,11
2020-04-30,10,10
2020-05-01,11,9
2020-05-02,8,12
2020-05-03,13,7
2020-05-04,13,7
2020-05-05,10,10
2020-05-06,10,10
2020-05-07,14,6
2020-05-08,8,12
2020-05-09,8,12
2020-05-10,12,8
2020-05-11,9,11
2020-05-12,6,14
2020-05-13,8,12
2020-05-14,10,10
2020-05-15,9,11
2020-05-16,9,11
2020-05-17,7,13
2020-05-18,5,15
2020-05-19,6,14
2020-05-20,7,13
2020-05-21,16,4
2020-05-22,14,6
2020-05-23,9,11
2020-05-24,7,13
2020-05-25,8,12
2020-05-26,7,13
2020-05-27,9,11
2020-05-28,14,6
2020-05-29,7,13
2020-05-30,12,8
2020-05-31,12,8
2020-06-01,10,10
2020-06-02,9,11
2020-06-03,10,10
2020-06-04,15,5
2020-06-05,14,6
2020-06-06,11,9
2020-06-07,9,11
2020-06-08,9,11
2020-06-09,10,10
2020-06-10,12,8
2020-06-11,7,13
2020-06-12,13,7
2020-06-13,14,6
2020-06-14,10,10
2020-06-15,6,14
2020-06-16,10,10
2020-06-17,9,11
2020-06-18,10,10
2020-06-19,5,15
2020-06-20,12,8
2020-06-21,8,12
2020-06-22,12,8
2020-06-23,14,6
2020-06-24,13,7
2020-06-25,15,5
2020-06-26,15,5
2020-06-27,18,2
2020-06-28,13,7
2020-06-29,15,5
2020-06-30,10,10
2020-07-01,10,10
2020-07-02,17,3
2020-07-03,15,5
2020-07-04,12,8
2020-07-05,9,11
2020-07-06,8,12
2020-07-07,10,10
2020-07-08,12,8
2020-07-09,7,13
2020-07-10,10,10
2020-07-11,10,10
2020-07-12,7,13
2020-07-13,7,13
2020-07-14,9,11
2020-07-15,12,8
2020-07-16,13,7
2020-07-17,10,10
2020-07-18,8,12
2020-07-19,7,13
2020-07-20,7,13
2020-07-21,7,13
2020-07-22,9,11
2020-07-23,7,13
2020-07-24,6,14
2020-07-25,9,11
2020-07-26,5,15
2020-07-27,8,12
2020-07-28,11,9
2020-07-29,11,9
2020-07-30,14,6
2020-07-31,10,10
2020-08-01,12,8
2020-08-02,9,11
2020-08-03,9,11
2020-08-04,10,10
2020-08-05,9,11
2020-08-06,9,11
2020-08-07,10,10
2020-08-08,13,7
2020-08-09,17,3
2020-08-10,14,6
2020-08-11,14,6
2020-08-12,11,9
2020-08-13,12,3
2020-08-14,9,6
2020-08-15,9,6
2020-08-16,9,6
2020-08-17,13,7
2020-08-18,15,5
2020-08-19,12,8
2020-08-20,11,9
2020-08-21,15,0
2020-08-22,10,10
2020-08-23,11,9
2020-08-24,11,9
2020-08-25,8,12
2020-08-26,10,10
2020-08-27,10,10
2020-08-28,12,8
2020-08-29,9,11
2020-08-30,8,12
2020-08-31,13,7
2020-09-01,9,11
2020-09-02,12,8
2020-09-03,13,7
2020-09-04,13,7
2020-09-05,15,5
2020-09-06,18,2
2020-09-07,13,7
2020-09-08,18,2
2020-09-09,16,4
2020-09-10,15,5
2020-09-11,11,9
2020-09-12,11,9
2020-09-13,13,7
2020-09-14,14,6
2020-09-15,12,8
2020-09-16,12,8
2020-09-17,12,8
2020-09-18,15,0
2020-09-19,13,2
2020-09-20,13,2
2020-09-21,12,8
2020-09-22,10,10
2020-09-23,11,9
2020-09-24,11,9
2020-09-25,11,9
2020-09-26,13,7
2020-09-27,13,7
2020-09-28,13,7
2020-09-29,13,7
2020-09-30,11,9
2020-10-01,16,4
2020-10-02,16,4
2020-10-03,16,4
2020-10-04,12,8
2020-10-05,14,2
2020-10-06,10,6
2020-10-07,11,9
2020-10-08,14,6
2020-10-09,10,10
2020-10-10,12,8
2020-10-11,13,7
2020-10-12,13,7
2020-10-13,13,7
2020-10-14,15,5
2020-10-15,13,7
2020-10-16,14,2
2020-10-17,14,2
2020-10-18,12,3
2020-10-19,14,6
2020-10-20,14,6
2020-10-21,14,6
2020-10-22,10,10
2020-10-23,14,6
