date,betten_belegt,betten_frei
2020-04-24,8,14
2020-04-25,10,12
2020-04-26,12,10
2020-04-27,10,12
2020-04-28,12,10
2020-04-29,11,11
2020-04-30,11,11
2020-05-01,10,12
2020-05-02,9,13
2020-05-03,12,10
2020-05-04,11,11
2020-05-05,11,11
2020-05-06,10,12
2020-05-07,11,11
2020-05-08,14,8
2020-05-09,13,9
2020-05-10,12,10
2020-05-11,13,9
2020-05-12,13,9
2020-05-13,14,8
2020-05-14,11,11
2020-05-15,12,10
2020-05-16,13,9
2020-05-17,12,10
2020-05-18,14,8
2020-05-19,12,10
2020-05-20,13,9
2020-05-21,13,9
2020-05-22,9,13
2020-05-23,8,14
2020-05-24,11,11
2020-05-25,9,13
2020-05-26,9,13
2020-05-27,10,12
2020-05-28,9,13
2020-05-29,13,9
2020-05-30,13,9
2020-05-31,13,9
2020-06-01,8,14
2020-06-02,12,10
2020-06-03,10,12
2020-06-04,10,12
2020-06-05,7,15
2020-06-06,10,12
2020-06-07,5,17
2020-06-08,7,15
2020-06-09,11,11
2020-06-10,8,14
2020-06-11,8,14
2020-06-12,10,12
2020-06-13,9,13
2020-06-14,15,7
2020-06-15,16,6
2020-06-16,16,6
2020-06-17,14,8
2020-06-18,12,10
2020-06-19,14,8
2020-06-20,13,9
2020-06-21,13,9
2020-06-22,12,10
2020-06-23,12,12
2020-06-24,14,10
2020-06-25,15,9
2020-06-26,16,8
2020-06-27,15,9
2020-06-28,15,9
2020-06-29,15,9
2020-06-30,13,11
2020-07-01,15,9
2020-07-02,15,9
2020-07-03,14,10
2020-07-04,13,11
2020-07-05,13,11
2020-07-06,12,12
2020-07-07,12,12
2020-07-08,13,11
2020-07-09,12,12
2020-07-10,12,12
2020-07-11,9,15
2020-07-12,7,17
2020-07-13,10,14
2020-07-14,14,10
2020-07-15,10,14
2020-07-16,13,11
2020-07-17,11,13
2020-07-18,8,16
2020-07-19,11,13
2020-07-20,9,15
2020-07-21,12,12
2020-07-22,12,12
2020-07-23,11,13
2020-07-24,11,13
2020-07-25,14,10
2020-07-26,12,12
2020-07-27,14,10
2020-07-28,15,9
2020-07-29,13,11
2020-07-30,16,8
2020-07-31,15,9
2020-08-01,18,6
2020-08-02,19,5
2020-08-03,13,11
2020-08-04,13,11
2020-08-05,18,10
2020-08-06,21,7
2020-08-07,21,7
2020-08-08,17,11
2020-08-09,17,11
2020-08-10,17,11
2020-08-11,14,14
2020-08-12,20,8
2020-08-13,17,11
2020-08-14,19,9
2020-08-15,14,14
2020-08-16,16,12
2020-08-17,20,8
2020-08-18,15,13
2020-08-19,19,9
2020-08-20,22,6
2020-08-21,16,12
2020-08-22,14,14
2020-08-23,20,8
2020-08-24,22,10
2020-08-25,22,10
2020-08-26,18,14
2020-08-27,23,9
2020-08-28,20,12
2020-08-29,16,12
2020-08-30,14,14
2020-08-31,16,12
2020-09-01,21,11
2020-09-02,22,10
2020-09-03,22,10
2020-09-04,17,11
2020-09-05,15,13
2020-09-06,14,14
2020-09-07,18,14
2020-09-08,18,14
2020-09-09,21,11
2020-09-10,20,12
2020-09-11,17,15
2020-09-12,20,12
2020-09-13,22,10
2020-09-14,21,11
2020-09-15,22,10
2020-09-16,19,13
2020-09-17,23,9
2020-09-18,23,9
2020-09-19,22,10
2020-09-20,23,9
2020-09-21,19,13
2020-09-22,20,12
2020-09-23,21,11
2020-09-24,24,8
2020-09-25,19,13
2020-09-26,20,8
2020-09-27,17,11
2020-09-28,18,10
2020-09-29,15,17
2020-09-30,21,11
2020-10-01,22,10
2020-10-02,25,7
2020-10-03,22,10
2020-10-04,22,10
2020-10-05,20,12
2020-10-06,24,8
2020-10-07,25,7
2020-10-08,17,15
2020-10-09,21,11
2020-10-10,20,12
2020-10-11,14,18
2020-10-12,18,14
2020-10-13,17,15
2020-10-14,21,11
2020-10-15,19,13
2020-10-16,18,14
2020-10-17,15,17
2020-10-18,17,15
2020-10-19,17,15
2020-10-20,16,16
2020-10-21,13,19
2020-10-22,23,9
2020-10-23,21,9
2020-10-24,22,8
2020-10-25,20,10
2020-10-26,23,7
2020-10-27,22,8
2020-10-28,21,9
2020-10-29,23,7
2020-10-30,21,9
2020-10-31,22,7
2020-11-01,23,6
2020-11-02,21,8
2020-11-03,24,6
2020-11-04,25,5
2020-11-05,22,8
2020-11-06,24,6
2020-11-07,24,6
2020-11-08,25,5
2020-11-09,25,5
2020-11-10,25,5
2020-11-11,25,5
2020-11-12,25,5
2020-11-13,24,6
2020-11-14,25,5
2020-11-15,24,6
2020-11-16,21,9
2020-11-17,20,10
2020-11-18,18,12
2020-11-19,24,6
2020-11-20,23,7
2020-11-21,23,7
2020-11-22,26,4
2020-11-23,21,9
2020-11-24,17,13
2020-11-25,19,11
2020-11-26,16,13
2020-11-27,19,11
2020-11-28,15,11
2020-11-29,16,10
2020-11-30,17,9
2020-12-01,17,9
2020-12-02,14,12
2020-12-03,14,11
2020-12-04,12,14
2020-12-05,15,11
2020-12-06,16,10
2020-12-07,17,9
2020-12-08,19,7
2020-12-09,18,8
2020-12-10,17,9
2020-12-11,17,8
2020-12-12,18,8
2020-12-13,18,8
2020-12-14,19,5
2020-12-15,14,10
2020-12-16,15,3
2020-12-17,24,1
2020-12-18,21,3
2020-12-19,22,2
2020-12-20,23,5
2020-12-21,22,3
2020-12-22,22,3
2020-12-23,22,3
2020-12-24,18,7
2020-12-25,23,5
2020-12-26,22,4
2020-12-27,23,4
2020-12-28,26,1
2020-12-29,18,8
2020-12-30,25,3
2020-12-31,26,2
2021-01-01,24,1
2021-01-02,25,2
2021-01-03,21,4
2021-01-04,24,4
2021-01-05,26,2
2021-01-06,23,3
2021-01-07,23,4
2021-01-08,20,7
2021-01-09,21,7
2021-01-10,19,9
2021-01-11,26,2
2021-01-12,26,2
2021-01-13,23,5
2021-01-14,23,5
2021-01-15,23,5
2021-01-16,23,5
2021-01-17,23,5
2021-01-18,24,4
2021-01-19,28,0
2021-01-20,19,8
2021-01-21,25,2
2021-01-22,25,3
2021-01-23,23,3
2021-01-24,23,4
2021-01-25,25,1
2021-01-26,24,2
2021-01-27,24,4
2021-01-28,23,5
2021-01-29,22,3
2021-01-30,25,0
2021-01-31,24,1
2021-02-01,23,3
2021-02-02,23,5
2021-02-03,23,3
2021-02-04,26,0
2021-02-05,24,0
2021-02-06,19,4
2021-02-07,19,4
2021-02-08,22,2
2021-02-09,17,6
2021-02-10,21,1
2021-02-11,22,1
2021-02-12,21,2
2021-02-13,19,3
2021-02-14,20,1
2021-02-15,20,2
2021-02-16,20,2
2021-02-17,16,5
2021-02-18,18,3
2021-02-19,17,6
2021-02-20,17,6
2021-02-21,15,8
2021-02-22,21,5
2021-02-23,22,4
2021-02-24,25,1
2021-02-25,23,3
2021-02-26,20,6
2021-02-27,19,7
2021-02-28,20,6
2021-03-01,19,7
2021-03-02,19,9
2021-03-03,21,7
2021-03-04,21,8
2021-03-05,21,8
2021-03-06,20,9
2021-03-07,22,7
2021-03-08,23,7
2021-03-09,20,9
2021-03-10,19,10
2021-03-11,23,7
2021-03-12,20,10
2021-03-13,20,9
2021-03-14,17,12
2021-03-15,19,10
2021-03-16,20,9
2021-03-17,23,6
2021-03-18,17,12
2021-03-19,17,11
2021-03-20,15,14
2021-03-21,16,13
2021-03-22,21,8
2021-03-23,21,8
2021-03-24,19,10
2021-03-25,19,10
2021-03-26,16,13
2021-03-27,17,10
2021-03-28,14,13
2021-03-29,19,8
2021-03-30,18,11
2021-03-31,20,8
2021-04-01,20,8
2021-04-02,20,9
2021-04-03,21,8
2021-04-04,17,11
2021-04-05,15,13
2021-04-06,19,10
2021-04-07,20,8
2021-04-08,21,1
2021-04-09,22,0
2021-04-10,16,6
2021-04-11,17,5
2021-04-12,20,1
2021-04-13,21,0
2021-04-14,20,0
2021-04-15,17,3
2021-04-16,19,1
2021-04-17,19,1
2021-04-18,19,2
2021-04-19,16,4
2021-04-20,19,0
2021-04-21,20,3
2021-04-22,21,6
2021-04-23,21,6
2021-04-24,21,6
2021-04-25,21,6
2021-04-26,19,8
2021-04-27,20,7
2021-04-28,23,4
2021-04-29,22,7
2021-04-30,23,7
2021-05-01,24,6
2021-05-02,22,8
2021-05-03,19,10
2021-05-04,23,7
2021-05-05,23,7
2021-05-06,24,5
2021-05-07,24,4
2021-05-08,17,9
2021-05-09,21,5
2021-05-10,21,7
2021-05-11,23,5
2021-05-12,22,5
2021-05-13,21,4
2021-05-14,20,7
2021-05-15,23,4
2021-05-16,20,7
2021-05-17,19,8
2021-05-18,21,4
2021-05-19,18,3
2021-05-20,19,2
2021-05-21,20,2
2021-05-22,21,7
2021-05-23,19,9
2021-05-24,22,6
2021-05-25,23,5
2021-05-26,20,8
2021-05-27,24,4
2021-05-28,23,5
2021-05-29,21,8
2021-05-30,18,8
2021-05-31,21,5
2021-06-01,23,3
2021-06-02,24,1
2021-06-03,20,5
2021-06-04,18,7
2021-06-05,21,6
2021-06-06,23,4
2021-06-07,22,5
2021-06-08,23,4
2021-06-09,25,2
2021-06-10,21,4
2021-06-11,19,8
2021-06-12,16,11
2021-06-13,21,6
2021-06-14,22,5
2021-06-15,22,5
2021-06-16,21,6
2021-06-17,22,5
2021-06-18,24,3
2021-06-19,22,5
2021-06-20,22,5
2021-06-21,20,7
2021-06-22,22,5
2021-06-23,19,8
2021-06-24,21,2
2021-06-25,21,2
2021-06-26,16,7
2021-06-27,17,4
2021-06-28,17,8
2021-06-29,18,9
2021-06-30,24,3
2021-07-01,22,3
2021-07-02,17,7
2021-07-03,17,7
2021-07-04,18,6
2021-07-05,20,4
2021-07-06,18,3
2021-07-07,25,2
2021-07-08,25,2
2021-07-09,26,0
2021-07-10,18,8
2021-07-11,20,7
2021-07-12,18,7
2021-07-13,21,4
2021-07-14,21,4
2021-07-15,17,7
2021-07-16,19,8
2021-07-17,14,5
2021-07-18,15,3
2021-07-19,18,4
2021-07-20,17,8
2021-07-21,14,11
2021-07-22,16,9
2021-07-23,16,8
2021-07-24,20,4
2021-07-25,16,7
2021-07-26,19,6
2021-07-27,19,8
2021-07-28,24,2
2021-07-29,24,2
2021-07-30,17,9
2021-07-31,21,5
2021-08-01,17,9
2021-08-02,17,10
2021-08-03,25,2
2021-08-04,17,10
2021-08-05,17,10
2021-08-06,17,6
2021-08-07,18,5
2021-08-08,16,9
2021-08-09,15,9
2021-08-10,22,5
