date,betten_belegt,betten_frei
2020-04-24,11,13
2020-04-25,10,13
2020-04-26,7,15
2020-04-27,10,13
2020-04-28,9,13
2020-04-29,9,13
2020-04-30,7,15
2020-05-01,12,10
2020-05-02,5,17
2020-05-03,4,18
2020-05-04,6,16
2020-05-05,9,13
2020-05-06,8,12
2020-05-07,12,8
2020-05-08,12,8
2020-05-09,15,5
2020-05-10,10,8
2020-05-11,11,7
2020-05-12,12,5
2020-05-13,11,6
2020-05-14,7,12
2020-05-15,9,8
2020-05-16,11,6
2020-05-17,10,7
2020-05-18,9,8
2020-05-19,8,7
2020-05-20,11,4
2020-05-21,8,7
2020-05-22,6,9
2020-05-23,7,8
2020-05-24,6,9
2020-05-25,8,7
2020-05-26,10,5
2020-05-27,7,7
2020-05-28,6,8
2020-05-29,5,9
2020-05-30,7,6
2020-05-31,10,5
2020-06-01,9,5
2020-06-02,8,6
2020-06-03,9,5
2020-06-04,7,6
2020-06-05,11,4
2020-06-06,11,6
2020-06-07,7,11
2020-06-08,10,7
2020-06-09,10,8
2020-06-10,11,6
2020-06-11,10,7
2020-06-12,10,6
2020-06-13,11,5
2020-06-14,11,5
2020-06-15,12,4
2020-06-16,10,7
2020-06-17,9,8
2020-06-18,11,5
2020-06-19,8,9
2020-06-20,11,6
2020-06-21,12,5
2020-06-22,12,4
2020-06-23,10,6
2020-06-24,9,7
2020-06-25,10,5
2020-06-26,12,5
2020-06-27,12,5
2020-06-28,10,7
2020-06-29,9,8
2020-06-30,11,4
2020-07-01,11,4
2020-07-02,12,5
2020-07-03,10,7
2020-07-04,11,6
2020-07-05,9,8
2020-07-06,12,5
2020-07-07,10,7
2020-07-08,12,4
2020-07-09,9,9
2020-07-10,9,7
2020-07-11,10,7
2020-07-12,13,4
2020-07-13,12,5
2020-07-14,13,4
2020-07-15,12,5
2020-07-16,13,4
2020-07-17,10,7
2020-07-18,11,5
2020-07-19,11,6
2020-07-20,11,6
2020-07-21,13,4
2020-07-22,12,5
2020-07-23,10,7
2020-07-24,14,3
2020-07-25,12,5
2020-07-26,10,7
2020-07-27,8,9
2020-07-28,9,9
2020-07-29,12,5
2020-07-30,10,7
2020-07-31,11,4
2020-08-01,11,6
2020-08-02,11,6
2020-08-03,11,6
2020-08-04,8,9
2020-08-05,10,7
2020-08-06,14,3
2020-08-07,9,8
2020-08-08,11,6
2020-08-09,12,5
2020-08-10,11,6
2020-08-11,9,8
2020-08-12,7,10
2020-08-13,12,5
2020-08-14,7,10
2020-08-15,7,10
2020-08-16,8,9
2020-08-17,8,9
2020-08-18,12,5
2020-08-19,10,7
2020-08-20,11,6
2020-08-21,11,6
2020-08-22,9,8
2020-08-23,8,9
2020-08-24,8,9
2020-08-25,9,8
2020-08-26,13,4
2020-08-27,7,10
2020-08-28,13,4
2020-08-29,12,5
2020-08-30,11,6
2020-08-31,9,8
2020-09-01,11,6
2020-09-02,14,3
2020-09-03,15,2
2020-09-04,9,8
2020-09-05,10,7
2020-09-06,11,6
2020-09-07,12,5
2020-09-08,9,8
2020-09-09,11,6
2020-09-10,8,9
2020-09-11,9,8
2020-09-12,6,11
2020-09-13,6,11
2020-09-14,9,8
2020-09-15,11,6
2020-09-16,12,5
2020-09-17,9,8
2020-09-18,13,4
2020-09-19,13,4
2020-09-20,11,6
2020-09-21,13,4
2020-09-22,10,7
2020-09-23,9,8
2020-09-24,6,11
2020-09-25,10,7
2020-09-26,11,6
2020-09-27,10,7
2020-09-28,11,6
2020-09-29,13,4
2020-09-30,13,4
2020-10-01,10,7
2020-10-02,12,5
2020-10-03,11,6
2020-10-04,9,8
2020-10-05,7,10
2020-10-06,9,8
2020-10-07,12,5
2020-10-08,12,5
2020-10-09,9,8
2020-10-10,8,9
2020-10-11,12,5
2020-10-12,10,7
2020-10-13,10,7
2020-10-14,5,10
2020-10-15,8,7
2020-10-16,10,5
2020-10-17,10,5
2020-10-18,9,6
2020-10-19,11,4
2020-10-20,14,3
2020-10-21,8,9
2020-10-22,9,8
2020-10-23,10,7
2020-10-24,10,7
2020-10-25,7,10
2020-10-26,10,7
2020-10-27,11,6
2020-10-28,15,2
2020-10-29,9,8
2020-10-30,9,8
2020-10-31,8,9
2020-11-01,7,10
2020-11-02,10,7
2020-11-03,10,7
2020-11-04,8,9
2020-11-05,8,9
2020-11-06,11,6
2020-11-07,10,7
2020-11-08,10,7
2020-11-09,12,5
2020-11-10,11,6
2020-11-11,8,9
2020-11-12,14,3
2020-11-13,11,6
2020-11-14,12,5
2020-11-15,8,9
2020-11-16,9,8
2020-11-17,7,10
2020-11-18,12,5
2020-11-19,9,8
2020-11-20,10,7
2020-11-21,14,3
2020-11-22,9,8
2020-11-23,11,6
2020-11-24,10,7
2020-11-25,12,5
2020-11-26,13,4
2020-11-27,11,6
2020-11-28,10,7
2020-11-29,12,5
2020-11-30,12,5
2020-12-01,15,1
2020-12-02,11,5
2020-12-03,10,5
2020-12-04,9,6
2020-12-05,13,4
2020-12-06,10,7
2020-12-07,9,8
2020-12-08,11,6
2020-12-09,12,5
2020-12-10,12,3
2020-12-11,10,6
2020-12-12,9,8
2020-12-13,9,8
2020-12-14,9,6
2020-12-15,10,5
2020-12-16,11,4
2020-12-17,12,4
2020-12-18,11,5
2020-12-19,7,9
2020-12-20,11,4
2020-12-21,11,4
2020-12-22,11,3
2020-12-23,12,3
2020-12-24,8,5
2020-12-25,9,4
2020-12-26,7,6
2020-12-27,9,4
2020-12-28,11,2
2020-12-29,8,8
2020-12-30,13,3
2020-12-31,11,6
2021-01-01,10,5
2021-01-02,9,8
2021-01-03,9,8
2021-01-04,7,10
2021-01-05,11,6
2021-01-06,11,6
2021-01-07,11,6
2021-01-08,11,6
2021-01-09,11,6
2021-01-10,12,5
2021-01-11,12,5
2021-01-12,10,7
2021-01-13,12,5
2021-01-14,13,4
2021-01-15,11,6
2021-01-16,15,2
2021-01-17,13,4
2021-01-18,12,5
2021-01-19,16,3
2021-01-20,16,3
2021-01-21,14,5
2021-01-22,14,5
2021-01-23,16,3
2021-01-24,15,4
2021-01-25,10,9
2021-01-26,14,5
2021-01-27,12,7
2021-01-28,16,3
2021-01-29,14,5
2021-01-30,15,4
2021-01-31,12,7
2021-02-01,13,6
2021-02-02,15,4
2021-02-03,12,7
2021-02-04,11,8
2021-02-05,16,3
2021-02-06,13,6
2021-02-07,13,6
2021-02-08,12,7
2021-02-09,13,4
2021-02-10,14,4
2021-02-11,12,7
2021-02-12,12,7
2021-02-13,11,8
2021-02-14,13,6
2021-02-15,13,6
2021-02-16,15,4
2021-02-17,13,6
2021-02-18,16,3
2021-02-19,17,2
2021-02-20,14,5
2021-02-21,10,9
2021-02-22,13,6
2021-02-23,13,6
2021-02-24,14,5
2021-02-25,15,4
2021-02-26,13,6
2021-02-27,13,6
2021-02-28,13,6
2021-03-01,13,6
2021-03-02,12,7
2021-03-03,13,6
2021-03-04,12,7
2021-03-05,12,8
2021-03-06,13,7
2021-03-07,15,5
2021-03-08,16,4
2021-03-09,13,7
2021-03-10,16,4
2021-03-11,18,2
2021-03-12,17,3
2021-03-13,15,5
2021-03-14,14,6
2021-03-15,15,5
2021-03-16,12,8
2021-03-17,12,8
2021-03-18,10,10
2021-03-19,14,6
2021-03-20,14,6
2021-03-21,14,6
2021-03-22,13,7
2021-03-23,17,3
2021-03-24,17,3
2021-03-25,16,4
2021-03-26,10,10
2021-03-27,12,8
2021-03-28,11,9
2021-03-29,13,7
2021-03-30,14,6
2021-03-31,13,7
2021-04-01,14,6
2021-04-02,15,5
2021-04-03,11,9
2021-04-04,10,10
2021-04-05,13,7
2021-04-06,16,4
2021-04-07,13,7
2021-04-08,15,5
2021-04-09,15,5
2021-04-10,15,5
2021-04-11,13,7
2021-04-12,12,8
2021-04-13,16,4
2021-04-14,13,7
2021-04-15,12,8
2021-04-16,13,7
2021-04-17,15,5
2021-04-18,15,5
2021-04-19,15,5
2021-04-20,16,4
2021-04-21,16,4
2021-04-22,15,5
2021-04-23,15,5
2021-04-24,18,3
2021-04-25,15,6
2021-04-26,11,10
2021-04-27,15,6
2021-04-28,17,4
2021-04-29,15,6
2021-04-30,15,6
2021-05-01,15,6
2021-05-02,17,4
2021-05-03,17,4
2021-05-04,19,2
2021-05-05,19,2
2021-05-06,17,4
2021-05-07,15,6
2021-05-08,14,7
2021-05-09,14,7
2021-05-10,15,6
2021-05-11,17,4
2021-05-12,17,4
2021-05-13,18,3
2021-05-14,16,5
2021-05-15,16,5
2021-05-16,13,8
2021-05-17,12,9
2021-05-18,14,7
2021-05-19,15,6
2021-05-20,16,5
2021-05-21,16,5
2021-05-22,16,5
2021-05-23,14,7
2021-05-24,12,9
2021-05-25,14,7
2021-05-26,19,2
2021-05-27,19,2
2021-05-28,18,3
2021-05-29,19,2
2021-05-30,14,7
2021-05-31,16,5
2021-06-01,15,6
2021-06-02,17,4
2021-06-03,12,9
2021-06-04,11,10
2021-06-05,15,6
2021-06-06,14,7
2021-06-07,14,7
2021-06-08,13,8
2021-06-09,17,4
2021-06-10,16,5
2021-06-11,15,6
2021-06-12,14,7
2021-06-13,10,11
2021-06-14,10,11
2021-06-15,14,7
2021-06-16,17,4
