date,betten_belegt,betten_frei
2020-04-24,19,11
2020-04-25,18,12
2020-04-26,18,12
2020-04-27,20,12
2020-04-28,19,11
2020-04-29,20,10
2020-04-30,19,11
2020-05-01,19,11
2020-05-02,17,13
2020-05-03,16,13
2020-05-04,17,13
2020-05-05,17,14
2020-05-06,17,13
2020-05-07,20,10
2020-05-08,17,13
2020-05-09,18,12
2020-05-10,18,12
2020-05-11,16,14
2020-05-12,20,10
2020-05-13,18,12
2020-05-14,18,12
2020-05-15,19,11
2020-05-16,19,11
2020-05-17,18,12
2020-05-18,19,11
2020-05-19,20,10
2020-05-20,17,13
2020-05-21,15,15
2020-05-22,19,11
2020-05-23,13,15
2020-05-24,14,14
2020-05-25,12,16
2020-05-26,14,14
2020-05-27,17,13
2020-05-28,18,12
2020-05-29,15,15
2020-05-30,18,12
2020-05-31,22,8
2020-06-01,21,9
2020-06-02,16,14
2020-06-03,18,12
2020-06-04,22,8
2020-06-05,21,9
2020-06-06,16,14
2020-06-07,16,14
2020-06-08,13,17
2020-06-09,17,14
2020-06-10,20,10
2020-06-11,21,9
2020-06-12,21,9
2020-06-13,21,9
2020-06-14,20,10
2020-06-15,21,9
2020-06-16,17,13
2020-06-17,18,12
2020-06-18,20,10
2020-06-19,19,11
2020-06-20,16,14
2020-06-21,14,16
2020-06-22,17,13
2020-06-23,20,10
2020-06-24,19,11
2020-06-25,20,10
2020-06-26,29,3
2020-06-27,26,6
2020-06-28,16,14
2020-06-29,15,15
2020-06-30,19,11
2020-07-01,20,10
2020-07-02,23,7
2020-07-03,22,8
2020-07-04,22,8
2020-07-05,18,12
2020-07-06,17,13
2020-07-07,21,9
2020-07-08,17,13
2020-07-09,20,10
2020-07-10,20,10
2020-07-11,18,12
2020-07-12,18,11
2020-07-13,16,14
2020-07-14,21,9
2020-07-15,21,9
2020-07-16,20,10
2020-07-17,17,13
2020-07-18,18,12
2020-07-19,19,11
2020-07-20,19,11
2020-07-21,18,12
2020-07-22,16,14
2020-07-23,16,14
2020-07-24,14,16
2020-07-25,16,14
2020-07-26,16,14
2020-07-27,16,14
2020-07-28,19,11
2020-07-29,16,14
2020-07-30,20,10
2020-07-31,17,13
2020-08-01,13,17
2020-08-02,11,19
2020-08-03,13,17
2020-08-04,12,10
2020-08-05,13,9
2020-08-06,9,13
2020-08-07,8,14
2020-08-08,9,13
2020-08-09,6,16
2020-08-10,11,11
2020-08-11,12,10
2020-08-12,13,9
2020-08-13,15,7
2020-08-14,16,6
2020-08-15,15,7
2020-08-16,14,8
2020-08-17,13,9
2020-08-18,13,9
2020-08-19,16,6
2020-08-20,15,7
2020-08-21,14,8
2020-08-22,15,7
2020-08-23,13,9
2020-08-24,13,9
2020-08-25,16,6
2020-08-26,17,5
2020-08-27,17,5
2020-08-28,16,6
2020-08-29,14,8
2020-08-30,16,6
2020-08-31,19,3
2020-09-01,16,6
2020-09-02,17,5
2020-09-03,17,5
2020-09-04,13,9
2020-09-05,14,8
2020-09-06,13,9
2020-09-07,15,7
2020-09-08,17,7
2020-09-09,15,9
2020-09-10,16,8
2020-09-11,17,7
2020-09-12,18,6
2020-09-13,16,8
2020-09-14,17,7
2020-09-15,14,10
2020-09-16,18,6
2020-09-17,16,8
2020-09-18,16,8
2020-09-19,17,7
2020-09-20,16,8
2020-09-21,15,9
2020-09-22,18,6
2020-09-23,18,6
2020-09-24,17,7
2020-09-25,19,5
2020-09-26,14,10
2020-09-27,13,11
2020-09-28,16,8
2020-09-29,17,7
2020-09-30,18,6
2020-10-01,17,7
2020-10-02,14,10
2020-10-03,16,8
2020-10-04,13,11
2020-10-05,15,9
2020-10-06,13,11
2020-10-07,14,10
2020-10-08,17,7
2020-10-09,14,10
2020-10-10,11,13
2020-10-11,11,13
2020-10-12,14,10
2020-10-13,15,9
2020-10-14,14,10
2020-10-15,14,10
2020-10-16,11,13
2020-10-17,12,12
2020-10-18,16,8
2020-10-19,10,14
2020-10-20,14,10
2020-10-21,13,11
2020-10-22,16,8
2020-10-23,13,11
2020-10-24,12,12
2020-10-25,11,13
2020-10-26,11,13
2020-10-27,14,10
2020-10-28,17,7
2020-10-29,17,7
2020-10-30,17,7
2020-10-31,12,12
2020-11-01,13,11
2020-11-02,14,10
2020-11-03,14,10
2020-11-04,10,14
2020-11-05,13,11
2020-11-06,13,11
2020-11-07,9,15
2020-11-08,8,16
2020-11-09,9,15
2020-11-10,12,12
2020-11-11,14,10
2020-11-12,16,8
2020-11-13,14,10
2020-11-14,17,7
2020-11-15,18,6
2020-11-16,16,8
2020-11-17,15,9
2020-11-18,17,7
2020-11-19,14,10
2020-11-20,18,6
2020-11-21,15,9
2020-11-22,14,10
2020-11-23,16,8
2020-11-24,17,7
2020-11-25,13,11
2020-11-26,13,11
2020-11-27,12,12
2020-11-28,14,10
2020-11-29,14,10
2020-11-30,14,10
2020-12-01,13,11
2020-12-02,19,5
2020-12-03,19,5
2020-12-04,18,6
2020-12-05,19,5
2020-12-06,15,9
2020-12-07,16,8
2020-12-08,17,7
2020-12-09,18,6
2020-12-10,15,9
2020-12-11,17,7
2020-12-12,16,8
2020-12-13,17,7
2020-12-14,18,6
2020-12-15,14,10
2020-12-16,16,1
2020-12-17,13,4
2020-12-18,13,4
2020-12-19,13,4
2020-12-20,12,5
2020-12-21,12,5
2020-12-22,11,6
2020-12-23,14,3
2020-12-24,17,0
2020-12-25,17,0
2020-12-26,15,2
2020-12-27,16,1
2020-12-28,15,2
2020-12-29,13,4
2020-12-30,15,2
2020-12-31,17,0
2021-01-01,17,0
2021-01-02,17,0
2021-01-03,16,2
2021-01-04,15,2
2021-01-05,14,3
2021-01-06,15,4
2021-01-07,14,5
2021-01-08,15,2
2021-01-09,15,2
2021-01-10,15,2
2021-01-11,16,1
2021-01-12,14,3
2021-01-13,13,4
2021-01-14,16,1
2021-01-15,13,4
2021-01-16,12,5
2021-01-17,15,2
2021-01-18,15,2
2021-01-19,16,1
2021-01-20,15,2
2021-01-21,13,4
2021-01-22,14,3
2021-01-23,16,2
2021-01-24,13,4
2021-01-25,17,2
2021-01-26,16,3
2021-01-27,16,2
2021-01-28,15,3
2021-01-29,17,1
2021-01-30,16,1
2021-01-31,13,3
2021-02-01,13,4
2021-02-02,14,3
2021-02-03,14,3
2021-02-04,13,4
2021-02-05,16,2
2021-02-06,14,3
2021-02-07,14,3
2021-02-08,13,4
2021-02-09,16,1
2021-02-10,15,2
2021-02-11,15,2
2021-02-12,13,4
2021-02-13,13,4
2021-02-14,13,4
2021-02-15,12,5
2021-02-16,14,3
2021-02-17,13,4
2021-02-18,13,5
2021-02-19,12,5
2021-02-20,15,2
2021-02-21,14,3
2021-02-22,14,3
2021-02-23,16,1
2021-02-24,15,2
2021-02-25,14,3
2021-02-26,16,1
2021-02-27,17,0
2021-02-28,17,0
2021-03-01,17,1
2021-03-02,14,3
2021-03-03,13,4
2021-03-04,14,3
2021-03-05,15,3
2021-03-06,12,5
2021-03-07,14,3
2021-03-08,13,4
2021-03-09,16,2
2021-03-10,14,3
2021-03-11,15,2
2021-03-12,14,3
2021-03-13,14,4
2021-03-14,14,3
2021-03-15,13,4
2021-03-16,16,1
2021-03-17,14,3
2021-03-18,15,2
2021-03-19,15,2
2021-03-20,16,1
2021-03-21,14,3
2021-03-22,14,3
2021-03-23,15,2
2021-03-24,17,1
2021-03-25,15,2
2021-03-26,14,3
2021-03-27,12,5
2021-03-28,13,4
2021-03-29,12,5
2021-03-30,12,5
2021-03-31,14,3
2021-04-01,16,1
2021-04-02,17,0
2021-04-03,18,0
2021-04-04,19,0
2021-04-05,14,3
2021-04-06,15,2
2021-04-07,13,4
2021-04-08,15,2
2021-04-09,15,2
2021-04-10,15,2
2021-04-11,16,1
2021-04-12,15,2
2021-04-13,17,0
2021-04-14,15,2
2021-04-15,15,2
2021-04-16,14,3
2021-04-17,13,4
2021-04-18,15,2
2021-04-19,15,2
2021-04-20,15,2
2021-04-21,15,3
2021-04-22,13,4
2021-04-23,18,0
2021-04-24,15,2
2021-04-25,13,4
2021-04-26,11,6
2021-04-27,13,4
2021-04-28,10,7
2021-04-29,14,3
2021-04-30,13,4
2021-05-01,12,5
2021-05-02,11,6
2021-05-03,12,5
2021-05-04,14,3
2021-05-05,12,5
2021-05-06,13,4
2021-05-07,13,4
2021-05-08,15,2
2021-05-09,15,2
2021-05-10,14,3
2021-05-11,14,3
2021-05-12,14,4
2021-05-13,12,5
2021-05-14,13,4
2021-05-15,13,4
2021-05-16,13,4
2021-05-17,14,3
2021-05-18,11,6
2021-05-19,14,3
2021-05-20,15,2
2021-05-21,14,3
2021-05-22,12,5
2021-05-23,13,4
2021-05-24,12,5
2021-05-25,12,5
2021-05-26,14,3
2021-05-27,16,2
2021-05-28,15,3
2021-05-29,16,3
2021-05-30,13,4
2021-05-31,13,5
2021-06-01,11,7
2021-06-02,13,5
2021-06-03,14,5
2021-06-04,9,8
2021-06-05,10,8
2021-06-06,11,7
2021-06-07,13,5
2021-06-08,10,7
2021-06-09,11,6
2021-06-10,15,2
2021-06-11,16,2
2021-06-12,15,4
2021-06-13,14,4
2021-06-14,13,4
2021-06-15,15,3
2021-06-16,13,4
2021-06-17,13,4
2021-06-18,12,5
2021-06-19,12,5
2021-06-20,11,6
2021-06-21,10,7
2021-06-22,16,1
2021-06-23,15,2
2021-06-24,16,1
2021-06-25,13,4
2021-06-26,11,6
2021-06-27,15,2
2021-06-28,9,8
2021-06-29,10,7
2021-06-30,12,5
2021-07-01,14,3
2021-07-02,13,4
2021-07-03,11,6
2021-07-04,14,3
2021-07-05,12,5
2021-07-06,12,5
2021-07-07,12,5
2021-07-08,14,3
2021-07-09,14,3
2021-07-10,13,4
2021-07-11,13,4
2021-07-12,13,4
2021-07-13,13,4
2021-07-14,12,5
2021-07-15,13,4
2021-07-16,12,5
2021-07-17,12,5
2021-07-18,9,8
2021-07-19,12,5
2021-07-20,13,4
2021-07-21,12,5
2021-07-22,13,4
2021-07-23,12,5
2021-07-24,12,5
2021-07-25,12,5
2021-07-26,11,6
2021-07-27,10,7
2021-07-28,12,5
2021-07-29,13,4
2021-07-30,13,4
2021-07-31,12,5
2021-08-01,13,4
2021-08-02,12,5
2021-08-03,14,3
2021-08-04,12,5
2021-08-05,11,6
2021-08-06,10,7
2021-08-07,10,7
2021-08-08,7,10
2021-08-09,12,8
2021-08-10,11,9
2021-08-11,11,9
2021-08-12,12,8
2021-08-13,12,8
2021-08-14,11,9
2021-08-15,12,8
2021-08-16,14,6
2021-08-17,16,4
2021-08-18,14,6
2021-08-19,12,8
2021-08-20,13,7
2021-08-21,16,4
2021-08-22,14,6
