date,betten_belegt,betten_frei
2020-04-24,11,9
2020-04-25,10,9
2020-04-26,11,9
2020-04-27,10,10
2020-04-28,13,8
2020-04-29,15,5
2020-04-30,9,11
2020-05-01,9,10
2020-05-02,12,7
2020-05-03,11,8
2020-05-04,9,11
2020-05-05,10,10
2020-05-06,10,10
2020-05-07,9,11
2020-05-08,11,7
2020-05-09,15,4
2020-05-10,11,8
2020-05-11,8,10
2020-05-12,13,7
2020-05-13,16,3
2020-05-14,11,8
2020-05-15,13,6
2020-05-16,8,12
2020-05-17,12,7
2020-05-18,13,6
2020-05-19,14,6
2020-05-20,11,11
2020-05-21,10,10
2020-05-22,14,6
2020-05-23,7,13
2020-05-24,4,13
2020-05-25,6,15
2020-05-26,10,11
2020-05-27,14,7
2020-05-28,10,8
2020-05-29,10,11
2020-05-30,14,6
2020-05-31,12,9
2020-06-01,11,9
2020-06-02,11,10
2020-06-03,11,6
2020-06-04,18,6
2020-06-05,17,5
2020-06-06,14,9
2020-06-07,12,11
2020-06-08,11,14
2020-06-09,14,11
2020-06-10,13,12
2020-06-11,17,8
2020-06-12,11,14
2020-06-13,17,5
2020-06-14,16,8
2020-06-15,15,9
2020-06-16,14,11
2020-06-17,15,9
2020-06-18,18,7
2020-06-19,16,9
2020-06-20,14,11
2020-06-21,16,8
2020-06-22,13,12
2020-06-23,15,10
2020-06-24,16,9
2020-06-25,14,11
2020-06-26,16,13
2020-06-27,20,8
2020-06-28,20,8
2020-06-29,21,8
2020-06-30,22,7
2020-07-01,21,5
2020-07-02,14,12
2020-07-03,20,7
2020-07-04,16,12
2020-07-05,12,17
2020-07-06,14,14
2020-07-07,14,15
2020-07-08,20,9
2020-07-09,19,8
2020-07-10,21,8
2020-07-11,24,4
2020-07-12,18,11
2020-07-13,20,9
2020-07-14,16,13
2020-07-15,17,12
2020-07-16,23,6
2020-07-17,18,11
2020-07-18,13,15
2020-07-19,15,14
2020-07-20,16,13
2020-07-21,15,14
2020-07-22,20,9
2020-07-23,18,11
2020-07-24,19,10
2020-07-25,19,10
2020-07-26,19,10
2020-07-27,23,6
2020-07-28,21,8
2020-07-29,23,6
2020-07-30,20,9
2020-07-31,22,7
2020-08-01,11,14
2020-08-02,16,13
2020-08-03,17,12
2020-08-04,22,7
2020-08-05,23,6
2020-08-06,21,8
2020-08-07,22,7
2020-08-08,21,8
2020-08-09,21,8
2020-08-10,22,7
2020-08-11,21,8
2020-08-12,18,11
2020-08-13,19,10
2020-08-14,13,16
2020-08-15,14,15
2020-08-16,14,15
2020-08-17,18,11
2020-08-18,15,14
2020-08-19,21,8
2020-08-20,21,8
2020-08-21,20,9
2020-08-22,20,9
2020-08-23,17,12
2020-08-24,16,13
2020-08-25,18,11
