date,betten_belegt,betten_frei
2020-04-24,8,23
2020-04-25,13,18
2020-04-26,13,12
2020-04-27,10,18
2020-04-28,11,15
2020-04-29,9,19
2020-04-30,15,13
2020-05-01,11,17
2020-05-02,12,16
2020-05-03,13,16
2020-05-04,7,20
2020-05-05,6,21
2020-05-06,10,12
2020-05-07,10,12
2020-05-08,8,14
2020-05-09,10,12
2020-05-10,8,14
2020-05-11,11,11
2020-05-12,10,12
2020-05-13,15,7
2020-05-14,13,9
2020-05-15,12,10
2020-05-16,11,11
2020-05-17,8,14
2020-05-18,9,13
2020-05-19,11,11
2020-05-20,14,8
2020-05-21,16,6
2020-05-22,12,10
2020-05-23,14,8
2020-05-24,13,9
2020-05-25,10,12
2020-05-26,8,14
2020-05-27,13,9
2020-05-28,9,13
2020-05-29,8,14
2020-05-30,11,11
2020-05-31,8,14
2020-06-01,7,15
2020-06-02,8,14
2020-06-03,12,10
2020-06-04,10,12
2020-06-05,10,12
2020-06-06,13,9
2020-06-07,13,9
2020-06-08,10,12
2020-06-09,13,9
2020-06-10,9,13
2020-06-11,12,10
2020-06-12,15,7
2020-06-13,12,10
2020-06-14,10,12
2020-06-15,8,14
2020-06-16,11,11
2020-06-17,12,10
2020-06-18,13,9
2020-06-19,11,11
2020-06-20,10,12
2020-06-21,12,10
2020-06-22,7,15
2020-06-23,15,7
2020-06-24,13,9
2020-06-25,13,9
2020-06-26,10,12
2020-06-27,8,14
2020-06-28,11,11
2020-06-29,9,13
2020-06-30,12,10
2020-07-01,12,10
2020-07-02,14,10
2020-07-03,11,11
2020-07-04,11,11
2020-07-05,14,8
2020-07-06,12,10
2020-07-07,10,12
2020-07-08,10,12
2020-07-09,14,8
2020-07-10,13,9
2020-07-11,9,13
2020-07-12,7,15
2020-07-13,8,14
2020-07-14,11,11
2020-07-15,10,12
2020-07-16,7,15
2020-07-17,9,13
2020-07-18,8,14
2020-07-19,11,11
2020-07-20,8,14
2020-07-21,11,11
2020-07-22,10,12
2020-07-23,11,11
2020-07-24,11,11
2020-07-25,10,12
2020-07-26,9,17
2020-07-27,10,12
2020-07-28,14,8
2020-07-29,13,9
2020-07-30,9,13
2020-07-31,10,12
2020-08-01,10,12
2020-08-02,9,13
2020-08-03,8,14
2020-08-04,5,17
2020-08-05,7,15
2020-08-06,12,10
2020-08-07,10,12
2020-08-08,10,12
2020-08-09,9,13
2020-08-10,11,11
2020-08-11,13,9
2020-08-12,12,10
2020-08-13,10,12
2020-08-14,9,13
2020-08-15,10,12
2020-08-16,5,17
2020-08-17,10,12
2020-08-18,9,13
2020-08-19,7,15
2020-08-20,10,12
2020-08-21,12,10
2020-08-22,11,11
2020-08-23,10,12
2020-08-24,9,13
2020-08-25,7,15
2020-08-26,10,12
2020-08-27,11,11
2020-08-28,14,8
2020-08-29,11,11
2020-08-30,10,12
2020-08-31,8,14
2020-09-01,9,13
2020-09-02,10,12
2020-09-03,10,12
2020-09-04,13,9
2020-09-05,9,13
2020-09-06,11,11
2020-09-07,10,12
2020-09-08,12,10
2020-09-09,11,11
2020-09-10,12,10
2020-09-11,9,13
2020-09-12,11,11
2020-09-13,12,10
2020-09-14,14,8
2020-09-15,7,15
2020-09-16,6,16
2020-09-17,13,9
2020-09-18,7,15
2020-09-19,3,19
2020-09-20,3,19
2020-09-21,6,16
2020-09-22,11,11
2020-09-23,13,9
2020-09-24,12,10
2020-09-25,10,12
2020-09-26,6,16
2020-09-27,9,13
2020-09-28,10,12
2020-09-29,10,12
2020-09-30,11,11
2020-10-01,11,11
2020-10-02,12,10
2020-10-03,14,8
2020-10-04,12,10
2020-10-05,10,12
2020-10-06,10,12
2020-10-07,11,11
2020-10-08,11,11
2020-10-09,11,11
2020-10-10,11,11
2020-10-11,8,14
2020-10-12,6,16
2020-10-13,9,13
2020-10-14,11,11
2020-10-15,10,12
2020-10-16,10,12
2020-10-17,11,11
2020-10-18,13,9
2020-10-19,11,11
2020-10-20,16,6
2020-10-21,15,7
2020-10-22,11,11
2020-10-23,17,5
2020-10-24,12,10
2020-10-25,10,12
2020-10-26,13,9
2020-10-27,14,8
2020-10-28,12,10
2020-10-29,14,8
2020-10-30,15,7
2020-10-31,14,8
2020-11-01,10,12
2020-11-02,12,10
2020-11-03,12,10
2020-11-04,14,8
2020-11-05,13,9
2020-11-06,8,14
2020-11-07,10,12
2020-11-08,10,12
2020-11-09,11,11
2020-11-10,9,13
2020-11-11,14,8
2020-11-12,10,12
2020-11-13,12,10
2020-11-14,10,12
2020-11-15,9,13
2020-11-16,10,12
2020-11-17,12,10
2020-11-18,12,10
2020-11-19,12,10
2020-11-20,14,8
2020-11-21,11,11
2020-11-22,12,10
2020-11-23,12,10
2020-11-24,11,11
2020-11-25,13,9
2020-11-26,10,12
2020-11-27,11,11
2020-11-28,16,6
2020-11-29,16,6
2020-11-30,17,5
2020-12-01,15,7
2020-12-02,17,5
2020-12-03,17,5
2020-12-04,19,3
2020-12-05,14,8
2020-12-06,11,11
2020-12-07,12,10
2020-12-08,15,7
2020-12-09,15,7
2020-12-10,15,7
2020-12-11,14,8
2020-12-12,13,9
2020-12-13,15,7
2020-12-14,15,7
