date,betten_belegt,betten_frei
2020-04-24,14,30
2020-04-25,16,28
2020-04-26,16,28
2020-04-27,18,26
2020-04-28,17,27
2020-04-29,17,27
2020-04-30,16,28
2020-05-01,15,29
2020-05-02,15,29
2020-05-03,18,26
2020-05-04,17,21
2020-05-05,16,22
2020-05-06,19,19
2020-05-07,20,18
2020-05-08,22,16
2020-05-09,22,16
2020-05-10,22,16
2020-05-11,17,15
2020-05-12,31,6
2020-05-13,33,5
2020-05-14,30,8
2020-05-15,27,9
2020-05-16,27,10
2020-05-17,29,8
2020-05-18,30,8
2020-05-19,28,10
2020-05-20,28,10
2020-05-21,28,10
2020-05-22,29,9
2020-05-23,30,8
2020-05-24,27,10
2020-05-25,27,10
2020-05-26,29,9
2020-05-27,28,10
2020-05-28,24,14
2020-05-29,25,13
2020-05-30,24,13
2020-05-31,26,11
2020-06-01,26,11
2020-06-02,25,12
2020-06-03,25,12
2020-06-04,29,8
2020-06-05,26,11
2020-06-06,26,12
2020-06-07,27,11
2020-06-08,24,14
2020-06-09,23,10
2020-06-10,24,9
2020-06-11,23,10
2020-06-12,25,11
2020-06-13,24,12
2020-06-14,22,14
2020-06-15,25,11
2020-06-16,27,9
2020-06-17,27,10
2020-06-18,25,13
2020-06-19,25,13
2020-06-20,22,15
2020-06-21,25,12
2020-06-22,25,12
2020-06-23,24,13
2020-06-24,25,11
2020-06-25,27,9
2020-06-26,35,5
2020-06-27,31,9
2020-06-28,28,12
2020-06-29,26,14
2020-06-30,25,11
2020-07-01,31,5
2020-07-02,28,8
2020-07-03,30,6
2020-07-04,25,11
2020-07-05,24,10
2020-07-06,26,12
2020-07-07,23,14
2020-07-08,21,15
2020-07-09,21,15
2020-07-10,19,17
2020-07-11,20,16
2020-07-12,20,16
2020-07-13,22,14
2020-07-14,27,9
2020-07-15,27,6
2020-07-16,23,10
2020-07-17,24,9
2020-07-18,23,10
2020-07-19,20,13
2020-07-20,22,11
2020-07-21,25,8
2020-07-22,25,8
2020-07-23,23,10
2020-07-24,26,7
2020-07-25,26,7
2020-07-26,24,9
2020-07-27,24,12
2020-07-28,26,10
2020-07-29,25,11
2020-07-30,27,9
2020-07-31,24,12
2020-08-01,24,12
2020-08-02,23,13
2020-08-03,24,12
2020-08-04,13,11
2020-08-05,13,11
2020-08-06,12,12
2020-08-07,10,14
2020-08-08,12,12
2020-08-09,13,11
2020-08-10,14,10
2020-08-11,10,14
2020-08-12,10,14
2020-08-13,11,13
2020-08-14,12,12
2020-08-15,12,12
2020-08-16,9,15
2020-08-17,9,15
2020-08-18,9,15
2020-08-19,8,16
2020-08-20,7,17
2020-08-21,12,12
2020-08-22,9,15
2020-08-23,9,15
2020-08-24,7,17
2020-08-25,9,15
2020-08-26,10,14
2020-08-27,9,15
2020-08-28,8,16
2020-08-29,12,12
2020-08-30,12,12
2020-08-31,12,12
2020-09-01,12,12
2020-09-02,13,11
2020-09-03,14,10
2020-09-04,12,12
2020-09-05,9,15
2020-09-06,9,15
2020-09-07,10,14
2020-09-08,9,15
2020-09-09,12,12
2020-09-10,9,15
2020-09-11,9,15
2020-09-12,11,13
2020-09-13,8,16
2020-09-14,11,13
2020-09-15,12,12
2020-09-16,12,12
2020-09-17,7,17
2020-09-18,7,17
2020-09-19,9,15
2020-09-20,9,15
2020-09-21,9,15
2020-09-22,9,15
2020-09-23,9,15
2020-09-24,7,17
2020-09-25,11,13
2020-09-26,13,11
2020-09-27,12,12
2020-09-28,8,16
2020-09-29,10,14
2020-09-30,12,12
2020-10-01,11,13
2020-10-02,11,13
2020-10-03,11,13
2020-10-04,11,13
2020-10-05,8,16
2020-10-06,11,13
2020-10-07,8,16
2020-10-08,6,18
2020-10-09,10,14
2020-10-10,9,15
2020-10-11,8,16
2020-10-12,6,18
2020-10-13,8,16
2020-10-14,8,16
2020-10-15,9,15
2020-10-16,13,11
2020-10-17,12,12
2020-10-18,11,13
2020-10-19,11,13
2020-10-20,13,11
2020-10-21,11,13
2020-10-22,12,12
2020-10-23,10,14
2020-10-24,11,13
2020-10-25,11,9
2020-10-26,9,11
2020-10-27,10,10
2020-10-28,11,9
2020-10-29,7,11
2020-10-30,7,10
2020-10-31,11,6
2020-11-01,10,7
2020-11-02,6,12
2020-11-03,7,11
2020-11-04,8,10
2020-11-05,7,11
2020-11-06,7,10
2020-11-07,12,5
2020-11-08,11,6
2020-11-09,13,3
2020-11-10,13,3
2020-11-11,12,2
2020-11-12,12,2
2020-11-13,12,2
2020-11-14,12,2
2020-11-15,11,3
2020-11-16,12,2
2020-11-17,13,1
2020-11-18,12,2
2020-11-19,10,4
2020-11-20,7,7
2020-11-21,7,7
2020-11-22,7,7
2020-11-23,7,7
2020-11-24,6,8
2020-11-25,6,5
2020-11-26,9,2
2020-11-27,6,5
2020-11-28,9,2
2020-11-29,5,6
2020-11-30,6,5
2020-12-01,4,7
2020-12-02,6,5
2020-12-03,6,4
2020-12-04,6,4
2020-12-05,5,5
2020-12-06,5,5
2020-12-07,8,2
2020-12-08,6,4
2020-12-09,5,5
2020-12-10,7,4
2020-12-11,7,4
2020-12-12,8,3
2020-12-13,6,5
2020-12-14,5,5
2020-12-15,8,2
2020-12-16,6,4
2020-12-17,7,3
2020-12-18,5,5
2020-12-19,9,1
2020-12-20,9,1
2020-12-21,9,1
2020-12-22,10,0
2020-12-23,10,0
2020-12-24,8,2
2020-12-25,8,2
2020-12-26,8,2
2020-12-27,6,4
2020-12-28,6,4
2020-12-29,6,4
2020-12-30,6,4
2020-12-31,5,5
2021-01-01,5,5
2021-01-02,6,4
2021-01-03,5,5
2021-01-04,7,3
2021-01-05,10,0
2021-01-06,9,1
2021-01-07,7,3
2021-01-08,10,0
2021-01-09,10,0
2021-01-10,9,1
2021-01-11,7,3
2021-01-12,10,0
2021-01-13,10,0
2021-01-14,10,0
2021-01-15,10,0
2021-01-16,9,1
2021-01-17,7,3
2021-01-18,5,5
2021-01-19,10,0
2021-01-20,7,3
2021-01-21,10,0
2021-01-22,10,0
2021-01-23,10,0
2021-01-24,9,1
2021-01-25,10,0
2021-01-26,10,0
2021-01-27,10,0
2021-01-28,10,0
2021-01-29,10,0
2021-01-30,9,1
2021-01-31,10,0
2021-02-01,10,0
2021-02-02,10,0
2021-02-03,10,0
2021-02-04,10,0
2021-02-05,9,1
2021-02-06,9,1
2021-02-07,10,0
2021-02-08,10,0
2021-02-09,10,0
2021-02-10,9,1
2021-02-11,9,1
2021-02-12,10,0
2021-02-13,8,2
2021-02-14,8,2
2021-02-15,9,1
2021-02-16,9,1
2021-02-17,9,1
2021-02-18,6,4
2021-02-19,6,4
2021-02-20,6,4
2021-02-21,7,3
2021-02-22,6,4
2021-02-23,8,2
2021-02-24,8,2
2021-02-25,9,1
2021-02-26,8,2
2021-02-27,9,1
2021-02-28,5,5
2021-03-01,8,2
2021-03-02,8,2
2021-03-03,10,0
2021-03-04,6,4
2021-03-05,10,0
2021-03-06,10,0
2021-03-07,9,1
2021-03-08,9,1
2021-03-09,10,0
2021-03-10,7,3
2021-03-11,8,2
2021-03-12,10,0
2021-03-13,9,1
2021-03-14,8,2
2021-03-15,8,2
2021-03-16,9,1
2021-03-17,7,3
2021-03-18,7,3
2021-03-19,9,1
2021-03-20,9,1
2021-03-21,10,0
2021-03-22,10,0
2021-03-23,9,1
2021-03-24,10,0
2021-03-25,10,0
2021-03-26,10,0
2021-03-27,9,1
2021-03-28,8,2
2021-03-29,8,1
2021-03-30,9,0
2021-03-31,9,0
2021-04-01,9,0
2021-04-02,8,2
2021-04-03,8,2
2021-04-04,8,2
2021-04-05,7,3
2021-04-06,8,2
2021-04-07,8,2
2021-04-08,10,0
2021-04-09,10,0
2021-04-10,10,0
2021-04-11,10,0
2021-04-12,10,0
2021-04-13,10,0
2021-04-14,9,1
2021-04-15,9,1
2021-04-16,9,1
2021-04-17,10,0
2021-04-18,9,1
2021-04-19,9,0
2021-04-20,9,0
2021-04-21,9,0
2021-04-22,9,0
2021-04-23,9,0
2021-04-24,7,2
2021-04-25,8,2
2021-04-26,10,0
2021-04-27,7,3
2021-04-28,7,3
2021-04-29,10,0
2021-04-30,7,3
2021-05-01,6,4
2021-05-02,6,4
2021-05-03,8,2
2021-05-04,8,2
2021-05-05,8,2
2021-05-06,10,0
2021-05-07,9,1
2021-05-08,4,6
2021-05-09,4,6
2021-05-10,6,4
2021-05-11,8,2
2021-05-12,9,0
2021-05-13,7,3
2021-05-14,6,4
2021-05-15,9,1
2021-05-16,9,1
2021-05-17,8,2
2021-05-18,10,0
2021-05-19,8,2
2021-05-20,8,2
2021-05-21,7,3
2021-05-22,8,2
2021-05-23,8,2
2021-05-24,10,0
2021-05-25,10,0
2021-05-26,9,1
2021-05-27,10,0
2021-05-28,9,1
2021-05-29,7,3
2021-05-30,6,4
2021-05-31,6,4
2021-06-01,9,1
2021-06-02,9,1
2021-06-03,9,1
2021-06-04,8,2
2021-06-05,8,2
2021-06-06,7,3
2021-06-07,6,4
2021-06-08,5,5
2021-06-09,8,2
2021-06-10,10,0
2021-06-11,7,3
2021-06-12,8,2
2021-06-13,7,3
2021-06-14,6,4
2021-06-15,7,3
2021-06-16,10,0
2021-06-17,6,4
2021-06-18,8,2
2021-06-19,8,2
2021-06-20,5,5
2021-06-21,5,5
2021-06-22,6,4
2021-06-23,7,3
2021-06-24,7,3
2021-06-25,6,4
2021-06-26,9,1
2021-06-27,7,3
2021-06-28,8,2
2021-06-29,8,2
2021-06-30,9,1
2021-07-01,9,1
2021-07-02,7,3
2021-07-03,7,3
2021-07-04,7,3
2021-07-05,9,1
2021-07-06,9,1
2021-07-07,7,3
2021-07-08,7,3
2021-07-09,7,3
2021-07-10,10,0
2021-07-11,5,5
2021-07-12,8,2
2021-07-13,7,3
2021-07-14,6,4
2021-07-15,9,1
2021-07-16,9,1
2021-07-17,6,4
2021-07-18,6,4
2021-07-19,7,3
2021-07-20,10,0
2021-07-21,7,3
2021-07-22,6,4
2021-07-23,7,3
2021-07-24,7,3
2021-07-25,6,4
2021-07-26,5,5
2021-07-27,5,5
2021-07-28,8,2
2021-07-29,9,1
2021-07-30,7,3
2021-07-31,7,3
2021-08-01,6,4
2021-08-02,6,4
2021-08-03,5,5
2021-08-04,8,2
2021-08-05,5,5
2021-08-06,5,5
2021-08-07,6,4
2021-08-08,8,2
2021-08-09,6,4
2021-08-10,6,4
2021-08-11,5,5
2021-08-12,4,6
2021-08-13,10,0
2021-08-14,6,4
2021-08-15,7,3
2021-08-16,8,2
2021-08-17,6,4
2021-08-18,8,2
2021-08-19,8,2
2021-08-20,5,5
2021-08-21,7,3
2021-08-22,7,3
2021-08-23,9,1
2021-08-24,7,3
2021-08-25,7,3
2021-08-26,5,5
2021-08-27,7,3
2021-08-28,7,3
2021-08-29,5,5
2021-08-30,7,3
2021-08-31,6,4
2021-09-01,6,4
2021-09-02,9,1
2021-09-03,9,1
2021-09-04,9,1
2021-09-05,9,1
2021-09-06,10,0
2021-09-07,7,3
2021-09-08,7,3
2021-09-09,7,3
2021-09-10,10,0
2021-09-11,8,2
2021-09-12,8,2
2021-09-13,8,2
2021-09-14,9,1
2021-09-15,9,1
2021-09-16,10,0
2021-09-17,7,3
2021-09-18,6,4
2021-09-19,5,5
2021-09-20,5,5
2021-09-21,9,1
2021-09-22,8,2
2021-09-23,9,1
2021-09-24,8,2
2021-09-25,9,1
2021-09-26,7,3
2021-09-27,9,1
2021-09-28,10,0
2021-09-29,10,0
2021-09-30,8,2
2021-10-01,7,3
2021-10-02,8,2
2021-10-03,7,3
2021-10-04,9,1
2021-10-05,9,1
2021-10-06,10,0
2021-10-07,10,0
2021-10-08,10,0
2021-10-09,5,5
2021-10-10,7,3
2021-10-11,7,3
2021-10-12,7,3
2021-10-13,7,3
2021-10-14,4,6
2021-10-15,3,7
2021-10-16,4,6
2021-10-17,6,4
2021-10-18,6,4
2021-10-19,7,3
2021-10-20,8,2
2021-10-21,10,0
2021-10-22,10,0
2021-10-23,7,3
2021-10-24,9,1
2021-10-25,8,0
2021-10-26,10,0
2021-10-27,9,1
2021-10-28,8,2
2021-10-29,6,4
2021-10-30,9,1
2021-10-31,10,0
2021-11-01,8,2
2021-11-02,6,4
2021-11-03,6,4
2021-11-04,7,3
2021-11-05,5,5
2021-11-06,6,4
2021-11-07,5,5
2021-11-08,9,1
2021-11-09,10,0
2021-11-10,8,2
2021-11-11,7,3
2021-11-12,6,4
2021-11-13,8,2
2021-11-14,8,2
2021-11-15,10,0
2021-11-16,9,1
2021-11-17,10,0
2021-11-18,10,0
2021-11-19,10,0
2021-11-20,10,0
2021-11-21,8,2
2021-11-22,10,0
2021-11-23,10,0
2021-11-24,8,2
2021-11-25,9,1
2021-11-26,10,0
2021-11-27,10,0
2021-11-28,10,0
2021-11-29,10,0
2021-11-30,10,0
2021-12-01,10,0
2021-12-02,7,3
2021-12-03,7,3
2021-12-04,6,4
2021-12-05,9,1
2021-12-06,10,0
2021-12-07,10,0
2021-12-08,10,0
2021-12-09,7,3
2021-12-10,9,1
2021-12-11,7,3
2021-12-12,6,4
2021-12-13,10,0
2021-12-14,10,0
2021-12-15,10,0
2021-12-16,10,0
2021-12-17,10,0
2021-12-18,10,0
2021-12-19,7,3
2021-12-20,7,3
2021-12-21,7,3
2021-12-22,10,0
2021-12-23,7,3
2021-12-24,8,2
2021-12-25,9,1
2021-12-26,10,0
2021-12-27,10,0
2021-12-28,10,0
2021-12-29,10,0
2021-12-30,10,0
2021-12-31,10,0
2022-01-01,10,0
2022-01-02,10,0
2022-01-03,10,0
2022-01-04,10,0
2022-01-05,10,0
2022-01-06,10,0
2022-01-07,10,0
2022-01-08,9,1
2022-01-09,10,0
2022-01-10,10,0
2022-01-11,10,0
2022-01-12,8,2
2022-01-13,9,1
2022-01-14,5,5
2022-01-15,7,3
2022-01-16,9,1
2022-01-17,9,1
2022-01-18,7,3
2022-01-19,6,4
2022-01-20,4,6
2022-01-21,7,3
2022-01-22,5,5
2022-01-23,8,2
2022-01-24,8,2
2022-01-25,10,0
2022-01-26,9,1
2022-01-27,7,3
2022-01-28,7,3
2022-01-29,8,2
2022-01-30,8,2
2022-01-31,5,5
2022-02-01,8,2
2022-02-02,8,2
2022-02-03,9,1
2022-02-04,10,0
2022-02-05,6,4
2022-02-06,6,4
2022-02-07,7,3
2022-02-08,7,3
2022-02-09,7,3
