date,betten_belegt,betten_frei
2020-04-24,8,28
2020-04-25,6,10
2020-04-26,6,10
2020-04-27,7,9
2020-04-28,4,12
2020-04-29,8,8
2020-04-30,8,8
2020-05-01,6,10
2020-05-02,5,11
2020-05-03,8,8
2020-05-04,6,10
2020-05-05,6,10
2020-05-06,9,7
2020-05-07,7,9
2020-05-08,7,9
2020-05-09,7,9
2020-05-10,7,8
2020-05-11,5,11
2020-05-12,7,9
2020-05-13,6,10
2020-05-14,6,10
2020-05-15,6,10
2020-05-16,4,12
2020-05-17,9,7
2020-05-18,8,8
2020-05-19,7,9
2020-05-20,8,8
2020-05-21,6,10
2020-05-22,6,10
2020-05-23,9,8
2020-05-24,7,9
2020-05-25,7,9
2020-05-26,6,10
2020-05-27,8,8
2020-05-28,7,8
2020-05-29,4,12
2020-05-30,7,9
2020-05-31,9,8
2020-06-01,7,9
2020-06-02,9,8
2020-06-03,7,10
2020-06-04,8,8
2020-06-05,7,9
2020-06-06,8,8
2020-06-07,4,12
2020-06-08,4,12
2020-06-09,9,7
2020-06-10,9,7
2020-06-11,9,7
2020-06-12,6,10
2020-06-13,6,10
2020-06-14,8,8
2020-06-15,6,10
2020-06-16,8,8
2020-06-17,8,8
2020-06-18,8,8
2020-06-19,8,8
2020-06-20,7,9
2020-06-21,7,9
2020-06-22,7,9
2020-06-23,7,9
2020-06-24,5,11
2020-06-25,7,9
2020-06-26,5,11
2020-06-27,10,7
2020-06-28,7,9
2020-06-29,8,8
2020-06-30,9,7
2020-07-01,9,7
2020-07-02,8,8
2020-07-03,8,8
2020-07-04,3,13
2020-07-05,5,11
2020-07-06,7,10
2020-07-07,6,10
2020-07-08,9,8
2020-07-09,10,8
2020-07-10,9,8
2020-07-11,7,9
2020-07-12,7,9
2020-07-13,7,9
2020-07-14,7,9
2020-07-15,7,9
2020-07-16,8,8
2020-07-17,6,10
2020-07-18,6,10
2020-07-19,6,10
2020-07-20,8,8
2020-07-21,8,8
2020-07-22,6,10
2020-07-23,8,8
2020-07-24,8,8
2020-07-25,5,11
2020-07-26,7,9
2020-07-27,9,7
2020-07-28,8,8
2020-07-29,8,8
2020-07-30,8,8
2020-07-31,9,7
2020-08-01,4,12
2020-08-02,4,12
2020-08-03,5,11
2020-08-04,7,7
2020-08-05,5,9
2020-08-06,8,6
2020-08-07,9,5
2020-08-08,5,9
2020-08-09,5,9
2020-08-10,2,12
2020-08-11,8,3
2020-08-12,7,4
2020-08-13,9,2
2020-08-14,7,4
2020-08-15,4,7
2020-08-16,4,7
2020-08-17,3,8
2020-08-18,7,4
2020-08-19,7,4
2020-08-20,8,3
2020-08-21,6,5
2020-08-22,6,5
2020-08-23,5,6
2020-08-24,5,6
2020-08-25,5,6
2020-08-26,7,4
2020-08-27,2,9
2020-08-28,5,6
2020-08-29,5,6
2020-08-30,3,8
2020-08-31,2,9
2020-09-01,5,6
2020-09-02,7,4
2020-09-03,9,2
2020-09-04,6,5
2020-09-05,7,4
2020-09-06,6,5
2020-09-07,6,5
2020-09-08,5,6
2020-09-09,7,4
2020-09-10,4,7
2020-09-11,3,8
2020-09-12,7,4
2020-09-13,3,8
2020-09-14,5,6
2020-09-15,9,2
2020-09-16,8,3
2020-09-17,9,2
2020-09-18,10,2
2020-09-19,7,4
2020-09-20,7,4
2020-09-21,7,4
2020-09-22,7,4
2020-09-23,5,6
