date,betten_belegt,betten_frei
2020-04-24,10,7
2020-04-25,10,7
2020-04-26,11,6
2020-04-27,7,10
2020-04-28,10,7
2020-04-29,15,10
2020-04-30,17,8
2020-05-01,16,9
2020-05-02,13,12
2020-05-03,15,10
2020-05-04,15,10
2020-05-05,13,12
2020-05-06,13,12
2020-05-07,13,12
2020-05-08,13,12
2020-05-09,15,11
2020-05-10,16,8
2020-05-11,14,10
2020-05-12,12,11
2020-05-13,16,7
2020-05-14,16,7
2020-05-15,16,8
2020-05-16,14,9
2020-05-17,15,9
2020-05-18,15,10
2020-05-19,19,6
2020-05-20,18,7
2020-05-21,17,8
2020-05-22,19,6
2020-05-23,19,6
2020-05-24,20,5
2020-05-25,18,6
2020-05-26,15,10
2020-05-27,18,7
2020-05-28,16,9
2020-05-29,11,14
2020-05-30,17,8
2020-05-31,18,7
2020-06-01,15,9
2020-06-02,15,10
2020-06-03,17,6
2020-06-04,14,9
2020-06-05,13,10
2020-06-06,14,10
2020-06-07,10,13
2020-06-08,11,14
2020-06-09,14,10
2020-06-10,11,14
2020-06-11,11,14
2020-06-12,12,12
2020-06-13,17,7
2020-06-14,11,10
2020-06-15,8,12
2020-06-16,10,11
2020-06-17,10,11
2020-06-18,11,10
2020-06-19,11,10
2020-06-20,11,10
2020-06-21,11,9
2020-06-22,10,11
2020-06-23,15,6
2020-06-24,11,9
2020-06-25,10,10
2020-06-26,9,12
2020-06-27,7,14
2020-06-28,9,11
2020-06-29,11,10
2020-06-30,9,11
2020-07-01,16,8
2020-07-02,21,4
2020-07-03,12,7
2020-07-04,11,9
2020-07-05,11,9
2020-07-06,12,8
2020-07-07,13,7
2020-07-08,13,7
2020-07-09,11,10
2020-07-10,14,7
2020-07-11,13,7
2020-07-12,12,11
2020-07-13,12,9
2020-07-14,15,6
2020-07-15,17,4
2020-07-16,15,7
2020-07-17,13,6
2020-07-18,12,7
2020-07-19,11,10
2020-07-20,12,9
2020-07-21,11,9
2020-07-22,11,7
2020-07-23,13,8
2020-07-24,10,11
2020-07-25,8,13
2020-07-26,9,11
2020-07-27,12,9
2020-07-28,13,9
2020-07-29,13,8
2020-07-30,15,6
2020-07-31,14,7
2020-08-01,14,7
2020-08-02,12,9
2020-08-03,12,9
2020-08-04,9,7
2020-08-05,9,7
2020-08-06,13,3
2020-08-07,12,4
2020-08-08,9,7
2020-08-09,9,7
2020-08-10,12,4
2020-08-11,15,1
2020-08-12,14,0
2020-08-13,14,0
2020-08-14,12,2
2020-08-15,12,2
2020-08-16,12,2
2020-08-17,11,3
2020-08-18,13,1
2020-08-19,12,2
2020-08-20,11,3
2020-08-21,9,5
2020-08-22,11,3
2020-08-23,11,3
2020-08-24,6,7
2020-08-25,8,5
2020-08-26,7,6
2020-08-27,9,5
2020-08-28,8,6
2020-08-29,13,1
2020-08-30,12,2
2020-08-31,10,4
2020-09-01,11,3
2020-09-02,11,3
2020-09-03,13,1
2020-09-04,9,5
2020-09-05,7,7
2020-09-06,6,8
2020-09-07,7,7
2020-09-08,9,5
2020-09-09,10,4
2020-09-10,7,7
2020-09-11,9,5
2020-09-12,8,6
2020-09-13,8,6
2020-09-14,10,4
2020-09-15,9,5
2020-09-16,10,4
2020-09-17,13,1
2020-09-18,11,3
2020-09-19,11,3
2020-09-20,11,3
2020-09-21,7,7
2020-09-22,7,7
2020-09-23,6,8
2020-09-24,10,4
2020-09-25,12,2
2020-09-26,10,4
2020-09-27,10,4
2020-09-28,7,7
2020-09-29,3,11
2020-09-30,12,0
2020-10-01,10,5
2020-10-02,8,7
2020-10-03,12,2
2020-10-04,9,5
2020-10-05,10,4
2020-10-06,11,3
2020-10-07,13,1
2020-10-08,10,4
2020-10-09,10,4
2020-10-10,11,3
2020-10-11,11,1
2020-10-12,10,4
2020-10-13,11,3
2020-10-14,7,7
2020-10-15,8,6
2020-10-16,8,6
2020-10-17,10,4
2020-10-18,7,7
2020-10-19,5,9
2020-10-20,6,8
2020-10-21,8,6
2020-10-22,8,6
2020-10-23,11,3
2020-10-24,8,6
2020-10-25,8,6
2020-10-26,11,3
2020-10-27,10,4
2020-10-28,9,5
2020-10-29,9,5
2020-10-30,8,6
2020-10-31,8,6
2020-11-01,10,4
2020-11-02,9,5
2020-11-03,10,4
2020-11-04,10,4
2020-11-05,8,6
2020-11-06,9,5
2020-11-07,9,5
2020-11-08,10,4
2020-11-09,11,3
2020-11-10,11,3
2020-11-11,11,3
2020-11-12,12,2
2020-11-13,10,4
2020-11-14,8,6
2020-11-15,9,5
2020-11-16,9,5
2020-11-17,9,5
2020-11-18,12,2
2020-11-19,12,2
2020-11-20,11,3
2020-11-21,13,1
2020-11-22,14,0
2020-11-23,13,1
2020-11-24,14,0
2020-11-25,12,2
2020-11-26,13,1
2020-11-27,14,0
2020-11-28,10,4
2020-11-29,12,2
2020-11-30,12,2
2020-12-01,13,1
2020-12-02,12,2
2020-12-03,14,0
2020-12-04,10,4
2020-12-05,11,3
2020-12-06,11,3
2020-12-07,7,7
2020-12-08,11,3
2020-12-09,11,3
2020-12-10,9,5
2020-12-11,12,0
2020-12-12,12,0
2020-12-13,12,0
2020-12-14,10,4
2020-12-15,10,4
2020-12-16,9,5
2020-12-17,10,4
2020-12-18,9,3
2020-12-19,9,3
2020-12-20,9,3
2020-12-21,8,3
2020-12-22,11,0
2020-12-23,11,0
2020-12-24,11,0
2020-12-25,11,0
2020-12-26,10,1
2020-12-27,10,2
2020-12-28,11,1
2020-12-29,12,0
2020-12-30,10,2
2020-12-31,10,2
2021-01-01,10,2
2021-01-02,10,2
2021-01-03,9,3
2021-01-04,11,0
2021-01-05,11,0
2021-01-06,11,0
2021-01-07,11,1
2021-01-08,10,2
2021-01-09,10,2
2021-01-10,11,1
2021-01-11,14,0
2021-01-12,13,1
2021-01-13,14,0
2021-01-14,14,0
2021-01-15,12,2
2021-01-16,11,3
2021-01-17,8,6
2021-01-18,13,1
2021-01-19,13,1
2021-01-20,14,0
2021-01-21,14,0
2021-01-22,12,2
2021-01-23,13,1
2021-01-24,13,1
2021-01-25,13,1
2021-01-26,13,1
2021-01-27,13,1
2021-01-28,12,2
2021-01-29,13,1
2021-01-30,12,2
2021-01-31,8,3
2021-02-01,9,2
2021-02-02,12,2
2021-02-03,12,2
2021-02-04,12,2
2021-02-05,12,2
2021-02-06,11,3
2021-02-07,11,3
2021-02-08,10,4
2021-02-09,10,4
2021-02-10,10,4
2021-02-11,12,2
2021-02-12,12,2
2021-02-13,11,3
2021-02-14,11,3
2021-02-15,10,4
2021-02-16,9,5
2021-02-17,11,3
2021-02-18,10,4
2021-02-19,12,2
2021-02-20,12,2
2021-02-21,10,4
2021-02-22,9,5
2021-02-23,14,0
2021-02-24,13,1
2021-02-25,14,0
2021-02-26,13,1
2021-02-27,11,3
2021-02-28,11,3
2021-03-01,10,4
2021-03-02,10,4
2021-03-03,8,6
2021-03-04,12,2
2021-03-05,12,2
2021-03-06,11,3
2021-03-07,12,2
2021-03-08,13,1
2021-03-09,13,1
2021-03-10,13,1
2021-03-11,12,2
2021-03-12,11,3
2021-03-13,10,4
2021-03-14,10,4
2021-03-15,11,3
2021-03-16,9,5
2021-03-17,11,3
2021-03-18,10,3
2021-03-19,8,6
2021-03-20,10,4
2021-03-21,9,5
2021-03-22,13,1
2021-03-23,13,1
2021-03-24,12,2
2021-03-25,12,2
2021-03-26,13,1
2021-03-27,10,4
2021-03-28,11,3
2021-03-29,12,2
2021-03-30,12,2
2021-03-31,11,3
2021-04-01,10,4
