date,betten_belegt,betten_frei
2020-04-24,16,10
2020-04-25,17,9
2020-04-26,17,9
2020-04-27,18,8
2020-04-28,18,8
2020-04-29,16,10
2020-04-30,18,8
2020-05-01,17,9
2020-05-02,18,8
2020-05-03,18,8
2020-05-04,15,11
2020-05-05,16,10
2020-05-06,17,9
2020-05-07,20,6
2020-05-08,19,7
2020-05-09,10,12
2020-05-10,11,11
2020-05-11,15,7
2020-05-12,16,6
2020-05-13,15,7
2020-05-14,15,7
2020-05-15,16,6
2020-05-16,15,7
2020-05-17,16,6
2020-05-18,13,9
2020-05-19,16,6
2020-05-20,15,7
2020-05-21,17,5
2020-05-22,15,7
2020-05-23,14,8
2020-05-24,11,11
2020-05-25,12,10
2020-05-26,9,13
2020-05-27,15,7
2020-05-28,13,9
2020-05-29,13,9
2020-05-30,14,8
2020-05-31,13,9
2020-06-01,12,10
2020-06-02,13,9
2020-06-03,13,9
2020-06-04,14,8
2020-06-05,9,13
2020-06-06,10,12
2020-06-07,12,10
2020-06-08,13,9
2020-06-09,12,10
2020-06-10,12,10
2020-06-11,14,8
2020-06-12,15,7
2020-06-13,12,10
2020-06-14,12,10
2020-06-15,15,7
2020-06-16,14,8
2020-06-17,13,9
2020-06-18,17,5
2020-06-19,15,7
2020-06-20,17,5
2020-06-21,19,3
2020-06-22,15,7
2020-06-23,17,5
2020-06-24,18,4
2020-06-25,18,4
2020-06-26,16,6
2020-06-27,16,6
2020-06-28,18,4
2020-06-29,18,4
2020-06-30,16,6
2020-07-01,16,6
2020-07-02,18,4
2020-07-03,15,7
2020-07-04,15,7
2020-07-05,14,8
2020-07-06,16,6
2020-07-07,18,4
2020-07-08,18,4
2020-07-09,16,6
2020-07-10,19,3
2020-07-11,15,7
2020-07-12,15,7
2020-07-13,17,5
2020-07-14,13,8
2020-07-15,14,8
2020-07-16,16,6
2020-07-17,14,8
2020-07-18,12,10
2020-07-19,10,12
2020-07-20,13,9
2020-07-21,14,8
2020-07-22,18,4
2020-07-23,17,5
2020-07-24,16,6
2020-07-25,16,6
2020-07-26,15,7
2020-07-27,16,6
2020-07-28,16,6
2020-07-29,15,7
2020-07-30,15,7
2020-07-31,15,7
2020-08-01,14,8
2020-08-02,14,8
2020-08-03,14,8
2020-08-04,11,16
2020-08-05,14,13
2020-08-06,14,13
2020-08-07,15,12
2020-08-08,14,13
2020-08-09,13,14
2020-08-10,17,10
2020-08-11,16,11
2020-08-12,12,15
2020-08-13,16,11
2020-08-14,13,14
2020-08-15,13,14
2020-08-16,11,16
2020-08-17,11,16
2020-08-18,14,13
2020-08-19,16,11
2020-08-20,16,11
2020-08-21,19,8
2020-08-22,16,11
2020-08-23,16,11
2020-08-24,17,10
2020-08-25,16,11
2020-08-26,16,11
2020-08-27,14,13
2020-08-28,15,12
2020-08-29,16,11
2020-08-30,15,12
2020-08-31,15,12
2020-09-01,15,12
2020-09-02,15,12
2020-09-03,15,12
2020-09-04,10,17
2020-09-05,10,17
2020-09-06,13,14
2020-09-07,14,13
2020-09-08,14,13
2020-09-09,19,8
2020-09-10,15,12
2020-09-11,14,13
2020-09-12,14,13
2020-09-13,15,12
2020-09-14,17,10
2020-09-15,16,11
2020-09-16,17,10
2020-09-17,16,11
2020-09-18,15,12
2020-09-19,13,14
2020-09-20,12,15
2020-09-21,13,14
2020-09-22,16,11
2020-09-23,16,11
2020-09-24,15,12
2020-09-25,17,10
2020-09-26,16,11
2020-09-27,14,13
2020-09-28,15,12
2020-09-29,16,11
2020-09-30,14,13
2020-10-01,11,16
2020-10-02,11,16
2020-10-03,12,15
2020-10-04,14,13
2020-10-05,11,16
2020-10-06,10,17
2020-10-07,15,12
2020-10-08,17,10
2020-10-09,17,10
2020-10-10,17,10
2020-10-11,15,12
2020-10-12,16,11
2020-10-13,16,11
2020-10-14,15,12
2020-10-15,12,15
2020-10-16,14,13
2020-10-17,14,13
2020-10-18,14,13
2020-10-19,11,16
2020-10-20,11,16
2020-10-21,16,11
2020-10-22,16,11
2020-10-23,16,11
2020-10-24,14,13
2020-10-25,15,12
2020-10-26,11,16
2020-10-27,13,14
2020-10-28,15,12
2020-10-29,18,9
2020-10-30,20,7
2020-10-31,20,7
2020-11-01,15,12
2020-11-02,17,10
2020-11-03,15,12
2020-11-04,15,12
2020-11-05,14,13
2020-11-06,14,13
2020-11-07,15,12
2020-11-08,15,12
2020-11-09,18,9
2020-11-10,18,9
2020-11-11,13,14
2020-11-12,13,14
2020-11-13,16,11
2020-11-14,16,11
2020-11-15,16,11
2020-11-16,14,13
2020-11-17,15,12
2020-11-18,13,9
2020-11-19,14,8
2020-11-20,15,7
2020-11-21,17,5
2020-11-22,17,5
2020-11-23,15,7
2020-11-24,17,5
2020-11-25,16,6
2020-11-26,16,6
2020-11-27,19,3
2020-11-28,18,4
2020-11-29,17,5
2020-11-30,21,1
2020-12-01,19,3
2020-12-02,17,5
2020-12-03,18,4
2020-12-04,16,6
2020-12-05,16,6
2020-12-06,18,4
2020-12-07,18,4
2020-12-08,18,4
2020-12-09,18,4
2020-12-10,17,5
2020-12-11,16,6
2020-12-12,19,3
2020-12-13,18,4
2020-12-14,17,5
2020-12-15,19,3
2020-12-16,20,2
2020-12-17,19,3
2020-12-18,17,5
2020-12-19,16,6
2020-12-20,19,3
2020-12-21,19,3
2020-12-22,21,1
2020-12-23,18,4
2020-12-24,18,4
2020-12-25,19,3
2020-12-26,17,5
2020-12-27,18,4
2020-12-28,18,4
2020-12-29,18,4
2020-12-30,17,5
2020-12-31,17,5
2021-01-01,16,6
2021-01-02,18,4
2021-01-03,17,5
2021-01-04,17,5
2021-01-05,16,6
2021-01-06,18,4
2021-01-07,15,7
2021-01-08,16,6
2021-01-09,17,5
2021-01-10,18,4
2021-01-11,16,6
2021-01-12,15,7
2021-01-13,17,5
2021-01-14,15,7
2021-01-15,17,5
2021-01-16,13,9
2021-01-17,10,12
2021-01-18,16,6
2021-01-19,17,5
2021-01-20,17,5
2021-01-21,16,6
2021-01-22,18,4
2021-01-23,18,4
2021-01-24,20,2
2021-01-25,18,4
2021-01-26,18,4
2021-01-27,16,6
2021-01-28,18,4
2021-01-29,17,5
2021-01-30,16,6
2021-01-31,18,4
2021-02-01,17,5
2021-02-02,18,4
2021-02-03,17,5
2021-02-04,17,5
2021-02-05,19,3
2021-02-06,17,5
2021-02-07,19,3
2021-02-08,20,2
2021-02-09,16,6
2021-02-10,19,3
2021-02-11,14,8
2021-02-12,18,4
2021-02-13,17,5
2021-02-14,17,5
2021-02-15,15,7
2021-02-16,16,6
2021-02-17,15,7
2021-02-18,17,5
2021-02-19,18,4
2021-02-20,18,4
2021-02-21,17,5
2021-02-22,19,3
2021-02-23,16,6
2021-02-24,16,6
2021-02-25,19,3
2021-02-26,18,4
2021-02-27,17,5
2021-02-28,16,6
2021-03-01,19,3
2021-03-02,18,4
2021-03-03,17,5
2021-03-04,18,4
2021-03-05,17,5
2021-03-06,17,5
2021-03-07,17,5
2021-03-08,17,5
2021-03-09,17,5
2021-03-10,17,5
2021-03-11,16,6
2021-03-12,17,5
2021-03-13,17,5
2021-03-14,16,6
2021-03-15,18,4
2021-03-16,17,5
2021-03-17,21,1
2021-03-18,19,3
2021-03-19,18,4
2021-03-20,17,5
2021-03-21,19,3
2021-03-22,16,6
2021-03-23,17,5
2021-03-24,16,6
2021-03-25,17,5
2021-03-26,17,5
2021-03-27,16,6
2021-03-28,16,6
2021-03-29,15,7
2021-03-30,18,4
2021-03-31,19,3
2021-04-01,19,3
2021-04-02,16,6
2021-04-03,17,5
2021-04-04,20,2
2021-04-05,19,3
2021-04-06,17,5
2021-04-07,17,5
2021-04-08,19,3
2021-04-09,20,2
2021-04-10,19,3
2021-04-11,19,3
2021-04-12,18,4
2021-04-13,19,3
2021-04-14,17,5
2021-04-15,16,6
2021-04-16,16,6
2021-04-17,18,4
2021-04-18,19,3
2021-04-19,17,5
2021-04-20,16,6
2021-04-21,16,6
2021-04-22,16,6
2021-04-23,17,5
2021-04-24,17,5
2021-04-25,17,5
2021-04-26,16,6
2021-04-27,16,6
2021-04-28,14,8
2021-04-29,16,6
2021-04-30,14,8
2021-05-01,17,5
2021-05-02,14,8
2021-05-03,13,9
2021-05-04,18,4
2021-05-05,18,4
2021-05-06,16,6
2021-05-07,15,7
2021-05-08,14,8
2021-05-09,14,8
2021-05-10,14,8
2021-05-11,14,8
2021-05-12,16,6
2021-05-13,20,2
2021-05-14,19,3
2021-05-15,19,3
2021-05-16,18,4
2021-05-17,17,5
2021-05-18,18,4
2021-05-19,18,4
2021-05-20,18,4
2021-05-21,19,3
2021-05-22,18,4
2021-05-23,18,4
2021-05-24,18,4
2021-05-25,19,3
2021-05-26,18,4
2021-05-27,18,4
2021-05-28,18,4
2021-05-29,17,5
2021-05-30,18,4
2021-05-31,17,5
2021-06-01,16,6
2021-06-02,19,3
2021-06-03,19,3
2021-06-04,16,6
2021-06-05,16,6
2021-06-06,16,6
2021-06-07,17,5
2021-06-08,14,8
2021-06-09,17,5
2021-06-10,17,5
2021-06-11,17,5
2021-06-12,17,5
2021-06-13,16,6
2021-06-14,16,6
