date,betten_belegt,betten_frei
2020-04-24,2,16
2020-04-25,3,19
2020-04-26,5,17
2020-04-27,4,13
2020-04-28,6,16
2020-04-29,9,13
2020-04-30,10,12
2020-05-01,7,15
2020-05-02,9,13
2020-05-03,5,17
2020-05-04,4,18
2020-05-05,7,17
2020-05-06,6,15
2020-05-07,6,16
2020-05-08,6,14
2020-05-09,6,16
2020-05-10,8,16
2020-05-11,5,15
2020-05-12,4,15
2020-05-13,4,14
2020-05-14,6,13
2020-05-15,5,15
2020-05-16,6,13
2020-05-17,5,15
2020-05-18,6,13
2020-05-19,7,12
2020-05-20,5,17
2020-05-21,12,12
2020-05-22,7,13
2020-05-23,11,13
2020-05-24,7,14
2020-05-25,11,13
2020-05-26,12,12
2020-05-27,14,10
2020-05-28,11,13
2020-05-29,10,14
2020-05-30,10,14
2020-05-31,12,12
2020-06-01,12,12
2020-06-02,11,13
2020-06-03,6,9
2020-06-04,4,11
2020-06-05,7,8
2020-06-06,7,8
2020-06-07,7,8
2020-06-08,6,9
2020-06-09,7,8
2020-06-10,7,8
2020-06-11,7,8
2020-06-12,5,10
2020-06-13,4,11
2020-06-14,4,11
2020-06-15,3,12
2020-06-16,4,11
2020-06-17,4,11
2020-06-18,4,11
2020-06-19,4,11
2020-06-20,4,11
2020-06-21,5,10
2020-06-22,6,9
2020-06-23,7,8
2020-06-24,6,9
2020-06-25,7,8
2020-06-26,14,10
2020-06-27,15,9
2020-06-28,15,11
2020-06-29,14,10
2020-06-30,13,11
2020-07-01,12,12
2020-07-02,15,9
2020-07-03,14,10
2020-07-04,11,13
2020-07-05,11,13
2020-07-06,12,12
2020-07-07,12,12
2020-07-08,13,11
2020-07-09,10,14
2020-07-10,12,12
2020-07-11,10,14
2020-07-12,13,11
2020-07-13,11,13
2020-07-14,13,11
2020-07-15,13,11
2020-07-16,13,11
2020-07-17,16,8
2020-07-18,11,13
2020-07-19,15,9
2020-07-20,13,11
2020-07-21,12,12
2020-07-22,10,14
2020-07-23,11,13
2020-07-24,11,9
2020-07-25,11,13
2020-07-26,11,13
2020-07-27,14,10
2020-07-28,14,10
2020-07-29,14,11
2020-07-30,12,12
2020-07-31,15,9
2020-08-01,13,11
2020-08-02,13,9
2020-08-03,15,9
2020-08-04,18,11
2020-08-05,20,9
2020-08-06,17,12
2020-08-07,18,11
2020-08-08,18,11
2020-08-09,17,12
2020-08-10,17,12
2020-08-11,16,13
2020-08-12,17,12
2020-08-13,16,13
2020-08-14,15,14
2020-08-15,13,16
2020-08-16,13,16
2020-08-17,14,15
2020-08-18,16,13
2020-08-19,17,12
2020-08-20,18,11
2020-08-21,17,12
2020-08-22,16,13
2020-08-23,15,14
2020-08-24,16,13
2020-08-25,14,15
2020-08-26,13,16
2020-08-27,13,16
2020-08-28,14,15
2020-08-29,14,15
2020-08-30,14,15
2020-08-31,12,17
2020-09-01,16,13
2020-09-02,13,16
2020-09-03,14,15
2020-09-04,15,14
2020-09-05,17,12
2020-09-06,16,13
2020-09-07,14,15
2020-09-08,15,14
2020-09-09,13,16
2020-09-10,12,17
2020-09-11,13,16
2020-09-12,12,17
2020-09-13,14,15
2020-09-14,13,16
2020-09-15,16,13
2020-09-16,14,15
2020-09-17,13,16
2020-09-18,12,17
2020-09-19,11,8
2020-09-20,10,9
2020-09-21,11,18
2020-09-22,16,13
2020-09-23,11,18
2020-09-24,9,20
2020-09-25,9,20
2020-09-26,13,16
2020-09-27,12,17
2020-09-28,12,17
2020-09-29,15,14
2020-09-30,12,17
2020-10-01,12,17
2020-10-02,15,14
2020-10-03,14,15
2020-10-04,13,16
2020-10-05,13,16
2020-10-06,14,15
2020-10-07,16,13
2020-10-08,16,13
2020-10-09,16,13
2020-10-10,11,18
2020-10-11,14,15
2020-10-12,16,13
2020-10-13,15,14
2020-10-14,16,13
2020-10-15,16,13
2020-10-16,16,13
2020-10-17,17,12
2020-10-18,14,13
2020-10-19,16,13
2020-10-20,14,15
2020-10-21,15,14
2020-10-22,17,12
2020-10-23,18,11
2020-10-24,16,13
2020-10-25,16,13
2020-10-26,20,9
2020-10-27,16,13
2020-10-28,18,11
2020-10-29,17,12
2020-10-30,16,13
2020-10-31,15,14
2020-11-01,18,11
2020-11-02,18,11
2020-11-03,19,10
2020-11-04,13,16
2020-11-05,17,12
2020-11-06,15,14
2020-11-07,14,14
2020-11-08,13,14
2020-11-09,12,15
2020-11-10,11,18
2020-11-11,13,16
2020-11-12,15,14
2020-11-13,14,15
2020-11-14,15,14
2020-11-15,13,14
2020-11-16,15,14
2020-11-17,14,15
2020-11-18,15,14
2020-11-19,17,12
2020-11-20,15,14
2020-11-21,15,14
2020-11-22,14,13
2020-11-23,14,12
2020-11-24,10,18
2020-11-25,11,17
2020-11-26,11,17
2020-11-27,11,17
2020-11-28,9,20
2020-11-29,16,12
2020-11-30,16,13
2020-12-01,17,11
2020-12-02,16,12
2020-12-03,14,14
2020-12-04,11,18
2020-12-05,13,7
2020-12-06,11,6
2020-12-07,18,4
2020-12-08,17,5
2020-12-09,21,4
2020-12-10,18,8
2020-12-11,15,5
2020-12-12,13,9
2020-12-13,13,7
2020-12-14,14,9
2020-12-15,15,6
2020-12-16,15,6
2020-12-17,16,6
2020-12-18,17,6
2020-12-19,19,5
2020-12-20,14,10
2020-12-21,14,8
2020-12-22,15,11
2020-12-23,17,9
2020-12-24,14,12
2020-12-25,16,9
2020-12-26,17,8
2020-12-27,15,10
2020-12-28,16,9
2020-12-29,16,9
2020-12-30,18,7
2020-12-31,12,9
2021-01-01,16,9
2021-01-02,14,11
2021-01-03,14,11
2021-01-04,15,10
2021-01-05,14,11
2021-01-06,15,10
2021-01-07,15,10
2021-01-08,22,6
2021-01-09,16,10
2021-01-10,10,16
2021-01-11,15,11
2021-01-12,16,9
2021-01-13,18,7
2021-01-14,17,8
2021-01-15,16,9
2021-01-16,14,11
2021-01-17,13,12
2021-01-18,14,11
2021-01-19,17,9
2021-01-20,15,11
2021-01-21,11,15
2021-01-22,14,12
2021-01-23,11,15
2021-01-24,11,15
2021-01-25,10,16
2021-01-26,12,14
2021-01-27,13,13
2021-01-28,14,11
2021-01-29,14,11
2021-01-30,15,10
2021-01-31,16,9
2021-02-01,16,9
2021-02-02,16,9
2021-02-03,16,9
2021-02-04,15,10
2021-02-05,17,8
2021-02-06,18,7
2021-02-07,16,9
2021-02-08,14,11
2021-02-09,14,11
2021-02-10,15,10
2021-02-11,18,7
2021-02-12,17,8
2021-02-13,18,7
2021-02-14,18,7
2021-02-15,17,8
2021-02-16,13,12
2021-02-17,18,7
2021-02-18,15,11
2021-02-19,15,10
2021-02-20,13,12
2021-02-21,14,8
2021-02-22,16,7
2021-02-23,13,12
2021-02-24,16,9
2021-02-25,16,12
2021-02-26,15,13
2021-02-27,12,16
2021-02-28,14,14
2021-03-01,14,14
2021-03-02,10,18
2021-03-03,13,15
2021-03-04,12,16
2021-03-05,14,15
2021-03-06,16,13
2021-03-07,15,14
2021-03-08,13,16
2021-03-09,13,16
2021-03-10,15,14
2021-03-11,14,15
2021-03-12,15,13
2021-03-13,15,13
2021-03-14,15,13
2021-03-15,17,11
2021-03-16,16,12
2021-03-17,15,13
2021-03-18,15,14
2021-03-19,13,16
2021-03-20,14,15
2021-03-21,14,14
2021-03-22,15,13
2021-03-23,15,14
2021-03-24,10,19
2021-03-25,6,23
2021-03-26,12,17
2021-03-27,13,16
2021-03-28,12,17
2021-03-29,17,12
2021-03-30,12,17
2021-03-31,15,14
2021-04-01,18,11
2021-04-02,15,14
2021-04-03,14,14
2021-04-04,12,16
2021-04-05,16,12
2021-04-06,15,13
2021-04-07,19,9
2021-04-08,16,12
2021-04-09,15,13
2021-04-10,15,13
2021-04-11,15,13
2021-04-12,12,16
2021-04-13,18,10
2021-04-14,17,11
2021-04-15,18,10
2021-04-16,18,10
2021-04-17,18,10
2021-04-18,18,10
2021-04-19,19,9
2021-04-20,15,13
2021-04-21,21,7
2021-04-22,22,6
2021-04-23,20,8
2021-04-24,19,9
2021-04-25,18,10
2021-04-26,20,8
2021-04-27,18,10
2021-04-28,18,8
2021-04-29,20,8
2021-04-30,18,10
2021-05-01,17,11
2021-05-02,18,10
2021-05-03,20,8
2021-05-04,20,8
2021-05-05,19,6
2021-05-06,16,9
2021-05-07,18,7
2021-05-08,16,9
2021-05-09,13,12
2021-05-10,15,13
2021-05-11,16,11
2021-05-12,19,8
2021-05-13,15,11
2021-05-14,16,10
2021-05-15,16,9
2021-05-16,17,10
2021-05-17,18,9
2021-05-18,16,13
2021-05-19,18,11
2021-05-20,15,14
2021-05-21,15,13
2021-05-22,17,11
2021-05-23,19,9
2021-05-24,20,8
2021-05-25,19,9
2021-05-26,17,11
2021-05-27,18,10
2021-05-28,16,10
2021-05-29,14,12
2021-05-30,15,11
2021-05-31,15,13
2021-06-01,17,9
2021-06-02,14,12
2021-06-03,13,13
2021-06-04,15,11
2021-06-05,16,10
2021-06-06,15,11
2021-06-07,16,10
2021-06-08,16,11
2021-06-09,16,12
2021-06-10,15,13
2021-06-11,17,11
2021-06-12,16,12
2021-06-13,15,13
2021-06-14,12,16
2021-06-15,12,17
2021-06-16,15,14
2021-06-17,13,16
2021-06-18,16,13
2021-06-19,18,10
2021-06-20,17,10
2021-06-21,16,13
2021-06-22,12,15
2021-06-23,14,15
2021-06-24,14,15
2021-06-25,15,14
2021-06-26,17,10
2021-06-27,17,10
2021-06-28,13,16
2021-06-29,15,14
2021-06-30,14,14
2021-07-01,13,14
2021-07-02,10,16
2021-07-03,11,15
2021-07-04,9,17
2021-07-05,12,14
2021-07-06,15,12
2021-07-07,16,11
2021-07-08,17,10
2021-07-09,15,12
2021-07-10,14,13
2021-07-11,14,13
2021-07-12,15,14
2021-07-13,14,15
2021-07-14,18,11
2021-07-15,19,10
2021-07-16,18,9
2021-07-17,18,9
2021-07-18,17,10
2021-07-19,16,11
2021-07-20,16,11
2021-07-21,15,12
2021-07-22,13,14
2021-07-23,11,16
2021-07-24,12,15
2021-07-25,14,13
2021-07-26,16,11
2021-07-27,13,14
2021-07-28,14,14
2021-07-29,17,10
2021-07-30,14,13
2021-07-31,14,12
2021-08-01,15,11
2021-08-02,16,11
2021-08-03,16,11
2021-08-04,14,13
2021-08-05,15,12
2021-08-06,15,12
2021-08-07,14,14
2021-08-08,16,12
2021-08-09,18,10
2021-08-10,16,12
2021-08-11,19,8
2021-08-12,19,8
2021-08-13,18,10
2021-08-14,20,8
2021-08-15,15,13
2021-08-16,18,10
2021-08-17,22,6
2021-08-18,21,7
2021-08-19,19,9
2021-08-20,16,11
2021-08-21,20,7
2021-08-22,17,10
2021-08-23,17,9
2021-08-24,16,10
2021-08-25,18,10
2021-08-26,20,7
2021-08-27,17,10
2021-08-28,16,10
2021-08-29,16,10
2021-08-30,15,9
2021-08-31,16,6
2021-09-01,15,11
2021-09-02,14,12
2021-09-03,15,11
2021-09-04,16,9
2021-09-05,14,11
2021-09-06,14,12
2021-09-07,17,9
2021-09-08,17,10
2021-09-09,18,9
2021-09-10,16,8
2021-09-11,16,10
2021-09-12,17,9
2021-09-13,16,13
2021-09-14,16,13
2021-09-15,16,12
2021-09-16,16,10
2021-09-17,16,10
2021-09-18,17,7
2021-09-19,16,8
2021-09-20,18,8
2021-09-21,19,7
2021-09-22,15,9
2021-09-23,17,7
2021-09-24,17,7
2021-09-25,17,9
2021-09-26,20,6
2021-09-27,18,9
2021-09-28,18,9
2021-09-29,17,10
2021-09-30,18,9
2021-10-01,17,9
2021-10-02,17,7
2021-10-03,16,8
2021-10-04,17,7
2021-10-05,18,6
2021-10-06,18,6
2021-10-07,18,6
2021-10-08,17,7
2021-10-09,16,10
2021-10-10,17,9
2021-10-11,17,7
2021-10-12,16,7
2021-10-13,18,6
2021-10-14,19,7
2021-10-15,20,5
2021-10-16,17,6
2021-10-17,18,5
2021-10-18,17,5
2021-10-19,16,6
2021-10-20,15,9
2021-10-21,17,5
2021-10-22,16,6
2021-10-23,17,7
2021-10-24,16,8
2021-10-25,19,5
2021-10-26,18,6
2021-10-27,17,7
2021-10-28,17,7
2021-10-29,16,8
2021-10-30,18,6
2021-10-31,17,7
2021-11-01,17,7
2021-11-02,15,8
2021-11-03,17,7
2021-11-04,15,10
2021-11-05,16,8
2021-11-06,15,9
2021-11-07,16,9
2021-11-08,13,11
2021-11-09,17,7
2021-11-10,18,6
2021-11-11,17,6
2021-11-12,13,10
2021-11-13,10,14
2021-11-14,8,16
2021-11-15,15,10
2021-11-16,13,9
2021-11-17,18,2
2021-11-18,14,5
2021-11-19,16,3
2021-11-20,17,2
2021-11-21,16,4
2021-11-22,16,4
2021-11-23,14,5
2021-11-24,15,4
2021-11-25,15,4
2021-11-26,15,4
2021-11-27,13,7
2021-11-28,15,4
2021-11-29,15,5
2021-11-30,16,5
2021-12-01,15,5
2021-12-02,15,5
2021-12-03,14,5
2021-12-04,14,5
2021-12-05,14,5
2021-12-06,15,4
2021-12-07,16,5
2021-12-08,15,4
2021-12-09,15,4
2021-12-10,15,4
2021-12-11,14,5
2021-12-12,15,4
2021-12-13,15,4
2021-12-14,15,4
2021-12-15,15,4
2021-12-16,17,4
2021-12-17,14,6
2021-12-18,13,5
2021-12-19,13,5
2021-12-20,14,4
2021-12-21,17,2
2021-12-22,15,4
2021-12-23,12,7
2021-12-24,16,3
2021-12-25,15,4
2021-12-26,15,4
2021-12-27,13,6
2021-12-28,14,6
2021-12-29,15,5
2021-12-30,16,4
2021-12-31,15,6
2022-01-01,15,5
2022-01-02,16,4
2022-01-03,17,4
2022-01-04,14,7
2022-01-05,15,6
2022-01-06,14,7
2022-01-07,16,4
2022-01-08,16,4
2022-01-09,15,5
2022-01-10,14,7
2022-01-11,14,6
2022-01-12,13,8
2022-01-13,15,5
2022-01-14,13,8
2022-01-15,13,8
2022-01-16,11,9
