date,betten_belegt,betten_frei
2020-04-24,12,5
2020-04-25,8,9
2020-04-26,9,9
2020-04-27,7,10
2020-04-28,9,7
2020-04-29,9,8
2020-04-30,11,6
2020-05-01,12,3
2020-05-02,11,8
2020-05-03,12,7
2020-05-04,13,6
2020-05-05,13,6
2020-05-06,10,4
2020-05-07,11,3
2020-05-08,9,6
2020-05-09,7,10
2020-05-10,6,3
2020-05-11,7,2
2020-05-12,13,4
2020-05-13,12,5
2020-05-14,10,7
2020-05-15,9,8
2020-05-16,8,9
2020-05-17,9,9
2020-05-18,10,7
2020-05-19,8,9
2020-05-20,8,9
2020-05-21,11,6
2020-05-22,9,8
2020-05-23,10,7
2020-05-24,7,7
2020-05-25,10,5
2020-05-26,14,1
2020-05-27,15,0
2020-05-28,12,4
2020-05-29,14,1
2020-05-30,11,5
2020-05-31,11,5
2020-06-01,10,7
2020-06-02,11,4
2020-06-03,11,4
2020-06-04,10,7
2020-06-05,9,8
2020-06-06,10,7
2020-06-07,13,4
2020-06-08,15,2
2020-06-09,15,2
2020-06-10,13,4
2020-06-11,10,7
2020-06-12,12,5
2020-06-13,13,2
2020-06-14,11,6
2020-06-15,12,5
2020-06-16,12,5
2020-06-17,12,5
2020-06-18,12,5
2020-06-19,10,7
2020-06-20,11,6
2020-06-21,9,8
2020-06-22,12,3
2020-06-23,15,0
2020-06-24,12,5
2020-06-25,10,7
2020-06-26,14,1
2020-06-27,8,9
2020-06-28,9,8
2020-06-29,12,5
2020-06-30,11,6
2020-07-01,12,5
2020-07-02,12,5
2020-07-03,10,7
2020-07-04,10,7
2020-07-05,15,6
2020-07-06,14,5
2020-07-07,8,11
2020-07-08,8,9
2020-07-09,9,8
2020-07-10,12,5
2020-07-11,7,10
2020-07-12,5,12
2020-07-13,7,10
2020-07-14,7,10
2020-07-15,5,12
2020-07-16,5,12
2020-07-17,6,11
2020-07-18,12,5
2020-07-19,11,6
2020-07-20,10,6
2020-07-21,10,5
2020-07-22,8,7
2020-07-23,12,3
2020-07-24,7,10
2020-07-25,7,8
2020-07-26,6,9
2020-07-27,9,6
2020-07-28,10,5
2020-07-29,10,5
2020-07-30,9,6
2020-07-31,7,8
2020-08-01,9,7
2020-08-02,8,7
2020-08-03,8,7
2020-08-04,8,7
2020-08-05,5,10
2020-08-06,8,7
2020-08-07,8,7
2020-08-08,7,8
2020-08-09,6,9
2020-08-10,10,5
2020-08-11,9,6
2020-08-12,10,5
2020-08-13,10,5
2020-08-14,12,3
2020-08-15,10,5
2020-08-16,9,6
2020-08-17,8,7
2020-08-18,7,8
2020-08-19,10,5
2020-08-20,9,6
2020-08-21,10,5
2020-08-22,9,6
2020-08-23,9,6
2020-08-24,9,6
2020-08-25,14,1
2020-08-26,14,1
2020-08-27,12,3
2020-08-28,13,2
2020-08-29,12,3
2020-08-30,13,2
2020-08-31,12,3
2020-09-01,13,2
2020-09-02,12,3
2020-09-03,12,3
2020-09-04,9,6
2020-09-05,9,6
2020-09-06,5,10
2020-09-07,5,10
2020-09-08,6,9
2020-09-09,5,10
2020-09-10,15,0
2020-09-11,15,0
2020-09-12,13,2
2020-09-13,13,2
2020-09-14,12,3
2020-09-15,15,0
2020-09-16,15,0
2020-09-17,15,0
2020-09-18,8,7
2020-09-19,8,7
2020-09-20,10,5
2020-09-21,14,1
2020-09-22,13,2
2020-09-23,15,0
2020-09-24,13,2
2020-09-25,13,2
2020-09-26,13,2
2020-09-27,11,4
2020-09-28,11,4
2020-09-29,10,5
2020-09-30,9,6
2020-10-01,10,5
2020-10-02,9,6
2020-10-03,12,3
2020-10-04,12,3
2020-10-05,13,2
2020-10-06,14,1
2020-10-07,14,1
2020-10-08,14,1
2020-10-09,14,1
2020-10-10,14,1
2020-10-11,14,1
2020-10-12,14,1
2020-10-13,9,6
2020-10-14,9,6
2020-10-15,8,7
2020-10-16,8,7
2020-10-17,9,6
2020-10-18,8,7
2020-10-19,8,7
2020-10-20,8,7
2020-10-21,8,7
2020-10-22,10,5
2020-10-23,11,4
2020-10-24,11,4
2020-10-25,11,4
2020-10-26,13,2
2020-10-27,13,2
2020-10-28,12,3
2020-10-29,14,1
2020-10-30,10,5
2020-10-31,9,6
2020-11-01,13,2
2020-11-02,12,3
2020-11-03,11,4
2020-11-04,8,7
2020-11-05,11,4
2020-11-06,11,4
2020-11-07,12,3
2020-11-08,9,6
2020-11-09,7,8
2020-11-10,8,7
2020-11-11,8,7
2020-11-12,12,3
2020-11-13,11,4
2020-11-14,12,3
2020-11-15,12,3
2020-11-16,11,4
2020-11-17,13,2
2020-11-18,11,4
2020-11-19,12,3
2020-11-20,12,3
2020-11-21,13,2
2020-11-22,14,1
2020-11-23,13,2
2020-11-24,15,0
2020-11-25,15,0
2020-11-26,14,1
2020-11-27,14,1
2020-11-28,12,2
2020-11-29,9,5
2020-11-30,9,5
2020-12-01,11,3
2020-12-02,10,4
2020-12-03,10,4
2020-12-04,10,4
2020-12-05,13,2
2020-12-06,14,1
2020-12-07,14,1
2020-12-08,12,3
2020-12-09,10,5
2020-12-10,10,5
2020-12-11,10,5
2020-12-12,11,4
2020-12-13,11,4
2020-12-14,11,4
2020-12-15,10,4
2020-12-16,10,4
2020-12-17,10,4
2020-12-18,11,3
2020-12-19,10,4
2020-12-20,11,4
2020-12-21,12,3
2020-12-22,10,5
2020-12-23,9,6
2020-12-24,12,3
2020-12-25,12,3
2020-12-26,11,4
2020-12-27,11,4
2020-12-28,10,5
2020-12-29,10,5
2020-12-30,10,5
2020-12-31,13,1
2021-01-01,11,4
2021-01-02,10,4
2021-01-03,8,7
2021-01-04,10,5
2021-01-05,8,7
2021-01-06,7,8
2021-01-07,7,8
2021-01-08,11,4
2021-01-09,12,3
2021-01-10,12,3
2021-01-11,12,3
2021-01-12,13,2
2021-01-13,15,0
2021-01-14,15,0
2021-01-15,14,1
2021-01-16,13,2
2021-01-17,13,2
2021-01-18,14,1
2021-01-19,13,2
2021-01-20,13,2
2021-01-21,15,0
2021-01-22,15,0
2021-01-23,10,5
2021-01-24,11,4
2021-01-25,10,5
2021-01-26,12,3
2021-01-27,13,2
2021-01-28,12,3
2021-01-29,12,3
2021-01-30,13,2
2021-01-31,12,3
2021-02-01,12,3
2021-02-02,11,4
2021-02-03,14,1
2021-02-04,12,3
2021-02-05,13,2
2021-02-06,13,2
2021-02-07,15,0
2021-02-08,15,0
2021-02-09,10,5
2021-02-10,11,4
2021-02-11,11,4
2021-02-12,10,5
2021-02-13,9,6
2021-02-14,11,4
2021-02-15,11,4
2021-02-16,13,2
2021-02-17,13,2
2021-02-18,13,2
2021-02-19,15,0
2021-02-20,15,0
2021-02-21,15,0
2021-02-22,15,0
2021-02-23,15,0
2021-02-24,15,0
2021-02-25,13,2
2021-02-26,13,2
2021-02-27,13,2
2021-02-28,11,4
2021-03-01,10,5
2021-03-02,12,3
2021-03-03,14,1
2021-03-04,12,3
2021-03-05,11,4
2021-03-06,11,4
2021-03-07,12,3
2021-03-08,11,4
2021-03-09,11,4
2021-03-10,12,3
2021-03-11,12,3
2021-03-12,10,5
2021-03-13,11,4
2021-03-14,12,3
2021-03-15,14,1
2021-03-16,12,3
2021-03-17,12,3
2021-03-18,11,4
2021-03-19,10,5
2021-03-20,9,8
2021-03-21,12,5
2021-03-22,12,3
2021-03-23,11,4
2021-03-24,10,5
2021-03-25,9,6
2021-03-26,9,6
2021-03-27,13,2
2021-03-28,13,2
2021-03-29,13,2
2021-03-30,13,2
2021-03-31,13,2
2021-04-01,7,8
2021-04-02,11,4
2021-04-03,14,1
2021-04-04,11,4
2021-04-05,11,4
2021-04-06,11,4
2021-04-07,7,8
2021-04-08,11,4
2021-04-09,13,2
2021-04-10,12,3
2021-04-11,12,3
2021-04-12,12,1
2021-04-13,9,5
2021-04-14,9,5
2021-04-15,9,5
2021-04-16,14,1
2021-04-17,12,3
2021-04-18,13,2
