date,betten_belegt,betten_frei
2020-04-24,9,3
2020-04-25,8,4
2020-04-26,9,3
2020-04-27,8,4
2020-04-28,8,4
2020-04-29,6,6
2020-04-30,5,7
2020-05-01,5,8
2020-05-02,4,8
2020-05-03,4,8
2020-05-04,7,5
2020-05-05,6,6
2020-05-06,6,6
2020-05-07,7,5
2020-05-08,8,4
2020-05-09,7,5
2020-05-10,6,6
2020-05-11,7,5
2020-05-12,10,2
2020-05-13,11,1
2020-05-14,6,5
2020-05-15,9,3
2020-05-16,9,3
2020-05-17,0,4
2020-05-18,8,4
2020-05-19,7,5
2020-05-20,8,4
2020-05-21,7,5
2020-05-22,7,5
2020-05-23,5,7
2020-05-24,5,7
2020-05-25,4,8
2020-05-26,6,8
2020-05-27,5,9
2020-05-28,4,9
2020-05-29,7,5
2020-05-30,7,5
2020-05-31,2,10
2020-06-01,4,8
2020-06-02,3,9
2020-06-03,6,6
2020-06-04,7,5
2020-06-05,5,7
2020-06-06,7,5
2020-06-07,5,7
2020-06-08,7,5
2020-06-09,5,7
2020-06-10,8,4
2020-06-11,6,6
2020-06-12,6,6
2020-06-13,6,6
2020-06-14,8,4
2020-06-15,8,4
2020-06-16,7,5
2020-06-17,6,6
2020-06-18,7,5
2020-06-19,7,5
2020-06-20,7,5
2020-06-21,6,6
2020-06-22,3,9
2020-06-23,5,7
2020-06-24,8,4
2020-06-25,9,3
2020-06-26,4,8
2020-06-27,2,10
2020-06-28,6,6
2020-06-29,4,8
2020-06-30,7,5
2020-07-01,8,4
2020-07-02,3,9
2020-07-03,6,6
2020-07-04,2,10
2020-07-05,4,8
2020-07-06,4,8
2020-07-07,5,8
2020-07-08,6,6
2020-07-09,4,8
2020-07-10,5,7
2020-07-11,10,2
2020-07-12,6,6
2020-07-13,6,6
2020-07-14,4,8
2020-07-15,9,3
2020-07-16,8,4
2020-07-17,6,6
2020-07-18,4,8
2020-07-19,4,8
2020-07-20,4,8
2020-07-21,10,2
2020-07-22,9,3
2020-07-23,8,4
2020-07-24,7,5
2020-07-25,7,5
2020-07-26,7,5
2020-07-27,6,6
2020-07-28,7,5
2020-07-29,7,5
