date,betten_belegt,betten_frei
2020-04-24,14,8
2020-04-25,14,8
2020-04-26,17,5
2020-04-27,16,6
2020-04-28,16,6
2020-04-29,13,9
2020-04-30,12,10
2020-05-01,14,9
2020-05-02,14,9
2020-05-03,15,7
2020-05-04,13,9
2020-05-05,9,13
2020-05-06,9,13
2020-05-07,13,9
2020-05-08,13,9
2020-05-09,14,8
2020-05-10,18,8
2020-05-11,16,6
2020-05-12,16,6
2020-05-13,14,8
2020-05-14,14,8
2020-05-15,15,7
2020-05-16,15,7
2020-05-17,14,8
2020-05-18,14,5
2020-05-19,17,4
2020-05-20,17,4
2020-05-21,18,4
2020-05-22,16,6
2020-05-23,16,8
2020-05-24,17,7
2020-05-25,18,1
2020-05-26,18,4
2020-05-27,11,11
2020-05-28,10,11
2020-05-29,13,8
2020-05-30,12,8
2020-05-31,12,8
2020-06-01,12,4
2020-06-02,11,8
2020-06-03,15,6
2020-06-04,14,7
2020-06-05,14,8
2020-06-06,17,5
2020-06-07,14,8
2020-06-08,11,9
2020-06-09,11,6
2020-06-10,12,10
2020-06-11,11,11
2020-06-12,12,10
2020-06-13,15,7
2020-06-14,14,8
2020-06-15,13,9
2020-06-16,13,9
2020-06-17,13,9
2020-06-18,14,8
2020-06-19,14,8
2020-06-20,17,5
2020-06-21,18,3
2020-06-22,19,3
2020-06-23,14,8
2020-06-24,14,8
2020-06-25,11,11
2020-06-26,10,12
2020-06-27,11,11
2020-06-28,10,12
2020-06-29,12,10
2020-06-30,15,7
2020-07-01,12,10
2020-07-02,12,10
2020-07-03,11,11
2020-07-04,12,9
2020-07-05,15,4
2020-07-06,15,4
2020-07-07,14,8
2020-07-08,12,10
2020-07-09,14,8
2020-07-10,10,12
2020-07-11,10,12
2020-07-12,12,10
2020-07-13,11,11
2020-07-14,11,11
2020-07-15,9,13
2020-07-16,11,12
2020-07-17,10,12
2020-07-18,7,7
2020-07-19,7,7
2020-07-20,18,4
2020-07-21,13,8
2020-07-22,15,6
2020-07-23,14,7
2020-07-24,15,6
2020-07-25,15,6
2020-07-26,15,6
2020-07-27,11,11
2020-07-28,13,7
2020-07-29,17,5
2020-07-30,15,7
2020-07-31,15,7
2020-08-01,10,8
