date,betten_belegt,betten_frei
2020-04-24,11,11
2020-04-25,12,10
2020-04-26,11,12
2020-04-27,10,13
2020-04-28,10,13
2020-04-29,10,13
2020-04-30,10,13
2020-05-01,10,13
2020-05-02,11,11
2020-05-03,14,8
2020-05-04,11,11
2020-05-05,13,9
2020-05-06,9,10
2020-05-07,13,9
2020-05-08,10,12
2020-05-09,9,13
2020-05-10,12,10
2020-05-11,11,11
2020-05-12,11,11
2020-05-13,13,8
2020-05-14,12,10
2020-05-15,10,12
2020-05-16,9,13
2020-05-17,9,13
2020-05-18,9,13
2020-05-19,10,12
2020-05-20,11,11
2020-05-21,12,10
2020-05-22,13,9
2020-05-23,11,11
2020-05-24,14,8
2020-05-25,10,12
2020-05-26,10,12
2020-05-27,9,13
2020-05-28,10,13
2020-05-29,12,11
2020-05-30,8,15
2020-05-31,10,12
2020-06-01,10,12
2020-06-02,10,12
2020-06-03,14,7
2020-06-04,9,13
2020-06-05,13,9
2020-06-06,11,11
2020-06-07,12,10
2020-06-08,15,7
2020-06-09,11,11
2020-06-10,11,11
2020-06-11,16,6
2020-06-12,13,9
2020-06-13,11,11
2020-06-14,10,12
2020-06-15,11,11
2020-06-16,12,10
2020-06-17,16,6
2020-06-18,11,11
2020-06-19,10,12
2020-06-20,9,13
2020-06-21,9,13
2020-06-22,10,12
2020-06-23,13,9
2020-06-24,14,8
2020-06-25,10,12
2020-06-26,13,9
2020-06-27,16,6
2020-06-28,11,11
2020-06-29,8,14
2020-06-30,8,14
2020-07-01,10,12
2020-07-02,10,12
2020-07-03,10,12
2020-07-04,9,13
2020-07-05,9,13
2020-07-06,7,15
2020-07-07,9,14
2020-07-08,12,10
2020-07-09,13,9
2020-07-10,11,11
2020-07-11,9,13
2020-07-12,12,10
2020-07-13,11,11
2020-07-14,11,11
2020-07-15,12,10
2020-07-16,10,12
2020-07-17,11,12
2020-07-18,8,15
2020-07-19,7,15
2020-07-20,7,16
2020-07-21,10,12
2020-07-22,10,12
2020-07-23,16,6
2020-07-24,18,4
2020-07-25,18,4
2020-07-26,17,5
2020-07-27,14,8
2020-07-28,14,8
2020-07-29,15,7
2020-07-30,14,9
2020-07-31,13,9
2020-08-01,12,10
2020-08-02,10,12
2020-08-03,13,9
2020-08-04,9,13
2020-08-05,11,11
2020-08-06,9,13
2020-08-07,9,13
2020-08-08,12,10
2020-08-09,14,8
2020-08-10,13,9
2020-08-11,14,8
2020-08-12,12,10
2020-08-13,11,11
2020-08-14,12,10
2020-08-15,12,10
2020-08-16,15,7
2020-08-17,15,7
2020-08-18,10,12
2020-08-19,13,9
2020-08-20,14,8
2020-08-21,13,9
2020-08-22,13,9
2020-08-23,7,15
2020-08-24,11,11
2020-08-25,10,12
2020-08-26,9,13
2020-08-27,8,14
2020-08-28,7,7
2020-08-29,7,7
2020-08-30,8,6
