date,betten_belegt,betten_frei
2020-04-24,110,46
2020-04-24,7,6
2020-04-25,7,6
2020-04-25,109,48
2020-04-26,103,53
2020-04-26,6,7
2020-04-27,102,54
2020-04-27,6,7
2020-04-28,108,43
2020-04-28,7,6
2020-04-29,6,7
2020-04-29,117,41
2020-04-30,11,3
2020-04-30,107,41
2020-05-01,11,3
2020-05-01,112,25
2020-05-02,11,3
2020-05-02,107,30
2020-05-03,11,3
2020-05-03,112,51
2020-05-04,111,55
2020-05-04,9,5
2020-05-05,9,5
2020-05-05,114,43
2020-05-06,10,4
2020-05-06,122,39
2020-05-07,9,4
2020-05-07,115,50
2020-05-08,10,3
2020-05-08,112,48
2020-05-09,8,5
2020-05-09,93,38
2020-05-10,8,5
2020-05-10,68,47
2020-05-11,8,5
2020-05-11,106,37
2020-05-12,8,5
2020-05-12,107,37
2020-05-13,9,5
2020-05-13,101,34
2020-05-14,9,3
2020-05-14,106,36
2020-05-15,107,33
2020-05-15,9,3
2020-05-16,10,2
2020-05-16,76,40
2020-05-17,8,4
2020-05-17,86,44
2020-05-18,95,30
2020-05-18,10,2
2020-05-19,112,31
2020-05-19,10,5
2020-05-20,8,5
2020-05-20,116,28
2020-05-21,8,5
2020-05-21,108,35
2020-05-22,99,41
2020-05-22,7,6
2020-05-23,4,9
2020-05-23,109,34
2020-05-24,5,8
2020-05-24,101,38
2020-05-25,1,12
2020-05-25,102,33
2020-05-26,7,7
2020-05-26,96,42
2020-05-27,9,4
2020-05-27,104,33
2020-05-28,9,4
2020-05-28,99,38
2020-05-29,9,5
2020-05-29,98,40
2020-05-30,8,6
2020-05-30,92,44
2020-05-31,6,7
2020-05-31,87,50
2020-06-01,7,6
2020-06-01,91,52
2020-06-02,6,7
2020-06-02,93,38
2020-06-03,13,2
2020-06-03,100,37
2020-06-04,13,4
2020-06-04,100,37
2020-06-05,10,8
2020-06-05,96,40
2020-06-06,10,8
2020-06-06,105,31
2020-06-07,9,9
2020-06-07,99,42
2020-06-08,11,7
2020-06-08,101,38
2020-06-09,7,11
2020-06-09,101,36
2020-06-10,12,6
2020-06-10,96,39
2020-06-11,8,10
2020-06-11,108,40
2020-06-12,10,8
2020-06-12,104,43
2020-06-13,7,11
2020-06-13,107,43
2020-06-14,5,11
2020-06-14,104,45
2020-06-15,8,10
2020-06-15,106,39
2020-06-16,7,9
2020-06-16,108,43
2020-06-17,8,9
2020-06-17,102,43
2020-06-18,10,8
2020-06-18,108,38
2020-06-19,11,7
2020-06-19,110,36
2020-06-20,9,8
2020-06-20,107,37
2020-06-21,9,8
2020-06-21,89,45
2020-06-22,9,8
2020-06-22,101,48
2020-06-23,9,8
2020-06-23,107,42
2020-06-24,9,8
2020-06-24,105,42
2020-06-25,12,5
2020-06-25,103,44
2020-06-26,8,9
2020-06-26,101,45
2020-06-27,13,4
2020-06-27,105,39
2020-06-28,10,7
2020-06-28,104,41
2020-06-29,10,7
2020-06-29,95,51
2020-06-30,11,6
2020-06-30,102,46
2020-07-01,11,5
2020-07-01,101,44
2020-07-02,10,4
2020-07-02,104,44
2020-07-03,10,4
2020-07-03,101,45
