date,betten_belegt,betten_frei
2020-04-24,5,5
2020-04-25,5,5
2020-04-26,5,5
2020-04-27,5,5
2020-04-28,5,5
2020-04-29,4,6
2020-04-30,4,6
2020-05-01,4,6
2020-05-02,4,6
2020-05-03,4,6
2020-05-04,9,1
2020-05-05,9,1
2020-05-06,9,1
2020-05-07,9,1
2020-05-08,9,1
2020-05-09,9,1
2020-05-10,9,1
2020-05-11,7,3
2020-05-12,7,3
2020-05-13,7,3
2020-05-14,7,3
2020-05-15,5,5
2020-05-16,4,6
2020-05-17,4,6
2020-05-18,7,3
2020-05-19,7,3
2020-05-20,6,4
2020-05-21,5,5
2020-05-22,4,6
2020-05-23,4,6
2020-05-24,4,6
2020-05-25,4,6
2020-05-26,6,4
2020-05-27,8,2
2020-05-28,7,3
2020-05-29,4,6
2020-05-30,4,6
2020-05-31,4,6
2020-06-01,4,6
2020-06-02,7,3
2020-06-03,7,3
2020-06-04,6,4
2020-06-05,7,3
2020-06-06,7,3
2020-06-07,7,3
2020-06-08,7,3
2020-06-09,7,3
2020-06-10,7,3
2020-06-11,7,3
2020-06-12,8,2
2020-06-13,8,2
2020-06-14,8,2
2020-06-15,6,4
2020-06-16,8,2
2020-06-17,7,3
2020-06-18,6,4
2020-06-19,7,3
2020-06-20,7,3
2020-06-21,7,3
2020-06-22,7,3
2020-06-23,9,1
2020-06-24,6,4
2020-06-25,6,4
2020-06-26,7,3
2020-06-27,9,1
2020-06-28,7,3
2020-06-29,7,3
2020-06-30,6,5
2020-07-01,6,5
2020-07-02,6,5
2020-07-03,6,5
2020-07-04,6,5
2020-07-05,6,5
2020-07-06,6,5
2020-09-25,6,5
2020-09-26,6,5
2020-09-27,6,5
2020-09-28,7,4
2020-09-29,10,1
2020-09-30,7,4
2020-10-01,7,4
2020-10-02,11,0
2020-10-03,9,2
2020-10-04,6,5
2020-10-05,10,1
2020-10-06,7,4
2020-10-07,8,3
2020-10-08,8,3
2020-10-09,6,5
2020-10-10,6,5
2020-10-11,6,5
2020-10-12,5,6
2020-10-13,9,2
2020-10-14,6,5
2020-10-15,10,1
2020-10-16,10,1
2020-10-17,10,1
2020-10-18,7,4
2020-10-19,8,3
2020-10-20,9,2
2020-10-21,10,1
2020-10-22,8,6
